s,C,C,C,C,C,C,C,kW,mol/mol,Pa,m,C,C,m,C,C,m,C,C
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box,zint_fire,Tupp_fire,Tlow_fire,zint_mid,Tupp_mid,Tlow_mid,zint_door,Tupp_door,Tlow_door
 6.10013E+001, 2.51937E+001, 2.58731E+001, 5.20780E+001, 2.69108E+001, 2.50202E+001, 2.52259E+001, 2.55589E+001, 1.79951E-002, 2.05988E-001, 1.50958E+002, 2.16299E-001, 4.10688E+001, 2.57103E+001, 1.41318E-001, 2.70922E+001, 2.50266E+001, 1.62753E-001, 2.60124E+001, 2.50087E+001
 6.20017E+001, 2.51977E+001, 2.58674E+001, 5.05913E+001, 2.71562E+001, 2.50198E+001, 2.53193E+001, 2.55384E+001, 1.79953E-002, 2.05960E-001, 1.51612E+002, 2.16565E-001, 4.04294E+001, 2.57096E+001, 1.41700E-001, 2.71535E+001, 2.50269E+001, 1.08795E-001, 2.60903E+001, 2.50087E+001
 6.30021E+001, 2.52025E+001, 2.58706E+001, 4.89338E+001, 2.70916E+001, 2.50197E+001, 2.53654E+001, 2.55424E+001, 1.79954E-002, 2.05939E-001, 1.52273E+002, 2.16582E-001, 3.98790E+001, 2.57093E+001, 1.40741E-001, 2.71161E+001, 2.50273E+001, 1.07004E-001, 2.61512E+001, 2.50087E+001
 6.40026E+001, 2.52082E+001, 2.58812E+001, 4.75340E+001, 2.68050E+001, 2.50197E+001, 2.53256E+001, 2.55791E+001, 1.79954E-002, 2.05924E-001, 1.53016E+002, 2.16451E-001, 3.93427E+001, 2.57095E+001, 1.38944E-001, 2.70214E+001, 2.50278E+001, 9.99841E-002, 2.61366E+001, 2.50088E+001
 6.50030E+001, 2.52147E+001, 2.58973E+001, 4.63599E+001, 2.65962E+001, 2.50197E+001, 2.52939E+001, 2.56367E+001, 1.79954E-002, 2.05914E-001, 1.53791E+002, 2.16278E-001, 3.87578E+001, 2.57100E+001, 1.38204E-001, 2.69725E+001, 2.50282E+001, 9.27076E-002, 2.60923E+001, 2.50088E+001
 6.60034E+001, 2.52215E+001, 2.59182E+001, 4.58684E+001, 2.64618E+001, 2.50197E+001, 2.53406E+001, 2.57319E+001, 1.79954E-002, 2.05908E-001, 1.54507E+002, 2.16294E-001, 3.84934E+001, 2.57109E+001, 1.37071E-001, 2.69155E+001, 2.50285E+001, 9.00115E-002, 2.60782E+001, 2.50089E+001
 6.70038E+001, 2.52285E+001, 2.59415E+001, 4.53121E+001, 2.63749E+001, 2.50197E+001, 2.53781E+001, 2.57666E+001, 1.79953E-002, 2.05901E-001, 1.55172E+002, 2.16133E-001, 3.83826E+001, 2.57128E+001, 1.35746E-001, 2.68514E+001, 2.50288E+001, 8.94013E-002, 2.60838E+001, 2.50089E+001
 6.80042E+001, 2.52353E+001, 2.59676E+001, 4.48499E+001, 2.63697E+001, 2.50195E+001, 2.54467E+001, 2.57350E+001, 1.79953E-002, 2.05888E-001, 1.55843E+002, 2.15920E-001, 3.79898E+001, 2.57161E+001, 1.35254E-001, 2.68515E+001, 2.50291E+001, 8.94794E-002, 2.60759E+001, 2.50088E+001
 6.90046E+001, 2.52419E+001, 2.60004E+001, 4.43440E+001, 2.65693E+001, 2.50193E+001, 2.54990E+001, 2.57069E+001, 1.79953E-002, 2.05869E-001, 1.56521E+002, 2.15605E-001, 3.75733E+001, 2.57201E+001, 1.37449E-001, 2.70029E+001, 2.50294E+001, 9.29710E-002, 2.60477E+001, 2.50087E+001
 7.00050E+001, 2.52480E+001, 2.60374E+001, 4.40475E+001, 2.67005E+001, 2.50191E+001, 2.54452E+001, 2.56845E+001, 1.79953E-002, 2.05844E-001, 1.57193E+002, 2.14931E-001, 3.71919E+001, 2.57244E+001, 1.37843E-001, 2.70391E+001, 2.50297E+001, 1.76351E-001, 2.60039E+001, 2.50087E+001
 7.10001E+001, 2.52533E+001, 2.60664E+001, 4.39764E+001, 2.64637E+001, 2.50188E+001, 2.53088E+001, 2.57371E+001, 1.79952E-002, 2.05820E-001, 1.57870E+002, 2.14257E-001, 3.68815E+001, 2.57289E+001, 1.36267E-001, 2.69027E+001, 2.50300E+001, 2.30000E-001, 2.59578E+001, 2.50088E+001
 7.20005E+001, 2.52576E+001, 2.60721E+001, 4.39384E+001, 2.64746E+001, 2.50185E+001, 2.52041E+001, 2.57544E+001, 1.79953E-002, 2.05800E-001, 1.58554E+002, 2.14566E-001, 3.69203E+001, 2.57335E+001, 1.37049E-001, 2.69157E+001, 2.50303E+001, 2.30000E-001, 2.58911E+001, 2.50090E+001
 7.30009E+001, 2.52608E+001, 2.60620E+001, 4.35906E+001, 2.65153E+001, 2.50183E+001, 2.51745E+001, 2.55049E+001, 1.79953E-002, 2.05780E-001, 1.59227E+002, 2.15202E-001, 3.69697E+001, 2.57380E+001, 1.38529E-001, 2.69765E+001, 2.50306E+001, 2.30000E-001, 2.58258E+001, 2.50091E+001
 7.40013E+001, 2.52631E+001, 2.60532E+001, 4.31731E+001, 2.65015E+001, 2.50182E+001, 2.51954E+001, 2.55097E+001, 1.79952E-002, 2.05753E-001, 1.59876E+002, 2.15527E-001, 3.68620E+001, 2.57424E+001, 1.38233E-001, 2.69502E+001, 2.50309E+001, 2.30000E-001, 2.58341E+001, 2.50091E+001
