s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T1_gas,T2,T2_gas,T3,T3_gas,T5,T5_gas,T9,T9_gas,T10,T10_gas,T11,T11_gas,HRR,O2_room,p_box
 1.90044E+001, 2.51501E+001, 2.50561E+001, 2.50513E+001, 2.50510E+001, 3.14967E+001, 3.64624E+001, 2.50039E+001, 2.50108E+001, 2.50074E+001, 2.50202E+001, 2.50093E+001, 2.50265E+001, 2.50063E+001, 2.50170E+001, 9.84101E-003, 2.06860E-001, 3.74785E+001
 2.00016E+001, 2.51742E+001, 2.50615E+001, 2.50549E+001, 2.50533E+001, 3.22843E+001, 3.73710E+001, 2.50057E+001, 2.50372E+001, 2.50084E+001, 2.50222E+001, 2.50107E+001, 2.50295E+001, 2.50073E+001, 2.50186E+001, 1.09285E-002, 2.06860E-001, 4.21156E+001
 2.10010E+001, 2.52006E+001, 2.50675E+001, 2.50590E+001, 2.50621E+001, 3.32030E+001, 3.95127E+001, 2.50107E+001, 2.50824E+001, 2.50096E+001, 2.50244E+001, 2.50123E+001, 2.50327E+001, 2.50083E+001, 2.50204E+001, 1.20821E-002, 2.06860E-001, 4.71531E+001
 2.20051E+001, 2.52291E+001, 2.50739E+001, 2.50656E+001, 2.51139E+001, 3.43471E+001, 4.15985E+001, 2.50202E+001, 2.51490E+001, 2.50108E+001, 2.50267E+001, 2.50141E+001, 2.50361E+001, 2.50093E+001, 2.50222E+001, 1.32890E-002, 2.06860E-001, 5.26033E+001
 2.30032E+001, 2.52599E+001, 2.50809E+001, 2.50825E+001, 2.52807E+001, 3.56595E+001, 4.32028E+001, 2.50383E+001, 2.53008E+001, 2.50121E+001, 2.50292E+001, 2.50160E+001, 2.50398E+001, 2.50105E+001, 2.50241E+001, 1.45572E-002, 2.06860E-001, 5.84418E+001
 2.40018E+001, 2.52929E+001, 2.50884E+001, 2.51164E+001, 2.54710E+001, 3.71157E+001, 4.70015E+001, 2.50809E+001, 2.56395E+001, 2.50135E+001, 2.50319E+001, 2.50181E+001, 2.50437E+001, 2.50117E+001, 2.50262E+001, 1.58846E-002, 2.06858E-001, 6.47657E+001
 2.50044E+001, 2.53281E+001, 2.50963E+001, 2.51617E+001, 2.55841E+001, 3.90934E+001, 4.96613E+001, 2.51460E+001, 2.57682E+001, 2.50151E+001, 2.50348E+001, 2.50203E+001, 2.50479E+001, 2.50130E+001, 2.50281E+001, 1.72621E-002, 2.06856E-001, 7.15034E+001
 2.60017E+001, 2.53648E+001, 2.51041E+001, 2.52089E+001, 2.56229E+001, 4.10186E+001, 5.11134E+001, 2.52080E+001, 2.58355E+001, 2.50167E+001, 2.50373E+001, 2.50227E+001, 2.50518E+001, 2.50143E+001, 2.50297E+001, 1.79952E-002, 2.06853E-001, 7.81590E+001
 2.70043E+001, 2.53992E+001, 2.51101E+001, 2.52524E+001, 2.56133E+001, 4.27287E+001, 5.11780E+001, 2.52937E+001, 2.62088E+001, 2.50184E+001, 2.50387E+001, 2.50252E+001, 2.50546E+001, 2.50157E+001, 2.50299E+001, 1.79953E-002, 2.06852E-001, 8.35362E+001
 2.80015E+001, 2.54306E+001, 2.51148E+001, 2.52892E+001, 2.55679E+001, 4.41039E+001, 5.11060E+001, 2.53945E+001, 2.63394E+001, 2.50200E+001, 2.50393E+001, 2.50277E+001, 2.50565E+001, 2.50169E+001, 2.50294E+001, 1.79952E-002, 2.06851E-001, 8.80829E+001
 2.90042E+001, 2.54592E+001, 2.51188E+001, 2.53169E+001, 2.54909E+001, 4.52104E+001, 5.10622E+001, 2.54961E+001, 2.64226E+001, 2.50216E+001, 2.50396E+001, 2.50301E+001, 2.50578E+001, 2.50179E+001, 2.50284E+001, 1.79952E-002, 2.06851E-001, 9.21015E+001
 3.00014E+001, 2.54853E+001, 2.51222E+001, 2.53342E+001, 2.54021E+001, 4.61102E+001, 5.10803E+001, 2.55932E+001, 2.64779E+001, 2.50230E+001, 2.50397E+001, 2.50325E+001, 2.50588E+001, 2.50188E+001, 2.50267E+001, 1.79952E-002, 2.06851E-001, 9.57208E+001
 3.10040E+001, 2.55090E+001, 2.51251E+001, 2.53422E+001, 2.53328E+001, 4.68524E+001, 5.12026E+001, 2.56865E+001, 2.65525E+001, 2.50244E+001, 2.50399E+001, 2.50348E+001, 2.50594E+001, 2.50194E+001, 2.50244E+001, 1.79952E-002, 2.06851E-001, 9.90295E+001
 3.20013E+001, 2.55306E+001, 2.51276E+001, 2.53442E+001, 2.52882E+001, 4.74769E+001, 5.12697E+001, 2.57754E+001, 2.65983E+001, 2.50257E+001, 2.50402E+001, 2.50369E+001, 2.50598E+001, 2.50197E+001, 2.50210E+001, 1.79952E-002, 2.06851E-001, 1.02089E+002
 3.30039E+001, 2.55501E+001, 2.51297E+001, 2.53429E+001, 2.52615E+001, 4.79991E+001, 5.13473E+001, 2.58593E+001, 2.66447E+001, 2.50270E+001, 2.50406E+001, 2.50390E+001, 2.50593E+001, 2.50197E+001, 2.50193E+001, 1.79952E-002, 2.06851E-001, 1.04955E+002
 3.40012E+001, 2.55678E+001, 2.51315E+001, 2.53400E+001, 2.52483E+001, 4.84158E+001, 5.11968E+001, 2.59396E+001, 2.67080E+001, 2.50281E+001, 2.50411E+001, 2.50406E+001, 2.50528E+001, 2.50219E+001, 2.50964E+001, 1.79953E-002, 2.06851E-001, 1.07622E+002
 3.50038E+001, 2.55838E+001, 2.51329E+001, 2.53368E+001, 2.52470E+001, 4.87215E+001, 5.09808E+001, 2.60181E+001, 2.67620E+001, 2.50292E+001, 2.50418E+001, 2.50416E+001, 2.50549E+001, 2.50358E+001, 2.52369E+001, 1.79953E-002, 2.06851E-001, 1.10099E+002
