General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
;;;%;%;%;Pa;-;g;g/s;Pa;%;kW/m²;°C;°C;°C;°C;°C;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;;
Test;;0;20,95200;0,04900;-0,006000;126,750;100,01;0,0000;0,000;100,412;35,800;0,005;298,450;297,950;26,00;298,183;263,183;0,000;24,900;25,500;24,700;301,050;;;;;0,00;0,00;0,00;3,00;2,60;16,970;25,213;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;11,9857;0,00000;0,0000;0,00000000;0,00000000;-0,00068;Infinity;0,0120;28,348328;-0,000140;23,955172;23,915040;0,0000;-0,0265;0,00;0,00;0,00;0,00;0,47;;;;0,0132921;20,95000;0,04900;-0,00500;0,0001568;;11,25;0,00;;;
Standard used;ISO 5660-1;1;20,95100;0,04800;0,011000;129,625;100,02;0,0000;0,000;100,420;35,800;0,005;298,450;297,950;26,00;298,117;263,183;0,000;24,900;25,400;24,600;301,050;;;;;0,00;0,00;0,00;3,00;2,60;16,963;25,223;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;9,9060;0,01178;-0,0396;0,93250529;0,93250529;0,00083;0,00074;0,0219;28,668030;-0,000174;24,225330;24,184745;0,0000;-0,0333;0,00;0,00;0,00;0,00;0,76;;4,953;9,906;0,0109857;20,94900;0,05000;0,00100;0,0001285;;11,25;1,00;;;
Date of test;25.08.2026;2;20,95100;0,05100;0,058000;122,675;100,01;0,0000;0,000;100,420;35,800;0,005;298,450;298,050;26,00;298,183;263,183;0,000;24,900;25,500;24,700;301,050;;;;;0,00;0,00;0,00;3,00;2,60;16,936;25,234;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;5,5761;0,00000;0,0000;-6,47004191;-6,47004191;0,00253;-0,00024;0,0275;27,888907;-0,000140;23,566948;23,535362;0,0000;-0,0261;0,00;0,00;0,00;0,00;1,02;;6,347;9,906;0,0061839;20,94800;0,05200;0,00800;0,0000750;;11,25;2,00;;;
Time of test;13:42;3;20,95100;0,05100;0,052000;128,275;100,00;11,1901;0,000;100,420;35,800;0,005;298,450;298,050;26,00;298,150;263,183;0,000;24,900;25,400;24,700;301,050;;;;;0,00;0,00;0,00;3,00;2,60;16,957;25,202;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;24,0112;0,00000;0,0000;-6,98333740;-6,98333740;-0,00069;-0,00016;0,0515;28,518356;-0,000054;24,098851;24,066553;0,0000;-0,0102;0,00;0,00;0,00;0,00;1,33;;9,163;14,608;0,0266284;20,94700;0,05100;-0,00500;0,0003126;;22,44;3,00;;;
Heat flux (kW/m²);75;4;20,95300;0,05000;0,019000;128,475;99,99;11,8800;0,000;100,412;35,800;0,005;298,450;297,950;26,00;298,117;263,183;0,000;24,900;25,400;24,600;301,050;;;;;0,00;0,00;0,00;3,00;2,61;16,902;25,226;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;27,2179;0,03341;0,0116;0,90338135;0,90338135;-0,00270;0,00124;0,0787;28,540579;0,000050;24,117630;24,077226;0,0000;0,0095;0,00;0,01;0,00;0,00;1,04;;13,276;14,608;0,0301847;20,94800;0,05100;-0,01300;0,0003534;;23,13;4,00;;;
Nominal duct flow rate (l/s);24,0;5;20,95100;0,04900;-0,001000;128,450;99,99;11,2400;0,000;100,412;35,800;0,005;298,450;298,050;26,00;298,117;263,183;0,000;24,900;25,400;24,600;301,050;;;;;0,00;0,00;0,00;3,00;2,61;16,921;25,218;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;19,6476;0,05057;0,0411;0,43083700;0,43083700;-0,00195;0,00260;0,0983;28,537803;0,000084;24,115284;24,082963;0,0000;0,0160;0,00;0,03;0,00;0,00;0,76;;15,307;17,496;0,0217892;20,94900;0,05100;-0,01000;0,0002551;;22,49;5,00;;;
Sampling interval (s);1;6;20,95200;0,04900;0,003000;128,575;99,99;11,2400;0,000;100,420;35,800;0,005;298,450;298,050;26,00;298,150;263,183;0,000;24,900;25,400;24,700;301,050;;;;;0,00;0,00;0,00;3,00;2,61;16,957;25,234;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;32,5953;0,00000;0,0000;-0,05333455;-0,05333455;-0,00195;-0,02921;0,1309;28,551684;0,000101;24,127014;24,094678;0,0000;0,0192;0,00;0,04;0,00;0,00;1,61;;17,109;17,496;0,0361482;20,94600;0,05200;-0,01000;0,0004236;;22,49;6,00;;;
Separation (mm);25;7;20,95200;0,04900;-0,002000;122,300;100,00;11,2400;0,000;100,420;35,800;0,005;298,450;298,150;26,00;298,117;263,183;0,000;24,900;25,400;24,600;301,050;;;;;0,00;0,00;0,00;3,00;2,61;16,936;25,229;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;41,5691;0,00000;0,0000;0,00000000;0,00000000;-0,00534;Infinity;0,1725;27,846248;-0,000003;23,530900;23,507247;0,0000;-0,0005;0,00;0,04;-0,01;0,00;1,30;;19,963;21,243;0,0461002;20,94700;0,05100;-0,02400;0,0005529;;22,49;7,00;;;
Orientation;hor;8;20,95100;0,04900;-0,011000;127,175;100,00;11,2400;0,000;100,420;35,800;0,005;298,450;298,150;25,90;298,117;263,183;0,000;24,900;25,400;24,600;301,050;;;;;0,00;0,00;0,00;3,00;2,61;16,951;25,223;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;26,1070;0,00000;0,0000;0,00000000;0,00000000;-0,00244;Infinity;0,1986;28,395815;-0,000003;23,995301;23,971181;0,0000;-0,0005;0,00;0,04;0,00;0,00;1,04;;21,697;21,243;0,0289527;20,94800;0,05100;-0,01200;0,0003408;;22,49;8,00;;;
Edge frame?;N;9;20,95100;0,04900;-0,028000;125,625;100,01;11,2400;0,000;100,420;35,800;0,005;298,550;298,150;25,90;298,150;263,183;0,000;24,900;25,400;24,700;301,050;;;;;0,00;0,00;0,00;3,00;2,61;16,966;25,245;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;40,9127;0,00000;0,0000;0,00000000;0,00000000;-0,00417;Infinity;0,2395;28,217514;-0,000071;23,852620;23,820662;0,0000;-0,0135;0,00;0,04;0,00;0,00;1,59;;23,010;25,687;0,0453722;20,94600;0,05200;-0,01900;0,0005374;;22,49;9,00;;;
Grid?;N;10;20,95100;0,04900;-0,005000;128,650;100,01;11,2400;0,000;100,420;35,800;0,005;298,550;298,150;25,90;298,117;263,183;0,000;24,900;25,400;24,600;301,050;;;;;0,00;0,00;0,00;3,00;2,61;16,976;25,237;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;37,4902;0,00000;0,0000;0,00000000;0,00000000;-0,00321;Infinity;0,2770;28,555227;-0,000106;24,138093;24,105753;0,0000;-0,0201;0,00;0,04;0,00;0,00;1,61;;24,629;25,687;0,0415766;20,94600;0,05200;-0,01500;0,0004868;;22,49;10,00;;;
Non-scrubbed?;;11;20,95000;0,05000;-0,005000;126,950;100,01;11,2400;0,000;100,420;35,800;0,005;298,550;298,150;25,90;298,150;263,183;0,000;24,900;25,400;24,700;301,050;;;;;0,00;0,00;0,00;3,00;2,61;16,955;25,215;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;26,8051;0,00000;0,0000;0,00000000;0,00000000;-0,00169;Infinity;0,3038;28,365932;-0,000071;23,978080;23,945954;0,0000;-0,0135;0,00;0,04;0,00;0,00;1,32;;25,312;27,173;0,0297268;20,94700;0,05200;-0,00900;0,0003505;;22,49;11,00;;;
Substrate used? {Y/N};;12;20,95000;0,05200;0,001000;126,025;100,01;11,2400;0,000;100,420;35,800;0,005;298,550;298,250;26,00;298,150;263,183;0,000;24,900;25,500;24,600;301,050;;;;;0,00;0,00;0,00;3,00;2,61;16,936;25,213;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;16,5177;0,00000;0,0000;0,00000000;0,00000000;0,00331;Infinity;0,3203;28,262402;-0,000071;23,890565;23,866558;0,0000;-0,0135;0,00;0,04;0,00;0,00;1,88;;25,008;27,173;0,0183182;20,94500;0,05200;0,01100;0,0002182;;22,49;12,00;;;
Substrate;;13;20,94900;0,05100;0,008000;128,100;100,01;11,2400;0,000;100,420;35,800;0,005;298,550;298,250;25,90;298,117;263,183;0,000;24,900;25,400;24,600;301,050;;;;;0,00;0,00;0,00;3,00;2,62;16,930;25,247;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;11,7696;0,00000;0,0000;0,00000000;0,00000000;0,00459;Infinity;0,3321;28,494122;-0,000071;24,086440;24,062237;0,0000;-0,0136;0,00;0,04;0,00;0,00;1,89;;24,172;25,959;0,0130525;20,94500;0,05200;0,01600;0,0001549;;22,49;13,00;;;
Additional preparation details;;14;20,94800;0,05100;-0,005000;123,050;100,01;11,2400;0,000;100,420;35,800;0,005;298,550;298,250;25,90;298,117;263,183;0,000;24,900;25,400;24,600;301,050;;;;;0,00;0,00;0,00;3,00;2,62;16,949;25,242;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;10,5780;0,00000;0,0000;0,00000000;0,00000000;0,00475;Infinity;0,3427;27,926823;-0,000071;23,606896;23,583174;0,0000;-0,0133;0,00;0,04;0,00;0,00;1,86;;23,244;25,959;0,0117310;20,94500;0,05200;0,01700;0,0001423;;22,49;14,00;;;
;;15;20,94700;0,05100;-0,013000;132,525;100,01;11,2400;0,000;100,420;35,800;0,005;298,550;298,250;25,90;298,117;263,183;0,000;24,900;25,400;24,600;301,050;;;;;0,00;0,00;0,00;3,00;2,62;16,934;25,226;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;9,9908;0,00000;0,0000;0,00000000;0,00000000;0,00493;Infinity;0,3527;28,982085;-0,000071;24,498921;24,474304;0,0000;-0,0138;0,00;0,04;0,00;0,00;1,93;;22,380;23,949;0,0110798;20,94500;0,05300;0,01700;0,0001296;;22,49;15,00;;;
Specimen;;16;20,94800;0,05200;-0,010000;127,400;100,01;11,2400;0,000;100,412;35,800;0,005;298,550;298,250;25,90;298,150;263,183;0,000;24,900;25,400;24,700;301,050;;;;;0,00;0,00;0,00;3,00;2,62;16,980;25,229;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;29,5200;0,00000;0,0000;0,00000000;0,00000000;-0,00119;Infinity;0,3822;28,416163;-0,000106;24,020540;23,996403;0,0000;-0,0200;0,00;0,04;0,00;0,00;1,61;;22,216;23,949;0,0327377;20,94600;0,05200;-0,00700;0,0003856;;22,49;16,00;;;
Sample description;Candle;17;20,94900;0,05100;-0,010000;123,900;100,01;11,2400;0,000;100,420;35,800;0,005;298,650;298,250;25,90;298,150;263,183;0,000;24,900;25,400;24,700;301,050;;;;;0,00;0,00;0,00;3,00;2,62;16,943;25,242;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;39,9135;0,00000;0,0000;0,00000000;0,00000000;-0,00513;Infinity;0,4221;28,018421;-0,000071;23,692257;23,660525;0,0000;-0,0134;0,00;0,04;-0,01;0,00;1,30;;22,951;24,067;0,0442641;20,94700;0,05200;-0,02300;0,0005276;;22,49;17,00;;;
Material name/ID;Candle / Teelicht;18;20,94600;0,05100;-0,024000;128,150;100,01;11,2400;0,000;100,420;35,800;0,005;298,650;298,250;25,90;298,150;263,177;0,000;24,900;25,400;24,700;301,050;;;;;0,00;0,00;0,00;3,00;2,62;16,938;25,239;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;24,9743;0,00000;0,0000;0,00000000;0,00000000;-0,00119;Infinity;0,4471;28,494911;-0,000071;24,095176;24,062904;0,0000;-0,0136;0,00;0,04;0,00;0,00;1,33;;23,479;24,067;0,0276965;20,94700;0,05200;-0,00700;0,0003252;;22,49;18,00;;;
Specimen number;R1;19;20,94700;0,05200;-0,012000;130,925;100,01;11,2400;0,000;100,420;35,800;0,005;298,650;298,250;25,90;298,150;263,177;0,000;24,900;25,400;24,700;301,050;;;;;0,00;0,00;0,00;3,00;2,62;16,930;25,242;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;32,8808;0,00000;0,0000;0,00000000;0,00000000;-0,00197;Infinity;0,4800;28,801778;-0,000071;24,354661;24,322041;0,0000;-0,0138;0,00;0,04;0,00;0,00;1,63;;23,765;25,365;0,0364648;20,94600;0,05200;-0,01000;0,0004236;;22,49;19,00;;;
E (MJ/kg);13,10;20;20,94800;0,05200;-0,019000;127,250;100,01;11,2400;0,000;100,420;35,800;0,005;298,650;298,250;25,90;298,117;263,177;0,000;24,900;25,400;24,600;301,050;;;;;0,00;0,00;0,00;3,00;2,62;16,991;25,218;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;25,6062;0,00000;0,0000;0,00000000;0,00000000;-0,00018;Infinity;0,5056;28,394674;-0,000106;24,010416;23,978257;0,0000;-0,0201;0,00;0,04;0,00;0,00;1,60;;24,039;25,365;0,0283973;20,94600;0,05200;-0,00300;0,0003350;;22,49;20,00;;;
Initial mass (g);11,25;21;20,94600;0,05200;-0,015000;125,625;100,00;11,2400;0,000;100,420;35,800;0,005;298,650;298,250;25,90;298,117;263,177;0,000;24,900;25,400;24,600;301,050;;;;;0,00;0,00;0,00;3,00;2,63;16,949;25,239;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;8,5422;0,00000;0,0000;0,00000000;0,00000000;0,00181;Infinity;0,5141;28,212789;-0,000054;23,856615;23,824662;0,0000;-0,0102;0,00;0,04;0,00;0,00;1,03;;23,708;24,922;0,0094733;20,94800;0,05200;0,00500;0,0001130;;22,49;21,00;;;
