General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
;;;%;%;%;Pa;-;g;g/s;Pa;%;kW/m²;°C;°C;°C;°C;°C;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;;
Edge frame?;N;9;20,95700;0,05000;-0,010000;130,175;100,02;0,0100;0,000;100,600;41,500;0,005;298,750;298,250;26,30;298,250;263,196;0,000;24,900;25,600;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,57;15,887;25,031;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;15,5358;0,00000;0,0000;-180,39585368;-180,39585368;0,00047;0,00000;0,0667;28,450317;0,000053;24,065522;24,025245;0,0000;0,0105;0,00;0,08;0,00;0,00;0,93;;5,178;3,565;0,0165301;20,95300;0,05100;-0,00100;0,0001951;;11,62;9,00;;;
Grid?;N;10;20,95700;0,05000;-0,003000;126,525;100,02;451,3000;0,000;100,604;41,500;0,005;298,750;298,250;26,30;298,250;263,196;0,000;24,900;25,600;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,57;15,847;25,050;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;30,0580;0,00000;0,0000;-829,21837314;-829,21837314;-0,00226;0,00000;0,0967;28,048619;0,000071;23,725735;23,686027;0,0000;0,0138;0,00;0,09;0,00;0,00;1,20;;6,940;3,565;0,0319817;20,95200;0,05200;-0,01200;0,0003820;;462,91;10,00;;;
Non-scrubbed?;;11;20,95700;0,05100;0,003000;131,850;100,02;1445,5801;0,000;100,604;41,500;0,005;298,750;298,350;26,30;298,217;263,203;0,000;24,900;25,500;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,57;15,868;25,036;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;12,0518;0,00000;0,0000;-640,60751438;-640,60751438;0,00325;0,00000;0,1088;28,632771;0,000036;24,219856;24,187428;0,0000;0,0073;0,00;0,10;0,00;0,00;1,53;;8,223;5,425;0,0128231;20,95100;0,05300;0,01000;0,0001513;;1457,19;11,00;;;
Substrate used? {Y/N};;12;20,95300;0,05000;0,018000;123,550;100,02;1613,9501;0,000;100,600;41,500;0,005;298,750;298,350;26,30;298,250;263,203;0,000;24,900;25,600;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,57;15,894;25,010;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;7,9787;0,00000;0,0000;-15,34166431;-15,34166431;0,00266;-0,00010;0,1168;27,716902;0,000019;23,445143;23,413752;0,0000;0,0038;0,00;0,10;0,00;0,00;1,19;;8,372;5,425;0,0084893;20,95200;0,05400;0,00800;0,0001036;;1625,56;12,00;;;
Substrate;;13;20,95600;0,05000;0,021000;128,250;100,02;1613,9201;0,000;100,604;41,500;0,005;298,750;298,350;26,30;298,250;263,203;0,000;24,900;25,600;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,57;15,894;25,020;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;25,9870;0,00000;0,0000;14,04833380;14,04833380;-0,00053;0,00011;0,1428;28,239174;-0,000015;23,886921;23,854939;0,0000;-0,0029;0,00;0,10;0,00;0,00;1,51;;9,035;7,516;0,0276502;20,95100;0,05400;-0,00500;0,0003285;;1625,53;13,00;;;
Additional preparation details;;14;20,95700;0,05000;0,025000;131,525;100,02;1613,9201;0,000;100,600;41,500;0,005;298,750;298,350;26,30;298,250;263,203;0,000;24,900;25,600;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,57;15,875;25,031;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;24,2712;0,00000;0,0000;-0,00250006;-0,00250006;0,00022;-0,44327;0,1670;28,597460;-0,000015;24,189988;24,157599;0,0000;-0,0029;0,00;0,10;0,00;0,00;1,53;;10,184;7,516;0,0258246;20,95100;0,05300;-0,00200;0,0003032;;1625,53;14,00;;;
;;15;20,95700;0,05000;0,007000;129,650;100,03;1613,9201;0,000;100,602;41,500;0,005;298,750;298,450;26,30;298,250;263,203;0,000;24,900;25,600;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,57;15,837;25,036;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;38,0067;0,00000;0,0000;-0,00083335;-0,00083335;-0,00229;-1,84145;0,2050;28,392888;-0,000048;24,016945;23,992827;0,0000;-0,0095;0,00;0,10;0,00;0,00;1,81;;11,581;10,780;0,0404391;20,95000;0,05400;-0,01200;0,0004774;;1625,53;15,00;;;
Specimen;;16;20,95600;0,05000;0,003000;129,650;100,03;1613,9201;0,000;100,602;41,500;0,005;298,750;298,450;26,30;298,250;263,203;0,000;24,900;25,600;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,58;15,938;25,050;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;42,3170;0,00000;0,0000;0,00833352;0,00833352;-0,00454;0,18415;0,2474;28,392888;-0,000048;24,016945;23,992827;0,0000;-0,0095;0,00;0,10;0,00;0,00;1,51;;13,368;10,780;0,0450252;20,95100;0,05400;-0,02100;0,0005309;;1625,53;16,00;;;
Sample description;Candle_R3;17;20,95600;0,05000;-0,018000;128,400;100,04;1613,9101;0,000;100,600;41,500;0,005;298,750;298,450;26,30;298,217;263,203;0,000;24,900;25,500;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,58;15,912;25,039;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;32,0376;0,00000;0,0000;-0,01416699;-0,01416699;-0,00178;-0,07729;0,2794;28,255684;-0,000169;23,900886;23,876885;0,0000;-0,0332;0,00;0,10;0,00;0,00;1,51;;14,768;13,632;0,0340881;20,95100;0,05300;-0,01000;0,0004044;;1625,52;17,00;;;
Material name/ID;Candle / Teelicht;18;20,95600;0,05100;-0,007000;132,400;100,03;1613,9401;0,000;100,604;41,500;0,005;298,850;298,450;26,30;298,250;263,203;0,000;24,900;25,600;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,58;15,898;25,036;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;40,7052;0,00000;0,0000;-0,00083335;-0,00083335;-0,00383;-1,33399;0,3201;28,687628;-0,000099;24,274381;24,241891;0,0000;-0,0197;0,00;0,10;0,00;0,00;1,53;;15,968;13,632;0,0433103;20,95100;0,05300;-0,01800;0,0005056;;1625,55;18,00;;;
