General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
;;;%;%;%;Pa;-;g;g/s;Pa;%;kW/m²;°C;°C;°C;°C;°C;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;;
Test;;0;20,95400;0,05200;-0,008000;130,550;100,03;0,0000;0,000;100,560;41,400;0,000;299,250;298,750;26,80;299,150;263,151;0,000;25,800;26,500;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,36;15,725;25,816;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;2,0673;;;0,00000000;0,00000000;-0,00181;-Infinity;0,0021;28,467454;-0,000075;24,120319;24,080018;0,0000;-0,0018;0,00;0,00;0,00;0,00;0,04;;;;0,0182665;20,95300;0,05100;-0,01100;0,0002147;;11,61;0,00;;;
Standard used;ISO 5660-1;1;20,95300;0,05200;-0,018000;129,500;100,03;0,0000;0,000;100,556;41,400;0,000;299,250;298,750;26,80;299,117;263,151;0,000;25,800;26,400;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,36;15,702;25,800;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,6042;;;0,00000000;0,00000000;-0,00205;-Infinity;0,0037;28,352743;-0,000110;24,023125;23,982986;0,0000;-0,0026;0,00;0,00;0,00;0,00;0,01;;0,802;1,604;0,0141751;20,95400;0,05100;-0,01200;0,0001670;;11,61;1,00;;;
Date of test;26.08.2026;2;20,94900;0,05200;-0,024000;132,000;100,03;0,0000;0,000;100,558;41,400;0,000;299,250;298,750;26,80;299,117;263,151;0,000;25,800;26,400;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,36;15,708;25,824;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,9559;;;0,00000000;0,00000000;-0,00157;-Infinity;0,0056;28,625109;-0,000095;24,253900;24,213376;0,0000;-0,0023;0,00;0,00;0,00;0,00;0,04;;1,291;1,604;0,0172827;20,95300;0,05100;-0,01000;0,0002021;;11,61;2,00;;;
Time of test;15:09;3;20,95000;0,05100;-0,037000;128,200;100,03;0,0000;0,000;100,560;41,400;0,000;299,250;298,750;26,80;299,150;263,151;0,000;25,800;26,500;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,36;15,709;25,824;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,9600;;;0,00000000;0,00000000;-0,00304;Infinity;0,0076;28,210072;-0,000045;23,902242;23,862305;0,0000;-0,0011;0,00;0,00;0,00;0,00;0,01;;1,513;1,723;0,0173188;20,95400;0,05200;-0,01600;0,0002050;;11,61;3,00;;;
Heat flux (kW/m²);75;4;20,95200;0,05000;-0,031000;130,725;100,02;0,0000;0,000;100,556;41,400;0,000;299,250;298,750;26,80;299,150;263,151;0,000;25,800;26,500;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,37;15,702;25,805;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,5430;;;0,00000000;0,00000000;-0,00080;-Infinity;0,0081;28,486527;0,000039;24,136480;24,096152;0,0000;0,0009;0,00;0,00;0,00;0,00;-0,03;;1,448;1,723;0,0047982;20,95500;0,05000;-0,00700;0,0000560;;11,61;4,00;;;
Nominal duct flow rate (l/s);24,0;5;20,95400;0,05000;-0,023000;122,850;100,02;0,0000;0,000;100,560;41,400;0,000;299,150;298,750;26,80;299,150;263,158;0,000;25,800;26,500;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,37;15,643;25,824;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,00000000;0,00000000;0,00141;-Infinity;0,0081;27,619789;0,000020;23,394277;23,362996;0,0000;0,0005;0,00;0,00;0,00;0,00;-0,03;;1,213;1,426;0,0000000;20,95500;0,05100;0,00200;-0,0000706;;11,61;5,00;;;
Sampling interval (s);1;6;20,95200;0,05000;-0,007000;129,800;100,02;0,0000;0,000;100,562;41,400;0,000;299,150;298,750;26,80;299,150;263,158;0,000;25,800;26,500;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,37;15,652;25,803;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0228;;;0,00000000;0,00000000;0,00120;-Infinity;0,0082;28,390309;0,000003;24,046916;24,014763;0,0000;0,0001;0,00;0,00;0,00;0,00;0,01;;1,012;1,426;0,0002013;20,95400;0,05100;0,00100;0,0000025;;11,61;6,00;;;
Separation (mm);25;7;20,95100;0,05100;-0,008000;131,050;100,02;0,0000;0,000;100,562;41,400;0,000;299,250;298,750;26,80;299,150;263,158;0,000;25,800;26,500;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,37;15,681;25,824;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,00000000;0,00000000;0,00171;Infinity;0,0082;28,521916;-0,000015;24,166465;24,126086;0,0000;-0,0004;0,00;0,00;0,00;0,00;0,01;;0,869;1,018;0,0000000;20,95400;0,05200;0,00300;-0,0000355;;11,61;7,00;;;
Orientation;hor;8;20,95300;0,05100;-0,003000;131,875;100,02;0,0000;0,000;100,558;41,400;0,000;299,150;298,750;26,80;299,150;263,158;0,000;25,800;26,500;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,37;15,679;25,816;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,2364;;;0,00000000;0,00000000;0,00197;-Infinity;0,0084;28,616334;0,000000;24,238362;24,205953;0,0000;0,0000;0,00;0,00;0,00;0,00;0,04;;0,776;1,018;0,0020887;20,95300;0,05100;0,00400;0,0000249;;11,61;8,00;;;
