General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
Edge frame?;N;9;20,95400;0,05100;-0,008000;130,150;100,02;0,0000;0,000;100,560;41,400;0,000;299,250;298,750;26,80;299,150;263,158;0,000;25,800;26,500;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,37;15,715;25,808;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,4233;;;0,00000000;0,00000000;0,00045;Infinity;0,0098;28,423809;-0,000001;24,083340;24,043100;0,0000;0,0000;0,00;0,00;0,00;0,00;0,08;;0,782;0,950;0,0125766;20,95200;0,05200;-0,00200;0,0001485;;11,61;9,00;;;
Grid?;N;10;20,95300;0,05100;-0,001000;126,525;100,02;0,0000;0,000;100,560;41,400;0,000;299,150;298,750;26,80;299,150;263,151;0,000;25,800;26,500;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,37;15,700;25,816;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;2,3350;;;13,06251017;13,06251017;-0,00054;0,00005;0,0121;28,029861;-0,000002;23,741613;23,709867;0,0000;0,0000;0,00;0,00;0,00;0,00;0,11;;0,891;0,950;0,0206321;20,95100;0,05300;-0,00600;0,0002469;;11,61;10,00;;;
Non-scrubbed?;;11;20,95300;0,05100;-0,011000;128,025;100,02;0,0000;0,000;100,562;41,400;0,000;299,150;298,750;26,80;299,150;263,158;0,000;25,800;26,500;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,38;15,673;25,808;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;4,7655;;;25,29659176;25,29659176;-0,00179;0,00010;0,0169;28,195523;0,000031;23,881931;23,849998;0,0000;0,0007;0,00;0,00;0,00;0,00;0,25;;1,133;1,340;0,0421076;20,94700;0,05700;-0,01100;0,0005010;;11,61;11,00;;;
Substrate used? {Y/N};;12;20,95300;0,05100;-0,012000;128,925;100,03;156,7501;0,000;100,560;41,400;0,000;299,150;298,750;26,80;299,183;263,158;0,000;25,900;26,500;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,38;15,673;25,816;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;6,5081;;;-902,00337887;-902,00337887;-0,00205;0,00000;0,0234;28,294455;-0,000105;23,965727;23,933682;0,0000;-0,0025;0,00;0,00;0,00;0,00;0,36;;1,508;1,340;0,0575058;20,94400;0,05800;-0,01200;0,0006821;;168,36;12,00;;;
Substrate;;13;20,95400;0,05200;-0,010000;127,750;100,03;1557,5601;0,000;100,558;41,400;0,000;299,250;298,850;26,80;299,150;263,158;0,000;25,900;26,400;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,38;15,687;25,827;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;8,0141;;;-850,08996232;-850,08996232;-0,00030;-0,00001;0,0314;28,160518;-0,000090;23,860254;23,828361;0,0000;-0,0021;0,00;0,00;0,00;0,00;0,53;;1,951;2,117;0,0708127;20,93900;0,06200;-0,00500;0,0008448;;1569,17;13,00;;;
Additional preparation details;;14;20,95300;0,05000;-0,016000;131,050;100,04;1636,4401;0,000;100,558;41,400;0,000;299,350;298,950;26,80;299,150;263,158;0,000;25,900;26,400;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,38;15,664;25,832;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;9,0609;;;70,72083124;70,72083124;0,00272;0,00009;0,0405;28,517152;-0,000159;24,170502;24,138205;0,0000;-0,0038;0,00;0,00;0,00;0,01;0,72;;2,421;2,117;0,0800619;20,93400;0,06600;0,00700;0,0009443;;1648,05;14,00;;;
;;15;20,95400;0,05100;-0,007000;125,050;100,03;1636,4401;0,000;100,562;41,400;0,000;299,350;299,050;26,80;299,183;263,158;0,000;25,900;26,500;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,38;15,681;25,843;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;9,3887;;;6,57333310;6,57333310;0,00315;0,00114;0,0499;27,856689;-0,000108;23,610709;23,587047;0,0000;-0,0025;0,00;0,00;0,00;0,01;0,77;;2,875;2,995;0,0829589;20,93200;0,06900;0,00900;0,0010018;;1648,05;15,00;;;
Specimen;;16;20,95500;0,05100;0,002000;125,000;100,03;1636,4401;0,000;100,558;41,400;0,000;299,450;299,150;26,80;299,183;263,158;0,000;25,900;26,500;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,38;15,658;25,824;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;12,0377;;;0,00000000;0,00000000;0,00118;Infinity;0,0619;27,846469;-0,000059;23,609931;23,586278;0,0000;-0,0014;0,00;0,00;0,00;0,01;0,88;;3,365;2,995;0,1063651;20,92900;0,06900;0,00100;0,0012841;;1648,05;16,00;;;
Sample description;Candle_R3;17;20,95500;0,05200;0,001000;130,075;100,03;1636,4401;0,000;100,558;41,400;0,000;299,450;299,250;26,80;299,150;263,158;0,000;25,900;26,400;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,38;15,694;25,816;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;11,9153;;;0,00833352;0,00833352;0,00170;0,96988;0,0738;28,406127;-0,000025;24,084443;24,068357;0,0000;-0,0006;0,00;0,00;0,00;0,01;0,89;;3,871;3,896;0,1052837;20,92900;0,07000;0,00300;0,0012461;;1648,05;17,00;;;
Material name/ID;Candle / Teelicht;18;20,95400;0,05100;0,003000;131,700;100,03;1636,4401;0,000;100,558;41,400;0,000;299,450;299,350;26,80;299,183;263,158;0,000;25,900;26,500;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,39;15,700;25,816;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;13,2141;;;0,05916532;0,05916532;-0,00081;0,13746;0,0871;28,583012;-0,000060;24,234417;24,226324;0,0000;-0,0014;0,00;0,00;0,00;0,01;0,90;;4,354;3,896;0,1167597;20,92900;0,07000;-0,00700;0,0013725;;1648,05;18,00;;;
Specimen number;R3;19;20,95400;0,05200;0,004000;129,425;100,02;1636,5401;0,000;100,560;41,400;0,000;299,550;299,350;26,80;299,183;263,158;0,000;25,900;26,500;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,39;15,708;25,816;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;15,0075;;;-1,00583458;-1,00583458;-0,00355;-0,00801;0,1021;28,330335;0,000024;24,028203;24,012161;0,0000;0,0006;0,00;0,00;0,00;0,01;0,93;;4,868;4,903;0,1326060;20,92800;0,07000;-0,01800;0,0015719;;1648,15;19,00;;;
E (MJ/kg);13,10;20;20,95300;0,05300;-0,002000;128,525;100,02;1637,9501;0,000;100,558;41,400;0,000;299,550;299,450;26,80;299,150;263,158;0,000;25,900;26,400;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,39;15,666;25,821;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;14,7436;;;0,06083361;0,06083361;-0,00403;0,12495;0,1168;28,231660;0,000023;23,944513;23,936519;0,0000;0,0005;0,00;0,00;0,00;0,01;0,89;;5,368;4,903;0,1302744;20,92900;0,06900;-0,02000;0,0015495;;1649,56;20,00;;;
Initial mass (g);11,61;21;20,95200;0,05700;-0,006000;127,075;100,02;1636,4501;0,000;100,562;41,400;0,000;299,650;299,450;26,80;299,183;263,158;0,000;25,900;26,500;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,39;15,681;25,821;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;14,8965;;;0,99249999;0,99249999;-0,00401;0,00675;0,1317;28,067271;0,000039;23,813034;23,797140;0,0000;0,0009;0,00;0,00;0,00;0,01;0,88;;5,818;5,860;0,1316254;20,92900;0,06700;-0,02000;0,0015747;;1648,06;21,00;;;
Thickness (mm);13,03;22;20,95100;0,05800;-0,011000;129,650;100,02;1636,4501;0,000;100,558;41,400;0,000;299,650;299,550;26,80;299,183;263,158;0,000;25,900;26,500;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,39;15,645;25,819;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;11,6189;;;-0,12500000;-0,12500000;-0,00055;-0,05412;0,1433;28,350217;0,000022;24,053094;24,045067;0,0000;0,0005;0,00;0,00;0,00;0,01;0,79;;6,156;5,860;0,1026643;20,93200;0,06700;-0,00600;0,0012168;;1648,06;22,00;;;
Surface area (cm²);88,36;23;20,94700;0,06200;-0,012000;129,500;100,02;1636,4501;0,000;100,562;41,400;0,000;299,650;299,550;26,80;299,150;263,158;0,000;25,900;26,400;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,39;15,702;25,845;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;10,5186;0,00000;0,0000;0,00000000;0,00000000;0,00195;Infinity;0,1538;28,333812;0,000054;24,039175;24,031153;0,0000;0,0013;0,00;0,01;0,00;0,01;0,79;;6,370;6,455;0,0929425;20,93200;0,06600;0,00400;0,0011030;;1648,06;23,00;;;
Sponsor;;24;20,94400;0,06600;-0,005000;123,725;100,02;1636,4501;0,000;100,560;41,400;0,000;299,750;299,550;26,80;299,150;263,158;0,000;25,900;26,400;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,39;15,732;25,827;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;8,4113;0,00000;0,0000;0,00000000;0,00000000;0,00459;Infinity;0,1622;27,690220;0,000053;23,500974;23,485294;0,0000;0,0012;0,00;0,01;0,00;0,01;0,73;;6,499;6,455;0,0743221;20,93300;0,06600;0,01500;0,0009035;;1648,06;24,00;;;
Manufacturer;;25;20,93900;0,06900;0,007000;130,350;100,02;1636,4501;0,000;100,558;41,400;0,000;299,750;299,650;26,80;299,183;263,158;0,000;25,900;26,500;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,40;15,721;25,829;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;9,8826;0,00000;0,0000;0,00000000;0,00000000;0,00120;Infinity;0,1721;28,421905;-0,000015;24,121963;24,113916;0,0000;-0,0004;0,00;0,01;0,00;0,01;0,72;;6,605;6,755;0,0873223;20,93400;0,06500;0,00100;0,0010328;;1648,06;25,00;;;
Test start time (s);60;26;20,93400;0,06900;0,009000;130,400;100,02;1636,4501;0,000;100,558;41,400;0,000;299,750;299,650;26,80;299,183;263,158;0,000;25,900;26,500;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,40;15,746;25,824;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;7,5690;0,00000;0,0000;0,00000000;0,00000000;0,00597;Infinity;0,1797;28,427356;0,000018;24,126589;24,118540;0,0000;0,0004;0,00;0,01;0,01;0,01;0,72;;6,686;6,755;0,0668794;20,93400;0,06500;0,02000;0,0007925;;1648,06;26,00;;;
Time to ignition (s);23;27;20,93200;0,07000;0,001000;124,775;100,02;1636,4501;0,000;100,562;41,400;0,000;299,750;299,750;26,80;299,183;263,158;0,000;25,900;26,500;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,40;15,709;25,819;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;9,1922;0,00000;0,0000;0,00000000;0,00000000;0,00216;Infinity;0,1889;27,807469;0,000051;23,600485;23,600485;0,0000;0,0012;0,00;0,01;0,00;0,01;0,70;;6,749;6,961;0,0812220;20,93400;0,06500;0,00500;0,0009822;;1648,06;27,00;;;
Time to flameout (s);2427;28;20,92900;0,07000;0,003000;127,150;100,02;1636,4501;0,000;100,558;41,400;0,000;299,850;299,750;26,80;299,183;263,158;0,000;25,900;26,500;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,40;15,755;25,832;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;8,6442;0,00000;0,0000;-0,00083351;-0,00083351;0,00490;-6,49035;0,1975;28,066188;0,000000;23,828009;23,820062;0,0000;0,0000;0,00;0,01;0,00;0,01;0,74;;6,827;6,961;0,0763802;20,93300;0,06400;0,01600;0,0009161;;1648,06;28,00;;;
End of test criteria;User end of test;29;20,92900;0,07000;-0,007000;126,800;100,02;1636,4501;0,000;100,562;41,400;0,000;299,850;299,750;26,80;299,150;263,158;0,000;25,900;26,400;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,40;15,730;25,845;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;10,7055;0,00000;0,0000;0,00583458;0,00583458;-0,00054;0,92592;0,2082;28,027533;-0,000018;23,795191;23,787256;0,0000;-0,0004;0,00;0,01;0,00;0,01;0,71;;6,925;7,167;0,0945937;20,93400;0,06400;-0,00600;0,0011340;;1648,06;29,00;;;
User EOT time (s);3240;30;20,92900;0,06900;-0,018000;131,250;100,02;1636,4401;0,000;100,556;41,400;0,000;299,850;299,850;26,80;299,183;263,158;0,000;25,900;26,500;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,40;15,740;25,811;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;12,1440;0,00000;0,0000;0,00583458;0,00583458;-0,00408;0,86726;0,2204;28,515101;0,000066;24,209133;24,209133;0,0000;0,0016;0,00;0,01;0,00;0,01;0,68;;7,075;7,167;0,1073046;20,93500;0,06300;-0,02000;0,0012632;;1648,05;30,00;;;
MLR EOT mass (g/m²);;31;20,92800;0,06700;-0,020000;134,900;100,02;1636,4401;0,000;100,562;41,400;0,000;299,850;299,850;26,80;299,183;263,158;0,000;25,900;26,500;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,40;15,790;25,824;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;12,6832;0,00000;0,0000;-0,00083351;-0,00083351;-0,00490;-6,15466;0,2331;28,908877;0,000032;24,543446;24,543446;0,0000;0,0008;0,00;0,01;0,00;0,01;0,69;;7,247;7,459;0,1120688;20,93500;0,06300;-0,02300;0,0013011;;1648,05;31,00;;;
MLR time period (s);;32;20,92900;0,06700;-0,020000;126,725;100,02;1636,4401;0,000;100,556;41,400;0,000;299,950;299,850;26,80;299,217;263,158;0,000;26,000;26,500;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,41;15,763;25,832;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;11,4207;0,00000;0,0000;0,00000000;0,00000000;-0,00203;Infinity;0,2445;28,014572;0,000031;23,792119;23,784187;0,0000;0,0007;0,00;0,01;0,00;0,01;0,71;;7,397;7,459;0,1009135;20,93400;0,06400;-0,01200;0,0012098;;1648,05;32,00;;;
Truncate graphs at EOT;;33;20,92900;0,06600;-0,006000;130,800;100,02;1636,4401;0,000;100,558;41,400;0,000;299,950;299,850;26,90;299,183;263,158;0,000;25,900;26,500;25,700;301,750;;;;;0,00;0,00;0,00;3,00;12,41;15,782;25,816;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;11,1151;0,00000;0,0000;0,00000000;0,00000000;-0,00105;Infinity;0,2556;28,461430;0,000030;24,171625;24,163567;0,0000;0,0007;0,00;0,01;0,00;0,01;0,72;;7,515;7,728;0,0982132;20,93400;0,06400;-0,00800;0,0011592;;1648,05;33,00;;;
