s,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box
 3.10132E+001, 3.06376E+001, 2.88403E+001, 2.50000E+001, 2.50000E+001, 2.54052E+001, 2.66586E+001, 2.72430E+001, 1.80195E-002, 2.06808E-001, 2.44368E+002
 3.20174E+001, 3.07289E+001, 2.91310E+001, 2.50000E+001, 2.50000E+001, 2.52395E+001, 2.67202E+001, 2.74966E+001, 1.79950E-002, 2.06803E-001, 2.55775E+002
 3.30038E+001, 3.10591E+001, 3.02166E+001, 2.50000E+001, 2.50000E+001, 2.52202E+001, 2.69698E+001, 2.77406E+001, 1.79945E-002, 2.06787E-001, 2.66416E+002
 3.40044E+001, 3.08077E+001, 2.86102E+001, 2.50000E+001, 2.50000E+001, 2.51846E+001, 2.70914E+001, 2.79295E+001, 1.79829E-002, 2.06749E-001, 2.76644E+002
 3.50105E+001, 3.02771E+001, 2.89898E+001, 2.50000E+001, 2.50000E+001, 2.51467E+001, 2.69986E+001, 2.78931E+001, 1.80004E-002, 2.06691E-001, 2.86771E+002
 3.60165E+001, 2.99342E+001, 2.92927E+001, 2.50000E+001, 2.50000E+001, 2.51289E+001, 2.68500E+001, 2.76959E+001, 1.79990E-002, 2.06613E-001, 2.96829E+002
 3.70028E+001, 3.00047E+001, 2.87797E+001, 2.50000E+001, 2.50000E+001, 2.51202E+001, 2.66320E+001, 2.75935E+001, 1.80012E-002, 2.06553E-001, 3.06438E+002
 3.80089E+001, 3.05740E+001, 2.93587E+001, 2.50000E+001, 2.50000E+001, 2.51139E+001, 2.66586E+001, 2.76491E+001, 1.79990E-002, 2.06514E-001, 3.15613E+002
 3.90149E+001, 3.11818E+001, 3.05057E+001, 2.50000E+001, 2.50000E+001, 2.51165E+001, 2.65243E+001, 2.74745E+001, 1.80006E-002, 2.06478E-001, 3.24312E+002
 4.00013E+001, 3.28613E+001, 3.06179E+001, 2.50000E+001, 2.50000E+001, 2.51146E+001, 2.67125E+001, 2.77543E+001, 1.79986E-002, 2.06443E-001, 3.32264E+002
 4.10131E+001, 3.40707E+001, 3.20873E+001, 2.50000E+001, 2.50000E+001, 2.51028E+001, 2.69274E+001, 2.78765E+001, 1.80207E-002, 2.06413E-001, 3.39625E+002
 4.20107E+001, 3.49668E+001, 3.27609E+001, 2.50000E+001, 2.50000E+001, 2.51042E+001, 2.62609E+001, 2.78387E+001, 1.80003E-002, 2.06366E-001, 3.46314E+002
 4.30084E+001, 3.50562E+001, 3.32963E+001, 2.50000E+001, 2.50000E+001, 2.51020E+001, 2.59168E+001, 2.75420E+001, 1.80004E-002, 2.06281E-001, 3.52149E+002
 4.40060E+001, 3.50513E+001, 3.32895E+001, 2.50000E+001, 2.50000E+001, 2.50918E+001, 2.64253E+001, 2.77782E+001, 1.80025E-002, 2.06197E-001, 3.57359E+002
 4.50037E+001, 3.42154E+001, 3.23800E+001, 2.50000E+001, 2.50000E+001, 2.50857E+001, 2.69884E+001, 2.78734E+001, 1.80013E-002, 2.06148E-001, 3.62070E+002
 4.60013E+001, 3.38665E+001, 3.23375E+001, 2.50000E+001, 2.50000E+001, 2.50859E+001, 2.68285E+001, 2.72462E+001, 1.79992E-002, 2.06137E-001, 3.66432E+002
 4.70165E+001, 3.36255E+001, 3.21315E+001, 2.50000E+001, 2.50000E+001, 2.50832E+001, 2.71996E+001, 2.70212E+001, 1.80023E-002, 2.06096E-001, 3.70619E+002
 4.80141E+001, 3.31719E+001, 3.23605E+001, 2.50000E+001, 2.50000E+001, 2.50831E+001, 2.75510E+001, 2.75920E+001, 1.79999E-002, 2.06054E-001, 3.74638E+002
 4.90117E+001, 3.22983E+001, 3.23667E+001, 2.50000E+001, 2.50000E+001, 2.50831E+001, 2.72884E+001, 2.81744E+001, 1.79994E-002, 2.06035E-001, 3.78357E+002
 5.00094E+001, 3.17078E+001, 3.12861E+001, 2.50000E+001, 2.50000E+001, 2.50781E+001, 2.70688E+001, 2.78853E+001, 1.80017E-002, 2.06010E-001, 3.81798E+002
 5.10070E+001, 3.08646E+001, 3.09008E+001, 2.50000E+001, 2.50000E+001, 2.50742E+001, 2.72445E+001, 2.75058E+001, 1.80013E-002, 2.06002E-001, 3.84927E+002
 5.20047E+001, 3.08454E+001, 3.07236E+001, 2.50000E+001, 2.50000E+001, 2.50725E+001, 2.72740E+001, 2.78800E+001, 1.79976E-002, 2.06033E-001, 3.87940E+002
 5.30023E+001, 3.07986E+001, 3.04792E+001, 2.50000E+001, 2.50000E+001, 2.50706E+001, 2.68863E+001, 2.82633E+001, 1.79962E-002, 2.06033E-001, 3.90971E+002
 5.40052E+001, 3.03812E+001, 3.15144E+001, 2.50000E+001, 2.50000E+001, 2.50687E+001, 2.62974E+001, 2.85311E+001, 1.79811E-002, 2.05979E-001, 3.94052E+002
 5.50064E+001, 3.06651E+001, 3.07671E+001, 2.50000E+001, 2.50000E+001, 2.50702E+001, 2.65750E+001, 2.84873E+001, 1.79989E-002, 2.05953E-001, 3.97072E+002
 5.60075E+001, 3.04689E+001, 3.06645E+001, 2.50000E+001, 2.50000E+001, 2.50692E+001, 2.70552E+001, 2.83577E+001, 1.80008E-002, 2.05962E-001, 3.99969E+002
 5.70086E+001, 3.05294E+001, 3.08612E+001, 2.50000E+001, 2.50000E+001, 2.50725E+001, 2.62898E+001, 2.82048E+001, 1.80028E-002, 2.05915E-001, 4.02802E+002
 5.80098E+001, 3.02726E+001, 3.08926E+001, 2.50000E+001, 2.50000E+001, 2.50665E+001, 2.70905E+001, 2.82096E+001, 1.80012E-002, 2.05825E-001, 4.05726E+002
 5.90109E+001, 2.97675E+001, 3.01582E+001, 2.50000E+001, 2.50000E+001, 2.50623E+001, 2.72916E+001, 2.77154E+001, 1.79984E-002, 2.05813E-001, 4.08647E+002
 6.00121E+001, 2.90279E+001, 2.96995E+001, 2.50000E+001, 2.50000E+001, 2.50615E+001, 2.73970E+001, 2.80162E+001, 1.80051E-002, 2.05784E-001, 4.11373E+002
 6.10132E+001, 2.84344E+001, 3.00957E+001, 2.50000E+001, 2.50000E+001, 2.50586E+001, 2.75524E+001, 2.85444E+001, 1.80018E-002, 2.05727E-001, 4.13910E+002
 6.20144E+001, 2.89169E+001, 3.01882E+001, 2.50000E+001, 2.50000E+001, 2.50600E+001, 2.66377E+001, 2.83278E+001, 1.79978E-002, 2.05684E-001, 4.16271E+002
 6.30020E+001, 2.86394E+001, 3.07230E+001, 2.50000E+001, 2.50000E+001, 2.50581E+001, 2.59952E+001, 2.79008E+001, 1.79814E-002, 2.05678E-001, 4.18493E+002
