s,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box
 3.10124E+001, 2.66146E+001, 2.82404E+001, 4.01975E+001, 2.99651E+001, 2.54011E+001, 2.60393E+001, 2.55679E+001, 1.80003E-002, 2.06832E-001, 2.00448E+002
 3.20031E+001, 2.67560E+001, 2.90663E+001, 3.99039E+001, 3.00615E+001, 2.54298E+001, 2.64191E+001, 2.56483E+001, 1.79879E-002, 2.06837E-001, 2.09007E+002
 3.30126E+001, 2.68095E+001, 2.88942E+001, 3.95742E+001, 3.03513E+001, 2.52784E+001, 2.65390E+001, 2.60506E+001, 1.79980E-002, 2.06840E-001, 2.17232E+002
 3.40073E+001, 2.66987E+001, 2.86038E+001, 4.02062E+001, 3.04295E+001, 2.52898E+001, 2.64460E+001, 2.61911E+001, 1.79977E-002, 2.06835E-001, 2.25112E+002
 3.50021E+001, 2.67676E+001, 2.87194E+001, 4.06862E+001, 3.04352E+001, 2.52223E+001, 2.61833E+001, 2.62455E+001, 1.80009E-002, 2.06812E-001, 2.32558E+002
 3.60115E+001, 2.70735E+001, 2.95749E+001, 4.01435E+001, 3.04138E+001, 2.51388E+001, 2.60633E+001, 2.64123E+001, 1.79988E-002, 2.06756E-001, 2.39700E+002
 3.70063E+001, 2.67086E+001, 2.95125E+001, 4.06315E+001, 3.05251E+001, 2.50983E+001, 2.65549E+001, 2.65430E+001, 1.80012E-002, 2.06659E-001, 2.46679E+002
 3.80011E+001, 2.69551E+001, 2.75629E+001, 4.05052E+001, 3.01703E+001, 2.50831E+001, 2.67960E+001, 2.66865E+001, 1.79998E-002, 2.06568E-001, 2.53382E+002
 3.90116E+001, 2.73712E+001, 2.93830E+001, 4.09356E+001, 3.04386E+001, 2.50770E+001, 2.66111E+001, 2.69169E+001, 1.80010E-002, 2.06547E-001, 2.59882E+002
 4.00072E+001, 2.72383E+001, 3.12206E+001, 4.07046E+001, 3.04241E+001, 2.50736E+001, 2.60987E+001, 2.71598E+001, 1.80032E-002, 2.06587E-001, 2.66017E+002
 4.10021E+001, 2.78148E+001, 3.12685E+001, 4.13349E+001, 3.05083E+001, 2.50711E+001, 2.54025E+001, 2.68563E+001, 1.79999E-002, 2.06570E-001, 2.71647E+002
 4.20131E+001, 2.87840E+001, 3.25499E+001, 4.17293E+001, 3.00308E+001, 2.50690E+001, 2.52548E+001, 2.67555E+001, 1.80113E-002, 2.06476E-001, 2.76880E+002
 4.30060E+001, 2.94482E+001, 3.21840E+001, 4.24966E+001, 3.00589E+001, 2.50670E+001, 2.54009E+001, 2.66899E+001, 1.79929E-002, 2.06413E-001, 2.81498E+002
 4.40125E+001, 2.95847E+001, 3.21669E+001, 4.36664E+001, 2.96918E+001, 2.50650E+001, 2.58389E+001, 2.62177E+001, 1.79994E-002, 2.06400E-001, 2.85310E+002
