s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,rk_x075_z020,rk_x075_z035,rk_x075_z050,rk_x075_z070,rk_x075_z100,rk_x090_z020,rk_x090_z035,rk_x090_z050,rk_x090_z070,rk_x090_z100,rk_x105_z020,rk_x105_z035,rk_x105_z050,rk_x105_z070,rk_x105_z100,rk_x120_z020,rk_x120_z035,rk_x120_z050,rk_x120_z070,rk_x120_z100,rk_x135_z020,rk_x135_z035,rk_x135_z050,rk_x135_z070,rk_x135_z100,rk_x150_z020,rk_x150_z035,rk_x150_z050,rk_x150_z070,rk_x150_z100,Tmax_core,Tmax_T1cell,HRR,O2_room,p_box
 0.00000E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 0.00000E+000, 2.06860E-001,-2.42931E-006
 1.00194E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50032E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50039E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50026E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50001E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.51624E+001, 2.50001E+001, 1.82212E-005, 2.06860E-001, 4.75153E-003
 2.00051E+000, 2.50001E+001, 2.50001E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50883E+001, 2.50031E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 2.51174E+001, 2.50043E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 2.50825E+001, 2.50030E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 2.50085E+001, 2.50005E+001, 2.50001E+001, 2.50001E+001, 2.50000E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 2.50000E+001, 2.63525E+001, 2.50043E+001, 1.31323E-004, 2.06860E-001, 5.01216E-002
 3.00245E+000, 2.50004E+001, 2.50002E+001, 2.50002E+001, 2.50001E+001, 2.50002E+001, 2.50002E+001, 2.50002E+001, 2.58111E+001, 2.50663E+001, 2.50007E+001, 2.50003E+001, 2.50002E+001, 2.66584E+001, 2.51285E+001, 2.50009E+001, 2.50003E+001, 2.50002E+001, 2.57930E+001, 2.50644E+001, 2.50007E+001, 2.50003E+001, 2.50002E+001, 2.50708E+001, 2.50094E+001, 2.50004E+001, 2.50002E+001, 2.50002E+001, 2.50014E+001, 2.50005E+001, 2.50003E+001, 2.50002E+001, 2.50002E+001, 2.50003E+001, 2.50003E+001, 2.50002E+001, 2.50002E+001, 2.50002E+001, 2.96302E+001, 2.51260E+001, 3.59774E-004, 2.06860E-001, 1.98012E-001
 4.00102E+000, 2.50205E+001, 2.50005E+001, 2.50004E+001, 2.50003E+001, 2.50004E+001, 2.50004E+001, 2.50004E+001, 2.64653E+001, 2.62803E+001, 2.56269E+001, 2.50296E+001, 2.50006E+001, 3.12681E+001, 2.91282E+001, 2.66564E+001, 2.52631E+001, 2.50006E+001, 2.64411E+001, 2.62584E+001, 2.56085E+001, 2.50266E+001, 2.50006E+001, 2.51627E+001, 2.51230E+001, 2.50205E+001, 2.50008E+001, 2.50006E+001, 2.50049E+001, 2.50023E+001, 2.50008E+001, 2.50006E+001, 2.50005E+001, 2.50011E+001, 2.50008E+001, 2.50007E+001, 2.50006E+001, 2.50005E+001, 3.43908E+001, 2.91393E+001, 7.03460E-004, 2.06860E-001, 5.34451E-001
 5.00296E+000, 2.51735E+001, 2.50011E+001, 2.50008E+001, 2.50005E+001, 2.50009E+001, 2.50009E+001, 2.50009E+001, 2.63933E+001, 2.60121E+001, 2.60859E+001, 2.62834E+001, 2.57596E+001, 3.54611E+001, 3.26967E+001, 3.04189E+001, 2.91935E+001, 2.70066E+001, 2.63402E+001, 2.59620E+001, 2.60514E+001, 2.62465E+001, 2.57426E+001, 2.51056E+001, 2.51251E+001, 2.51735E+001, 2.51396E+001, 2.50538E+001, 2.50066E+001, 2.50057E+001, 2.50033E+001, 2.50020E+001, 2.50012E+001, 2.50022E+001, 2.50019E+001, 2.50015E+001, 2.50013E+001, 2.50012E+001, 3.98983E+001, 3.26478E+001, 1.16253E-003, 2.06860E-001, 1.14321E+000
 6.00152E+000, 2.51175E+001, 2.51201E+001, 2.50302E+001, 2.50009E+001, 2.50016E+001, 2.50017E+001, 2.50016E+001, 2.66233E+001, 2.63011E+001, 2.62064E+001, 2.61936E+001, 2.61749E+001, 4.09091E+001, 3.71205E+001, 3.39288E+001, 3.20495E+001, 3.01146E+001, 2.65717E+001, 2.61758E+001, 2.60636E+001, 2.60516E+001, 2.60542E+001, 2.51006E+001, 2.50946E+001, 2.51175E+001, 2.51437E+001, 2.51720E+001, 2.50073E+001, 2.50074E+001, 2.50072E+001, 2.50066E+001, 2.50048E+001, 2.50036E+001, 2.50033E+001, 2.50029E+001, 2.50026E+001, 2.50022E+001, 4.64982E+001, 3.69457E+001, 1.73683E-003, 2.06860E-001, 2.12022E+000
 7.00009E+000, 2.51131E+001, 2.51985E+001, 2.65981E+001, 2.50014E+001, 2.50025E+001, 2.50028E+001, 2.50025E+001, 2.69147E+001, 2.66372E+001, 2.65375E+001, 2.65274E+001, 2.65306E+001, 4.61059E+001, 4.10393E+001, 3.71316E+001, 3.48160E+001, 3.24213E+001, 2.67463E+001, 2.64194E+001, 2.62989E+001, 2.62768E+001, 2.62652E+001, 2.51084E+001, 2.50962E+001, 2.51131E+001, 2.51325E+001, 2.51607E+001, 2.50089E+001, 2.50089E+001, 2.50095E+001, 2.50101E+001, 2.50103E+001, 2.50054E+001, 2.50051E+001, 2.50047E+001, 2.50044E+001, 2.50040E+001, 5.34685E+001, 4.07247E+001, 2.42531E-003, 2.06860E-001, 3.43033E+000
 8.00203E+000, 2.51207E+001, 2.52140E+001, 2.73375E+001, 2.50018E+001, 2.50034E+001, 2.50039E+001, 2.50034E+001, 2.73317E+001, 2.70728E+001, 2.69791E+001, 2.69749E+001, 2.69794E+001, 5.19708E+001, 4.58618E+001, 4.09610E+001, 3.80301E+001, 3.49736E+001, 2.69813E+001, 2.66689E+001, 2.65576E+001, 2.65300E+001, 2.65175E+001, 2.51153E+001, 2.51030E+001, 2.51207E+001, 2.51394E+001, 2.51684E+001, 2.50109E+001, 2.50106E+001, 2.50113E+001, 2.50123E+001, 2.50138E+001, 2.50075E+001, 2.50071E+001, 2.50066E+001, 2.50064E+001, 2.50061E+001, 6.04243E+001, 4.52550E+001, 3.23034E-003, 2.06860E-001, 4.85987E+000
