s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW,mol/mol,Pa
 9.00060E+000, 2.51280E+001, 2.52282E+001, 2.81036E+001, 2.50022E+001, 2.50044E+001, 2.50052E+001, 2.50044E+001, 2.75955E+001, 2.73831E+001, 2.73194E+001, 2.73417E+001, 2.74095E+001, 5.81473E+001, 5.03913E+001, 4.46100E+001, 4.11750E+001, 3.75946E+001, 2.71229E+001, 2.69214E+001, 2.68289E+001, 2.67930E+001, 2.67798E+001, 2.51005E+001, 2.51068E+001, 2.51280E+001, 2.51480E+001, 2.51785E+001, 2.50133E+001, 2.50127E+001, 2.50131E+001, 2.50141E+001, 2.50160E+001, 2.50100E+001, 2.50094E+001, 2.50088E+001, 2.50085E+001, 2.50082E+001, 6.76440E+001, 4.97430E+001, 4.15090E-003, 2.06860E-001, 6.47894E+000
 1.00025E+001, 2.51334E+001, 2.52437E+001, 2.87979E+001, 2.50027E+001, 2.50054E+001, 2.50066E+001, 2.50055E+001, 2.82145E+001, 2.78716E+001, 2.78001E+001, 2.78355E+001, 2.78670E+001, 6.58308E+001, 5.60666E+001, 4.89538E+001, 4.47390E+001, 4.03212E+001, 2.73318E+001, 2.70546E+001, 2.69897E+001, 2.69994E+001, 2.70176E+001, 2.51041E+001, 2.51076E+001, 2.51334E+001, 2.51569E+001, 2.51895E+001, 2.50161E+001, 2.50153E+001, 2.50153E+001, 2.50161E+001, 2.50178E+001, 2.50129E+001, 2.50121E+001, 2.50112E+001, 2.50108E+001, 2.50103E+001, 7.62457E+001, 5.46984E+001, 5.18766E-003, 2.06860E-001, 8.35318E+000
 1.10007E+001, 2.51412E+001, 2.52544E+001, 2.96490E+001, 2.50034E+001, 2.50068E+001, 2.50084E+001, 2.50069E+001, 2.88951E+001, 2.84810E+001, 2.83806E+001, 2.84350E+001, 2.85091E+001, 7.39699E+001, 6.28051E+001, 5.44247E+001, 4.94202E+001, 4.41351E+001, 2.77388E+001, 2.73883E+001, 2.73098E+001, 2.73151E+001, 2.72860E+001, 2.51207E+001, 2.51149E+001, 2.51412E+001, 2.51648E+001, 2.51968E+001, 2.50195E+001, 2.50183E+001, 2.50179E+001, 2.50184E+001, 2.50198E+001, 2.50161E+001, 2.50152E+001, 2.50140E+001, 2.50134E+001, 2.50128E+001, 9.07690E+001, 6.10013E+001, 6.34144E-003, 2.06860E-001, 1.07318E+001
 1.20017E+001, 2.51487E+001, 2.52650E+001, 3.06263E+001, 2.50042E+001, 2.50084E+001, 2.50104E+001, 2.50086E+001, 2.95989E+001, 2.91174E+001, 2.90202E+001, 2.91058E+001, 2.91816E+001, 8.24886E+001, 6.93036E+001, 5.95835E+001, 5.38442E+001, 4.77429E+001, 2.81148E+001, 2.76776E+001, 2.75705E+001, 2.75869E+001, 2.75557E+001, 2.51377E+001, 2.51238E+001, 2.51487E+001, 2.51737E+001, 2.52074E+001, 2.50232E+001, 2.50218E+001, 2.50209E+001, 2.50211E+001, 2.50220E+001, 2.50197E+001, 2.50187E+001, 2.50173E+001, 2.50165E+001, 2.50156E+001, 9.98162E+001, 6.69102E+001, 7.61021E-003, 2.06860E-001, 1.35212E+001
 1.30010E+001, 2.51547E+001, 2.52700E+001, 3.15363E+001, 2.50050E+001, 2.50101E+001, 2.50127E+001, 2.50104E+001, 3.03628E+001, 2.97976E+001, 2.96914E+001, 2.98231E+001, 2.99280E+001, 9.13615E+001, 7.65746E+001, 6.52833E+001, 5.86968E+001, 5.16627E+001, 2.84477E+001, 2.79408E+001, 2.78041E+001, 2.78231E+001, 2.77664E+001, 2.51525E+001, 2.51319E+001, 2.51547E+001, 2.51801E+001, 2.52127E+001, 2.50272E+001, 2.50256E+001, 2.50243E+001, 2.50241E+001, 2.50244E+001, 2.50235E+001, 2.50225E+001, 2.50208E+001, 2.50198E+001, 2.50186E+001, 1.04806E+002, 7.32620E+001, 8.99608E-003, 2.06860E-001, 1.66638E+001
 1.40012E+001, 2.51585E+001, 2.52683E+001, 3.24458E+001, 2.50058E+001, 2.50118E+001, 2.50153E+001, 2.50123E+001, 3.11831E+001, 3.04706E+001, 3.03429E+001, 3.05351E+001, 3.06708E+001, 1.00528E+002, 8.40768E+001, 7.06211E+001, 6.33111E+001, 5.54630E+001, 2.87140E+001, 2.81496E+001, 2.79853E+001, 2.80133E+001, 2.79321E+001, 2.51647E+001, 2.51387E+001, 2.51585E+001, 2.51833E+001, 2.52140E+001, 2.50315E+001, 2.50298E+001, 2.50281E+001, 2.50274E+001, 2.50271E+001, 2.50275E+001, 2.50266E+001, 2.50248E+001, 2.50235E+001, 2.50220E+001, 1.18893E+002, 7.99024E+001, 1.05036E-002, 2.06860E-001, 2.01380E+001
 1.50021E+001, 2.51590E+001, 2.52580E+001, 3.32572E+001, 2.50066E+001, 2.50137E+001, 2.50179E+001, 2.50143E+001, 3.21233E+001, 3.13501E+001, 3.12084E+001, 3.14568E+001, 3.16258E+001, 1.10100E+002, 9.20403E+001, 7.64645E+001, 6.82434E+001, 5.94097E+001, 2.88740E+001, 2.82435E+001, 2.80626E+001, 2.80994E+001, 2.79843E+001, 2.51734E+001, 2.51440E+001, 2.51590E+001, 2.51819E+001, 2.52089E+001, 2.50361E+001, 2.50344E+001, 2.50323E+001, 2.50311E+001, 2.50302E+001, 2.50318E+001, 2.50310E+001, 2.50291E+001, 2.50276E+001, 2.50258E+001, 1.25798E+002, 8.64025E+001, 1.21273E-002, 2.06860E-001, 2.39076E+001
 1.60001E+001, 2.51553E+001, 2.52376E+001, 3.40379E+001, 2.50075E+001, 2.50156E+001, 2.50208E+001, 2.50164E+001, 3.27784E+001, 3.22191E+001, 3.21138E+001, 3.24497E+001, 3.26689E+001, 1.20143E+002, 1.00508E+002, 8.25526E+001, 7.33365E+001, 6.35203E+001, 2.89315E+001, 2.82699E+001, 2.80866E+001, 2.80708E+001, 2.79298E+001, 2.51781E+001, 2.51456E+001, 2.51553E+001, 2.51740E+001, 2.51954E+001, 2.50410E+001, 2.50393E+001, 2.50369E+001, 2.50352E+001, 2.50336E+001, 2.50364E+001, 2.50358E+001, 2.50338E+001, 2.50320E+001, 2.50299E+001, 1.41259E+002, 9.28924E+001, 1.38716E-002, 2.06860E-001, 2.80384E+001
 1.70017E+001, 2.51517E+001, 2.52105E+001, 3.48502E+001, 2.50082E+001, 2.50177E+001, 2.50239E+001, 2.50186E+001, 3.24094E+001, 3.28653E+001, 3.28727E+001, 3.33344E+001, 3.36486E+001, 1.30024E+002, 1.08791E+002, 8.86629E+001, 7.84167E+001, 6.75714E+001, 2.90443E+001, 2.83521E+001, 2.81677E+001, 2.80931E+001, 2.78728E+001, 2.51830E+001, 2.51469E+001, 2.51517E+001, 2.51658E+001, 2.51797E+001, 2.50461E+001, 2.50446E+001, 2.50419E+001, 2.50397E+001, 2.50374E+001, 2.50412E+001, 2.50408E+001, 2.50388E+001, 2.50369E+001, 2.50344E+001, 1.51117E+002, 9.97331E+001, 1.57317E-002, 2.06860E-001, 3.24960E+001
 1.80005E+001, 2.51490E+001, 2.51821E+001, 3.56849E+001, 2.50110E+001, 2.50197E+001, 2.50271E+001, 2.50209E+001, 3.36039E+001, 3.38776E+001, 3.38312E+001, 3.43477E+001, 3.47078E+001, 1.39974E+002, 1.17076E+002, 9.45860E+001, 8.32657E+001, 7.14979E+001, 2.92001E+001, 2.84716E+001, 2.82682E+001, 2.81376E+001, 2.78042E+001, 2.51849E+001, 2.51489E+001, 2.51490E+001, 2.51581E+001, 2.51638E+001, 2.50515E+001, 2.50502E+001, 2.50473E+001, 2.50447E+001, 2.50416E+001, 2.50462E+001, 2.50461E+001, 2.50441E+001, 2.50420E+001, 2.50393E+001, 1.66221E+002, 1.06728E+002, 1.77145E-002, 2.06860E-001, 3.72322E+001
 1.90015E+001, 2.51458E+001, 2.51535E+001, 3.67122E+001, 2.50379E+001, 2.50219E+001, 2.50305E+001, 2.50233E+001, 3.55674E+001, 3.54578E+001, 3.51510E+001, 3.57684E+001, 3.61855E+001, 1.52117E+002, 1.27039E+002, 1.01924E+002, 8.92325E+001, 7.60695E+001, 2.88916E+001, 2.84484E+001, 2.83122E+001, 2.81408E+001, 2.77483E+001, 2.51606E+001, 2.51466E+001, 2.51458E+001, 2.51512E+001, 2.51514E+001, 2.50574E+001, 2.50561E+001, 2.50530E+001, 2.50501E+001, 2.50464E+001, 2.50515E+001, 2.50517E+001, 2.50498E+001, 2.50475E+001, 2.50445E+001, 1.78200E+002, 1.12150E+002, 1.98098E-002, 2.06860E-001, 4.23842E+001
 2.00010E+001, 2.51427E+001, 2.51326E+001, 3.76306E+001, 2.50944E+001, 2.50243E+001, 2.50342E+001, 2.50258E+001, 3.71489E+001, 3.66873E+001, 3.60875E+001, 3.67899E+001, 3.73048E+001, 1.64082E+002, 1.36672E+002, 1.09114E+002, 9.49858E+001, 8.05714E+001, 2.89641E+001, 2.83553E+001, 2.83436E+001, 2.81468E+001, 2.77378E+001, 2.51625E+001, 2.51436E+001, 2.51427E+001, 2.51444E+001, 2.51439E+001, 2.50635E+001, 2.50623E+001, 2.50592E+001, 2.50559E+001, 2.50517E+001, 2.50569E+001, 2.50575E+001, 2.50557E+001, 2.50533E+001, 2.50501E+001, 1.92768E+002, 1.18806E+002, 2.20249E-002, 2.06860E-001, 4.79461E+001
 2.10006E+001, 2.51425E+001, 2.51400E+001, 3.85276E+001, 2.51804E+001, 2.50268E+001, 2.50382E+001, 2.50285E+001, 3.85511E+001, 3.79386E+001, 3.71852E+001, 3.79722E+001, 3.84931E+001, 1.76164E+002, 1.46376E+002, 1.16248E+002, 1.00254E+002, 8.46132E+001, 2.90388E+001, 2.83470E+001, 2.83794E+001, 2.81788E+001, 2.77332E+001, 2.51683E+001, 2.51464E+001, 2.51425E+001, 2.51422E+001, 2.51388E+001, 2.50700E+001, 2.50690E+001, 2.50658E+001, 2.50622E+001, 2.50576E+001, 2.50627E+001, 2.50637E+001, 2.50621E+001, 2.50595E+001, 2.50560E+001, 2.05846E+002, 1.25520E+002, 2.43490E-002, 2.06860E-001, 5.39492E+001
 2.20002E+001, 2.51453E+001, 2.53080E+001, 3.87480E+001, 2.53766E+001, 2.50294E+001, 2.50424E+001, 2.50313E+001, 3.98675E+001, 3.90486E+001, 3.81442E+001, 3.90309E+001, 3.97514E+001, 1.87677E+002, 1.55570E+002, 1.23088E+002, 1.05450E+002, 8.85094E+001, 2.92522E+001, 2.84794E+001, 2.85027E+001, 2.82245E+001, 2.77746E+001, 2.51779E+001, 2.51518E+001, 2.51453E+001, 2.51427E+001, 2.51351E+001, 2.50769E+001, 2.50761E+001, 2.50731E+001, 2.50691E+001, 2.50639E+001, 2.50689E+001, 2.50702E+001, 2.50688E+001, 2.50662E+001, 2.50624E+001, 2.24490E+002, 1.33257E+002, 2.67925E-002, 2.06860E-001, 6.04350E+001
 2.30017E+001, 2.51513E+001, 2.56278E+001, 3.99347E+001, 2.56959E+001, 2.50323E+001, 2.50469E+001, 2.50341E+001, 4.16308E+001, 3.95589E+001, 3.90068E+001, 3.99725E+001, 4.16139E+001, 1.99750E+002, 1.65120E+002, 1.30072E+002, 1.11044E+002, 9.23956E+001, 2.94213E+001, 2.86534E+001, 2.86532E+001, 2.83720E+001, 2.80730E+001, 2.51880E+001, 2.51602E+001, 2.51513E+001, 2.51498E+001, 2.51409E+001, 2.50842E+001, 2.50836E+001, 2.50807E+001, 2.50764E+001, 2.50708E+001, 2.50755E+001, 2.50772E+001, 2.50760E+001, 2.50733E+001, 2.50692E+001, 2.50669E+002, 1.40797E+002, 2.93530E-002, 2.06858E-001, 6.73878E+001
 2.40013E+001, 2.51608E+001, 2.58249E+001, 4.29370E+001, 2.58421E+001, 2.50352E+001, 2.50516E+001, 2.50370E+001, 4.30494E+001, 4.03693E+001, 3.98156E+001, 4.08753E+001, 4.29945E+001, 2.11608E+002, 1.74399E+002, 1.36899E+002, 1.16573E+002, 9.64638E+001, 2.97448E+001, 2.89052E+001, 2.88824E+001, 2.85973E+001, 2.82632E+001, 2.52029E+001, 2.51716E+001, 2.51608E+001, 2.51609E+001, 2.51519E+001, 2.50920E+001, 2.50915E+001, 2.50887E+001, 2.50842E+001, 2.50784E+001, 2.50826E+001, 2.50845E+001, 2.50836E+001, 2.50807E+001, 2.50766E+001, 2.77103E+002, 1.49096E+002, 3.20373E-002, 2.06853E-001, 7.47765E+001
 2.50006E+001, 2.51734E+001, 2.58676E+001, 4.42422E+001, 2.58375E+001, 2.50381E+001, 2.50564E+001, 2.50397E+001, 4.41922E+001, 4.13378E+001, 4.05574E+001, 4.17624E+001, 4.40712E+001, 2.23448E+002, 1.83526E+002, 1.43559E+002, 1.21522E+002, 1.00394E+002, 2.97536E+001, 2.91758E+001, 2.91445E+001, 2.88664E+001, 2.84582E+001, 2.52196E+001, 2.51862E+001, 2.51734E+001, 2.51745E+001, 2.51663E+001, 2.51003E+001, 2.50998E+001, 2.50972E+001, 2.50926E+001, 2.50867E+001, 2.50900E+001, 2.50922E+001, 2.50916E+001, 2.50887E+001, 2.50847E+001, 3.00983E+002, 1.59259E+002, 3.48304E-002, 2.06847E-001, 8.24694E+001
 2.60004E+001, 2.51863E+001, 2.58798E+001, 4.50394E+001, 2.67555E+001, 2.50407E+001, 2.50609E+001, 2.50419E+001, 4.47159E+001, 4.18094E+001, 4.09558E+001, 4.21179E+001, 4.43291E+001, 2.29982E+002, 1.88713E+002, 1.47535E+002, 1.24409E+002, 1.02974E+002, 2.96810E+001, 2.93671E+001, 2.93426E+001, 2.91151E+001, 2.86729E+001, 2.52341E+001, 2.52007E+001, 2.51863E+001, 2.51877E+001, 2.51814E+001, 2.51086E+001, 2.51081E+001, 2.51058E+001, 2.51010E+001, 2.50957E+001, 2.50974E+001, 2.50998E+001, 2.50997E+001, 2.50967E+001, 2.50934E+001, 3.19219E+002, 1.67143E+002, 3.63229E-002, 2.06844E-001, 8.99997E+001
 2.70003E+001, 2.51956E+001, 2.58825E+001, 4.52328E+001, 2.70707E+001, 2.50421E+001, 2.50643E+001, 2.50426E+001, 4.46728E+001, 4.17569E+001, 4.09199E+001, 4.19796E+001, 4.43075E+001, 2.29839E+002, 1.88633E+002, 1.47511E+002, 1.24456E+002, 1.03226E+002, 2.97495E+001, 2.94023E+001, 2.93833E+001, 2.91396E+001, 2.87445E+001, 2.52437E+001, 2.52096E+001, 2.51956E+001, 2.51954E+001, 2.51920E+001, 2.51153E+001, 2.51146E+001, 2.51128E+001, 2.51082E+001, 2.51041E+001, 2.51032E+001, 2.51058E+001, 2.51063E+001, 2.51035E+001, 2.51014E+001, 3.19356E+002, 1.67395E+002, 3.63225E-002, 2.06844E-001, 9.63844E+001
 2.80002E+001, 2.52018E+001, 2.58551E+001, 4.56577E+001, 2.73255E+001, 2.50429E+001, 2.50668E+001, 2.50425E+001, 4.47299E+001, 4.17935E+001, 4.09345E+001, 4.20875E+001, 4.42864E+001, 2.29656E+002, 1.88486E+002, 1.47458E+002, 1.24446E+002, 1.03336E+002, 2.98139E+001, 2.94307E+001, 2.93960E+001, 2.91400E+001, 2.87127E+001, 2.52512E+001, 2.52158E+001, 2.52018E+001, 2.52014E+001, 2.51988E+001, 2.51205E+001, 2.51197E+001, 2.51185E+001, 2.51143E+001, 2.51111E+001, 2.51079E+001, 2.51105E+001, 2.51117E+001, 2.51093E+001, 2.51081E+001, 3.19342E+002, 1.67457E+002, 3.63249E-002, 2.06844E-001, 1.01985E+002
 2.90000E+001, 2.52072E+001, 2.57444E+001, 4.55611E+001, 2.74575E+001, 2.50434E+001, 2.50688E+001, 2.50418E+001, 4.48592E+001, 4.18626E+001, 4.09982E+001, 4.20058E+001, 4.41335E+001, 2.29480E+002, 1.88369E+002, 1.47392E+002, 1.24405E+002, 1.03324E+002, 2.98785E+001, 2.94560E+001, 2.94038E+001, 2.91589E+001, 2.87708E+001, 2.52582E+001, 2.52211E+001, 2.52072E+001, 2.52066E+001, 2.52052E+001, 2.51249E+001, 2.51238E+001, 2.51234E+001, 2.51196E+001, 2.51167E+001, 2.51117E+001, 2.51142E+001, 2.51163E+001, 2.51144E+001, 2.51135E+001, 3.19442E+002, 1.67549E+002, 3.63249E-002, 2.06845E-001, 1.07049E+002
 3.00015E+001, 2.52117E+001, 2.56159E+001, 4.54234E+001, 2.74027E+001, 2.50439E+001, 2.50703E+001, 2.50400E+001, 4.50360E+001, 4.19734E+001, 4.10529E+001, 4.22221E+001, 4.45878E+001, 2.29309E+002, 1.88285E+002, 1.47366E+002, 1.24411E+002, 1.03226E+002, 2.99407E+001, 2.94820E+001, 2.94111E+001, 2.91408E+001, 2.87310E+001, 2.52645E+001, 2.52258E+001, 2.52117E+001, 2.52112E+001, 2.52106E+001, 2.51286E+001, 2.51271E+001, 2.51274E+001, 2.51242E+001, 2.51212E+001, 2.51150E+001, 2.51173E+001, 2.51201E+001, 2.51189E+001, 2.51179E+001, 3.19399E+002, 1.67573E+002, 3.63240E-002, 2.06846E-001, 1.11630E+002
 3.10014E+001, 2.52154E+001, 2.55428E+001, 4.50290E+001, 2.73390E+001, 2.50444E+001, 2.50716E+001, 2.50354E+001, 4.52501E+001, 4.21065E+001, 4.12042E+001, 4.22228E+001, 4.43910E+001, 2.29214E+002, 1.88254E+002, 1.47376E+002, 1.24379E+002, 1.03109E+002, 2.99933E+001, 2.95003E+001, 2.94107E+001, 2.91511E+001, 2.87736E+001, 2.52700E+001, 2.52297E+001, 2.52154E+001, 2.52152E+001, 2.52149E+001, 2.51318E+001, 2.51299E+001, 2.51308E+001, 2.51283E+001, 2.51252E+001, 2.51178E+001, 2.51199E+001, 2.51234E+001, 2.51228E+001, 2.51217E+001, 3.19362E+002, 1.67566E+002, 3.63261E-002, 2.06848E-001, 1.15806E+002
 3.20012E+001, 2.52184E+001, 2.55128E+001, 4.46929E+001, 2.73672E+001, 2.50449E+001, 2.50719E+001, 2.50285E+001, 4.54498E+001, 4.22474E+001, 4.12887E+001, 4.24090E+001, 4.49691E+001, 2.29122E+002, 1.88255E+002, 1.47392E+002, 1.24415E+002, 1.03071E+002, 3.00362E+001, 2.95161E+001, 2.94090E+001, 2.91203E+001, 2.87127E+001, 2.52748E+001, 2.52330E+001, 2.52184E+001, 2.52186E+001, 2.52180E+001, 2.51347E+001, 2.51323E+001, 2.51337E+001, 2.51319E+001, 2.51289E+001, 2.51204E+001, 2.51220E+001, 2.51261E+001, 2.51263E+001, 2.51253E+001, 3.19326E+002, 1.67549E+002, 3.63245E-002, 2.06849E-001, 1.19678E+002
 3.30011E+001, 2.52207E+001, 2.55112E+001, 4.48634E+001, 2.74122E+001, 2.50459E+001, 2.50613E+001, 2.51805E+001, 4.56318E+001, 4.23795E+001, 4.14330E+001, 4.25231E+001, 4.47566E+001, 2.29145E+002, 1.88295E+002, 1.47462E+002, 1.24421E+002, 1.03085E+002, 3.00609E+001, 2.95202E+001, 2.93959E+001, 2.91171E+001, 2.86987E+001, 2.52787E+001, 2.52357E+001, 2.52207E+001, 2.52212E+001, 2.52202E+001, 2.51372E+001, 2.51343E+001, 2.51361E+001, 2.51349E+001, 2.51322E+001, 2.51226E+001, 2.51239E+001, 2.51284E+001, 2.51293E+001, 2.51286E+001, 3.19320E+002, 1.67517E+002, 3.63272E-002, 2.06850E-001, 1.23245E+002
