# ExpName: 2026-08-27_exponat_R3
date,time,TC_01,TC_02,TC_03,TC_04,TC_05,TC_06,TC_07,TC_08,TC_09,TC_10,TC_11,TC_12,TC_13,TC_14,TC_15,TC_16,TC_17,TC_18,TC_19,TC_20,TC_21,TC_22,TC_23,TC_24,TC_25,TC_26,TC_27,TC_28,TC_29,TC_30,TC_31,TC_32,TC_33,TC_34,TC_35,TC_36,TC_37,TC_38,TC_39,TC_40,HFG_01_raw,HFG_02_raw,HFG_03_raw,HFG_04_raw,HFG_05_raw,HFG_06_raw,HFG_07_raw,HFG_08_raw,HFG_09_raw,HFG_10_raw,camera_trigger,HFG_01,HFG_02,HFG_03,HFG_04,HFG_05,HFG_06,HFG_07,HFG_08,HFG_09,HFG_10,exp_time,event_number,HFG_10_serialnr,HFG_02_serialnr,HFG_01_serialnr,HFG_09_serialnr,HFG_04_serialnr,HFG_03_serialnr,HFG_05_serialnr,HFG_06_serialnr,HFG_08_serialnr,HFG_07_serialnr,mass_loadcell,loadcell_stable,PLC_PRG.rRTC[1],PLC_PRG.rRTC[2],PLC_PRG.rRTC[3],PLC_PRG.rRTC[4],PLC_PRG.rRTC[5],PLC_PRG.rRTC[6],PLC_PRG.rRTC[7],PLC_PRG.rRTC[8],PLC_PRG.rRTC[9],PLC_PRG.rRTC[10],PLC_PRG.rRTC[11],PLC_PRG.rRTC[12]
2026-08-27 13:37:27.575,13:37:27.575000,27.100000381469727,26.100000381469727,29.600000381469727,3276.699951171875,26.700000762939453,3276.699951171875,3276.699951171875,3276.699951171875,25.80000114440918,25.80000114440918,26.30000114440918,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,False,-452.3587951660156,-524.4159545898438,-452.3587951660156,-462.9609069824219,-493.82501220703125,-455.8384704589844,-466.6062927246094,-489.7438049316406,-502.1949157714844,-474.0719909667969,-1.0,0.0,15222.0,15212.0,15211.0,15221.0,15216.0,15215.0,15217.0,15218.0,15220.0,15219.0,-999999.0,False,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875
2026-08-27 13:37:28.601,13:37:28.601000,27.100000381469727,26.100000381469727,29.600000381469727,3276.699951171875,26.700000762939453,3276.699951171875,3276.699951171875,3276.699951171875,25.80000114440918,25.80000114440918,26.30000114440918,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,False,-452.3587951660156,-524.4159545898438,-452.3587951660156,-462.9609069824219,-493.82501220703125,-455.8384704589844,-466.6062927246094,-489.7438049316406,-502.1949157714844,-474.0719909667969,-1.0,0.0,15222.0,15212.0,15211.0,15221.0,15216.0,15215.0,15217.0,15218.0,15220.0,15219.0,-999999.0,False,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875
2026-08-27 13:37:29.632,13:37:29.632000,27.100000381469727,26.100000381469727,29.600000381469727,3276.699951171875,26.700000762939453,3276.699951171875,3276.699951171875,3276.699951171875,25.80000114440918,25.80000114440918,26.30000114440918,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,False,-452.3587951660156,-524.4159545898438,-452.3587951660156,-462.9609069824219,-493.82501220703125,-455.8384704589844,-466.6062927246094,-489.7438049316406,-502.1949157714844,-474.0719909667969,-1.0,0.0,15222.0,15212.0,15211.0,15221.0,15216.0,15215.0,15217.0,15218.0,15220.0,15219.0,-999999.0,False,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875
2026-08-27 13:37:30.655,13:37:30.655000,27.100000381469727,26.100000381469727,29.600000381469727,3276.699951171875,26.700000762939453,3276.699951171875,3276.699951171875,3276.699951171875,25.80000114440918,25.80000114440918,26.30000114440918,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,False,-452.3587951660156,-524.4159545898438,-452.3587951660156,-462.9609069824219,-493.82501220703125,-455.8384704589844,-466.6062927246094,-489.7438049316406,-502.1949157714844,-474.0719909667969,0.0,0.0,15222.0,15212.0,15211.0,15221.0,15216.0,15215.0,15217.0,15218.0,15220.0,15219.0,-999999.0,False,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875
2026-08-27 13:37:31.684,13:37:31.684000,27.100000381469727,26.100000381469727,29.600000381469727,3276.699951171875,26.700000762939453,3276.699951171875,3276.699951171875,3276.699951171875,25.700000762939453,25.80000114440918,26.30000114440918,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,False,-452.3587951660156,-524.4159545898438,-452.3587951660156,-462.9609069824219,-493.82501220703125,-455.8384704589844,-466.6062927246094,-489.7438049316406,-502.1949157714844,-474.0719909667969,1.0,0.0,15222.0,15212.0,15211.0,15221.0,15216.0,15215.0,15217.0,15218.0,15220.0,15219.0,-999999.0,False,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875
2026-08-27 13:37:32.708,13:37:32.708000,27.100000381469727,26.100000381469727,29.600000381469727,3276.699951171875,26.700000762939453,3276.699951171875,3276.699951171875,3276.699951171875,25.700000762939453,25.700000762939453,26.30000114440918,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,False,-452.3587951660156,-524.4159545898438,-452.3587951660156,-462.9609069824219,-493.82501220703125,-455.8384704589844,-466.6062927246094,-489.7438049316406,-502.1949157714844,-474.0719909667969,2.0,0.0,15222.0,15212.0,15211.0,15221.0,15216.0,15215.0,15217.0,15218.0,15220.0,15219.0,-999999.0,False,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875
2026-08-27 13:37:33.732,13:37:33.732000,27.100000381469727,26.100000381469727,29.600000381469727,3276.699951171875,26.700000762939453,3276.699951171875,3276.699951171875,3276.699951171875,25.700000762939453,25.700000762939453,26.30000114440918,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,False,-452.3587951660156,-524.4159545898438,-452.3587951660156,-462.9609069824219,-493.82501220703125,-455.8384704589844,-466.6062927246094,-489.7438049316406,-502.1949157714844,-474.0719909667969,3.0,0.0,15222.0,15212.0,15211.0,15221.0,15216.0,15215.0,15217.0,15218.0,15220.0,15219.0,-999999.0,False,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875
2026-08-27 13:37:34.757,13:37:34.757000,27.100000381469727,26.100000381469727,29.700000762939453,3276.699951171875,26.700000762939453,3276.699951171875,3276.699951171875,3276.699951171875,25.700000762939453,25.700000762939453,26.30000114440918,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,False,-452.3587951660156,-524.4159545898438,-452.3587951660156,-462.9609069824219,-493.82501220703125,-455.8384704589844,-466.6062927246094,-489.7438049316406,-502.1949157714844,-474.0719909667969,4.0,0.0,15222.0,15212.0,15211.0,15221.0,15216.0,15215.0,15217.0,15218.0,15220.0,15219.0,-999999.0,False,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875
2026-08-27 13:37:35.779,13:37:35.779000,27.100000381469727,26.100000381469727,29.700000762939453,3276.699951171875,26.700000762939453,3276.699951171875,3276.699951171875,3276.699951171875,25.700000762939453,25.700000762939453,26.30000114440918,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,False,-452.3587951660156,-524.4159545898438,-452.3587951660156,-462.9609069824219,-493.82501220703125,-455.8384704589844,-466.6062927246094,-489.7438049316406,-502.1949157714844,-474.0719909667969,5.0,0.0,15222.0,15212.0,15211.0,15221.0,15216.0,15215.0,15217.0,15218.0,15220.0,15219.0,-999999.0,False,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875
2026-08-27 13:37:36.813,13:37:36.813000,27.100000381469727,26.100000381469727,29.600000381469727,3276.699951171875,26.700000762939453,3276.699951171875,3276.699951171875,3276.699951171875,25.700000762939453,25.700000762939453,26.30000114440918,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,-59.25925827026367,False,-452.3587951660156,-524.4159545898438,-452.3587951660156,-462.9609069824219,-493.82501220703125,-455.8384704589844,-466.6062927246094,-489.7438049316406,-502.1949157714844,-474.0719909667969,6.0,0.0,15222.0,15212.0,15211.0,15221.0,15216.0,15215.0,15217.0,15218.0,15220.0,15219.0,-999999.0,False,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875,3276.699951171875
