s,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box
 3.10034E+001, 2.51329E+001, 2.53542E+001, 5.25208E+001, 2.66192E+001, 2.50399E+001, 2.50605E+001, 2.50334E+001, 1.79952E-002, 2.06851E-001, 9.95608E+001
 3.20031E+001, 2.51355E+001, 2.53008E+001, 5.24806E+001, 2.66536E+001, 2.50402E+001, 2.50609E+001, 2.50301E+001, 1.79952E-002, 2.06851E-001, 1.02641E+002
 3.30028E+001, 2.51376E+001, 2.52684E+001, 5.24131E+001, 2.66745E+001, 2.50406E+001, 2.50605E+001, 2.50432E+001, 1.79952E-002, 2.06851E-001, 1.05539E+002
 3.40025E+001, 2.51393E+001, 2.52534E+001, 5.24113E+001, 2.66988E+001, 2.50411E+001, 2.50550E+001, 2.54800E+001, 1.79953E-002, 2.06851E-001, 1.08221E+002
 3.50022E+001, 2.51406E+001, 2.52521E+001, 5.23458E+001, 2.67245E+001, 2.50420E+001, 2.51706E+001, 2.57264E+001, 1.79952E-002, 2.06851E-001, 1.10693E+002
 3.60019E+001, 2.51416E+001, 2.52620E+001, 5.23537E+001, 2.67276E+001, 2.50429E+001, 2.54901E+001, 2.56257E+001, 1.79952E-002, 2.06851E-001, 1.13057E+002
 3.70016E+001, 2.51425E+001, 2.52810E+001, 5.24554E+001, 2.67181E+001, 2.50427E+001, 2.55944E+001, 2.55063E+001, 1.79953E-002, 2.06850E-001, 1.15369E+002
 3.80013E+001, 2.51433E+001, 2.53052E+001, 5.24688E+001, 2.67203E+001, 2.50415E+001, 2.55090E+001, 2.55526E+001, 1.79952E-002, 2.06849E-001, 1.17643E+002
 3.90010E+001, 2.51440E+001, 2.53307E+001, 5.24215E+001, 2.67378E+001, 2.50403E+001, 2.53813E+001, 2.56066E+001, 1.79953E-002, 2.06848E-001, 1.19876E+002
 4.00007E+001, 2.51447E+001, 2.53556E+001, 5.22595E+001, 2.67503E+001, 2.50391E+001, 2.52827E+001, 2.56513E+001, 1.79953E-002, 2.06846E-001, 1.22064E+002
 4.10004E+001, 2.51453E+001, 2.53802E+001, 5.21052E+001, 2.67589E+001, 2.50376E+001, 2.52150E+001, 2.57184E+001, 1.79953E-002, 2.06843E-001, 1.24198E+002
 4.20001E+001, 2.51458E+001, 2.54051E+001, 5.19788E+001, 2.67553E+001, 2.50358E+001, 2.51630E+001, 2.58178E+001, 1.79953E-002, 2.06837E-001, 1.26270E+002
 4.30052E+001, 2.51464E+001, 2.54311E+001, 5.18449E+001, 2.67328E+001, 2.50341E+001, 2.51243E+001, 2.58997E+001, 1.79953E-002, 2.06824E-001, 1.28292E+002
 4.40049E+001, 2.51469E+001, 2.54581E+001, 5.16967E+001, 2.67044E+001, 2.50325E+001, 2.51018E+001, 2.59297E+001, 1.79953E-002, 2.06797E-001, 1.30268E+002
 4.50046E+001, 2.51475E+001, 2.54868E+001, 5.15500E+001, 2.66647E+001, 2.50312E+001, 2.50911E+001, 2.58959E+001, 1.79953E-002, 2.06747E-001, 1.32185E+002
 4.60042E+001, 2.51483E+001, 2.55199E+001, 5.14896E+001, 2.66344E+001, 2.50302E+001, 2.50881E+001, 2.58239E+001, 1.79953E-002, 2.06687E-001, 1.34037E+002
 4.70039E+001, 2.51496E+001, 2.55633E+001, 5.15639E+001, 2.66042E+001, 2.50294E+001, 2.50919E+001, 2.57635E+001, 1.79954E-002, 2.06651E-001, 1.35811E+002
 4.80036E+001, 2.51516E+001, 2.56258E+001, 5.17110E+001, 2.65837E+001, 2.50287E+001, 2.51016E+001, 2.57188E+001, 1.79955E-002, 2.06652E-001, 1.37491E+002
 4.90033E+001, 2.51547E+001, 2.57167E+001, 5.19961E+001, 2.65723E+001, 2.50282E+001, 2.51151E+001, 2.56614E+001, 1.79955E-002, 2.06668E-001, 1.39060E+002
 5.00030E+001, 2.51593E+001, 2.58348E+001, 5.22369E+001, 2.65792E+001, 2.50277E+001, 2.51323E+001, 2.56001E+001, 1.79955E-002, 2.06677E-001, 1.40521E+002
 5.10027E+001, 2.51654E+001, 2.59432E+001, 5.24014E+001, 2.66157E+001, 2.50272E+001, 2.51514E+001, 2.55396E+001, 1.79954E-002, 2.06672E-001, 1.41873E+002
 5.20024E+001, 2.51725E+001, 2.59826E+001, 5.22361E+001, 2.66701E+001, 2.50266E+001, 2.51689E+001, 2.55123E+001, 1.79954E-002, 2.06641E-001, 1.43137E+002
 5.30021E+001, 2.51798E+001, 2.59492E+001, 5.17887E+001, 2.66949E+001, 2.50260E+001, 2.51915E+001, 2.55327E+001, 1.79953E-002, 2.06590E-001, 1.44316E+002
 5.40018E+001, 2.51865E+001, 2.59015E+001, 5.15753E+001, 2.66970E+001, 2.50254E+001, 2.52055E+001, 2.56354E+001, 1.79954E-002, 2.06515E-001, 1.45387E+002
 5.50015E+001, 2.51919E+001, 2.58970E+001, 5.17463E+001, 2.67151E+001, 2.50247E+001, 2.51750E+001, 2.57815E+001, 1.79954E-002, 2.06414E-001, 1.46370E+002
 5.60012E+001, 2.51958E+001, 2.59260E+001, 5.18736E+001, 2.67013E+001, 2.50237E+001, 2.51217E+001, 2.57968E+001, 1.79953E-002, 2.06311E-001, 1.47251E+002
 5.70009E+001, 2.51984E+001, 2.59488E+001, 5.20113E+001, 2.67251E+001, 2.50227E+001, 2.50855E+001, 2.57384E+001, 1.79952E-002, 2.06227E-001, 1.48043E+002
 5.80006E+001, 2.52003E+001, 2.59470E+001, 5.23994E+001, 2.67384E+001, 2.50218E+001, 2.50690E+001, 2.57211E+001, 1.79951E-002, 2.06154E-001, 1.48777E+002
 5.90003E+001, 2.52018E+001, 2.59262E+001, 5.30009E+001, 2.67197E+001, 2.50211E+001, 2.50630E+001, 2.57684E+001, 1.79950E-002, 2.06092E-001, 1.49465E+002
 6.00000E+001, 2.52032E+001, 2.58997E+001, 5.34839E+001, 2.66706E+001, 2.50206E+001, 2.50621E+001, 2.58309E+001, 1.79949E-002, 2.06044E-001, 1.50124E+002
 6.10051E+001, 2.52049E+001, 2.58793E+001, 5.36631E+001, 2.67557E+001, 2.50202E+001, 2.50634E+001, 2.58487E+001, 1.79950E-002, 2.06008E-001, 1.50810E+002
 6.20048E+001, 2.52075E+001, 2.58695E+001, 5.30915E+001, 2.68754E+001, 2.50200E+001, 2.50680E+001, 2.59021E+001, 1.79951E-002, 2.05981E-001, 1.51511E+002
 6.30045E+001, 2.52111E+001, 2.58692E+001, 5.19160E+001, 2.70086E+001, 2.50199E+001, 2.50838E+001, 2.59305E+001, 1.79953E-002, 2.05962E-001, 1.52199E+002
 6.40042E+001, 2.52158E+001, 2.58748E+001, 5.04532E+001, 2.69130E+001, 2.50198E+001, 2.50990E+001, 2.59747E+001, 1.79953E-002, 2.05953E-001, 1.52910E+002
 6.50039E+001, 2.52213E+001, 2.58847E+001, 4.90747E+001, 2.67405E+001, 2.50197E+001, 2.51037E+001, 2.60218E+001, 1.79954E-002, 2.05951E-001, 1.53690E+002
 6.60036E+001, 2.52274E+001, 2.59004E+001, 4.80583E+001, 2.65713E+001, 2.50196E+001, 2.51110E+001, 2.60668E+001, 1.79955E-002, 2.05952E-001, 1.54453E+002
 6.70033E+001, 2.52338E+001, 2.59205E+001, 4.72146E+001, 2.64638E+001, 2.50195E+001, 2.51088E+001, 2.61072E+001, 1.79955E-002, 2.05950E-001, 1.55147E+002
 6.80030E+001, 2.52404E+001, 2.59411E+001, 4.67866E+001, 2.64009E+001, 2.50193E+001, 2.50953E+001, 2.60856E+001, 1.79954E-002, 2.05940E-001, 1.55805E+002
 6.90027E+001, 2.52468E+001, 2.59649E+001, 4.63390E+001, 2.63875E+001, 2.50190E+001, 2.50832E+001, 2.58999E+001, 1.79953E-002, 2.05916E-001, 1.56477E+002
 7.00024E+001, 2.52529E+001, 2.59986E+001, 4.60794E+001, 2.65112E+001, 2.50188E+001, 2.50792E+001, 2.58429E+001, 1.79953E-002, 2.05877E-001, 1.57167E+002
 7.10021E+001, 2.52583E+001, 2.60394E+001, 4.57715E+001, 2.66906E+001, 2.50187E+001, 2.50839E+001, 2.59520E+001, 1.79953E-002, 2.05833E-001, 1.57847E+002
 7.20018E+001, 2.52627E+001, 2.60691E+001, 4.54872E+001, 2.65248E+001, 2.50186E+001, 2.50914E+001, 2.59934E+001, 1.79953E-002, 2.05796E-001, 1.58540E+002
 7.30015E+001, 2.52660E+001, 2.60723E+001, 4.46902E+001, 2.64457E+001, 2.50185E+001, 2.50971E+001, 2.60373E+001, 1.79951E-002, 2.05770E-001, 1.59260E+002
 7.40012E+001, 2.52681E+001, 2.60593E+001, 4.46603E+001, 2.65143E+001, 2.50183E+001, 2.50977E+001, 2.57607E+001, 1.79954E-002, 2.05749E-001, 1.59980E+002
 7.50009E+001, 2.52692E+001, 2.60490E+001, 4.49244E+001, 2.64885E+001, 2.50182E+001, 2.50970E+001, 2.55467E+001, 1.79954E-002, 2.05722E-001, 1.60677E+002
 7.60006E+001, 2.52694E+001, 2.60464E+001, 4.50719E+001, 2.64500E+001, 2.50181E+001, 2.51128E+001, 2.56471E+001, 1.79950E-002, 2.05687E-001, 1.61352E+002
 7.70003E+001, 2.52694E+001, 2.60478E+001, 4.55257E+001, 2.63690E+001, 2.50181E+001, 2.52310E+001, 2.56951E+001, 1.79955E-002, 2.05650E-001, 1.62030E+002
 7.80053E+001, 2.52695E+001, 2.60519E+001, 4.63158E+001, 2.63011E+001, 2.50182E+001, 2.55925E+001, 2.56660E+001, 1.79953E-002, 2.05615E-001, 1.62732E+002
 7.90050E+001, 2.52702E+001, 2.60592E+001, 4.60937E+001, 2.62462E+001, 2.50181E+001, 2.57845E+001, 2.56845E+001, 1.79947E-002, 2.05585E-001, 1.63451E+002
 8.00047E+001, 2.52718E+001, 2.60706E+001, 4.65979E+001, 2.62120E+001, 2.50179E+001, 2.57949E+001, 2.57989E+001, 1.79955E-002, 2.05559E-001, 1.64185E+002
 8.10044E+001, 2.52741E+001, 2.60826E+001, 4.66142E+001, 2.63336E+001, 2.50176E+001, 2.57108E+001, 2.59743E+001, 1.79953E-002, 2.05535E-001, 1.64909E+002
 8.20041E+001, 2.52768E+001, 2.60849E+001, 4.60045E+001, 2.63673E+001, 2.50171E+001, 2.53636E+001, 2.59637E+001, 1.79947E-002, 2.05511E-001, 1.65585E+002
 8.30038E+001, 2.52797E+001, 2.60799E+001, 4.59918E+001, 2.63427E+001, 2.50166E+001, 2.51365E+001, 2.59163E+001, 1.79953E-002, 2.05485E-001, 1.66222E+002
 8.40035E+001, 2.52825E+001, 2.60709E+001, 4.58995E+001, 2.64492E+001, 2.50162E+001, 2.50682E+001, 2.59599E+001, 1.79958E-002, 2.05455E-001, 1.66825E+002
 8.50032E+001, 2.52846E+001, 2.60578E+001, 4.57054E+001, 2.63408E+001, 2.50158E+001, 2.50498E+001, 2.59659E+001, 1.79944E-002, 2.05421E-001, 1.67425E+002
 8.60029E+001, 2.52865E+001, 2.60523E+001, 4.52666E+001, 2.64384E+001, 2.50157E+001, 2.50460E+001, 2.59822E+001, 1.79955E-002, 2.05379E-001, 1.68081E+002
 8.70026E+001, 2.52879E+001, 2.60480E+001, 4.50383E+001, 2.62664E+001, 2.50158E+001, 2.50556E+001, 2.62173E+001, 1.79962E-002, 2.05329E-001, 1.68796E+002
 8.80023E+001, 2.52889E+001, 2.60459E+001, 4.47148E+001, 2.65048E+001, 2.50158E+001, 2.50868E+001, 2.61925E+001, 1.79940E-002, 2.05281E-001, 1.69475E+002
 8.90020E+001, 2.52900E+001, 2.60501E+001, 4.53560E+001, 2.62764E+001, 2.50159E+001, 2.50907E+001, 2.61539E+001, 1.79956E-002, 2.05244E-001, 1.70243E+002
 9.00023E+001, 2.52910E+001, 2.60588E+001, 4.49727E+001, 2.64013E+001, 2.50160E+001, 2.50903E+001, 2.61104E+001, 1.80027E-002, 2.05222E-001, 1.71072E+002
 9.10016E+001, 2.52921E+001, 2.60623E+001, 4.46362E+001, 2.62607E+001, 2.50161E+001, 2.50978E+001, 2.58921E+001, 1.79909E-002, 2.05211E-001, 1.71945E+002
 9.20051E+001, 2.52940E+001, 2.60648E+001, 4.44510E+001, 2.62028E+001, 2.50162E+001, 2.50887E+001, 2.57002E+001, 1.79957E-002, 2.05205E-001, 1.72830E+002
 9.30002E+001, 2.52964E+001, 2.60884E+001, 4.38676E+001, 2.62899E+001, 2.50164E+001, 2.50774E+001, 2.57712E+001, 1.79968E-002, 2.05199E-001, 1.73794E+002
 9.40035E+001, 2.52992E+001, 2.61403E+001, 4.28913E+001, 2.65021E+001, 2.50168E+001, 2.50772E+001, 2.59021E+001, 1.79953E-002, 2.05191E-001, 1.74844E+002
 9.50006E+001, 2.53023E+001, 2.61458E+001, 4.04826E+001, 2.65880E+001, 2.50171E+001, 2.50843E+001, 2.61023E+001, 1.79968E-002, 2.05177E-001, 1.75807E+002
 9.60015E+001, 2.53053E+001, 2.61597E+001, 4.26657E+001, 2.67431E+001, 2.50172E+001, 2.50862E+001, 2.62238E+001, 1.79913E-002, 2.05150E-001, 1.76644E+002
 9.70004E+001, 2.53077E+001, 2.61829E+001, 4.21304E+001, 2.62989E+001, 2.50173E+001, 2.50898E+001, 2.62796E+001, 1.79966E-002, 2.05109E-001, 1.77487E+002
 9.80023E+001, 2.53098E+001, 2.61915E+001, 4.24969E+001, 2.59518E+001, 2.50172E+001, 2.50793E+001, 2.59790E+001, 1.79986E-002, 2.05060E-001, 1.78332E+002
 9.90042E+001, 2.53122E+001, 2.61979E+001, 4.22989E+001, 2.64114E+001, 2.50172E+001, 2.50634E+001, 2.58513E+001, 1.79941E-002, 2.05016E-001, 1.79151E+002
 1.00002E+002, 2.53151E+001, 2.62029E+001, 4.33772E+001, 2.66917E+001, 2.50173E+001, 2.50622E+001, 2.61061E+001, 1.79932E-002, 2.04988E-001, 1.79913E+002
 1.01002E+002, 2.53183E+001, 2.62085E+001, 4.30754E+001, 2.66354E+001, 2.50174E+001, 2.50687E+001, 2.61643E+001, 1.79963E-002, 2.04975E-001, 1.80639E+002
 1.02003E+002, 2.53216E+001, 2.62047E+001, 4.28704E+001, 2.65461E+001, 2.50175E+001, 2.50705E+001, 2.61037E+001, 1.79951E-002, 2.04970E-001, 1.81352E+002
 1.03002E+002, 2.53248E+001, 2.61953E+001, 4.26603E+001, 2.65777E+001, 2.50174E+001, 2.50690E+001, 2.61850E+001, 1.79971E-002, 2.04960E-001, 1.82027E+002
 1.04001E+002, 2.53278E+001, 2.61837E+001, 4.27782E+001, 2.66546E+001, 2.50174E+001, 2.50711E+001, 2.60232E+001, 1.79927E-002, 2.04938E-001, 1.82672E+002
 1.05002E+002, 2.53305E+001, 2.61869E+001, 4.16302E+001, 2.67360E+001, 2.50173E+001, 2.50727E+001, 2.60936E+001, 1.79953E-002, 2.04909E-001, 1.83331E+002
 1.06001E+002, 2.53332E+001, 2.62002E+001, 4.13253E+001, 2.67155E+001, 2.50173E+001, 2.50650E+001, 2.61363E+001, 1.79959E-002, 2.04880E-001, 1.84009E+002
 1.07002E+002, 2.53361E+001, 2.62194E+001, 4.13121E+001, 2.68226E+001, 2.50174E+001, 2.50661E+001, 2.60097E+001, 1.79977E-002, 2.04859E-001, 1.84724E+002
 1.08002E+002, 2.53395E+001, 2.62480E+001, 4.04093E+001, 2.66046E+001, 2.50176E+001, 2.50839E+001, 2.61724E+001, 1.79961E-002, 2.04849E-001, 1.85514E+002
 1.09001E+002, 2.53434E+001, 2.62735E+001, 4.09941E+001, 2.66062E+001, 2.50178E+001, 2.51122E+001, 2.62482E+001, 1.79955E-002, 2.04844E-001, 1.86435E+002
 1.10000E+002, 2.53474E+001, 2.62887E+001, 4.06483E+001, 2.65837E+001, 2.50181E+001, 2.51197E+001, 2.62026E+001, 1.79912E-002, 2.04832E-001, 1.87402E+002
 1.11004E+002, 2.53510E+001, 2.63174E+001, 4.05803E+001, 2.67798E+001, 2.50181E+001, 2.51049E+001, 2.61733E+001, 1.79960E-002, 2.04809E-001, 1.88288E+002
 1.12005E+002, 2.53536E+001, 2.63296E+001, 4.06118E+001, 2.69191E+001, 2.50180E+001, 2.50929E+001, 2.63196E+001, 1.79947E-002, 2.04783E-001, 1.89067E+002
 1.13000E+002, 2.53545E+001, 2.63348E+001, 4.09787E+001, 2.69963E+001, 2.50179E+001, 2.50891E+001, 2.62210E+001, 1.79982E-002, 2.04759E-001, 1.89793E+002
 1.14000E+002, 2.53539E+001, 2.63400E+001, 4.04881E+001, 2.69465E+001, 2.50179E+001, 2.51289E+001, 2.59278E+001, 1.79937E-002, 2.04740E-001, 1.90521E+002
 1.15005E+002, 2.53526E+001, 2.63429E+001, 4.06849E+001, 2.68606E+001, 2.50178E+001, 2.52098E+001, 2.57851E+001, 1.79948E-002, 2.04728E-001, 1.91225E+002
 1.16004E+002, 2.53518E+001, 2.63376E+001, 4.10256E+001, 2.68769E+001, 2.50178E+001, 2.51759E+001, 2.58411E+001, 1.79956E-002, 2.04713E-001, 1.91849E+002
 1.17003E+002, 2.53522E+001, 2.63517E+001, 4.05635E+001, 2.68914E+001, 2.50177E+001, 2.51647E+001, 2.60084E+001, 1.79910E-002, 2.04693E-001, 1.92428E+002
 1.18003E+002, 2.53536E+001, 2.63558E+001, 4.06137E+001, 2.68754E+001, 2.50177E+001, 2.52859E+001, 2.61427E+001, 1.79981E-002, 2.04678E-001, 1.93031E+002
 1.19001E+002, 2.53553E+001, 2.63478E+001, 4.11001E+001, 2.68364E+001, 2.50177E+001, 2.54488E+001, 2.62330E+001, 1.79982E-002, 2.04676E-001, 1.93629E+002
 1.20004E+002, 2.53567E+001, 2.63348E+001, 4.10439E+001, 2.67527E+001, 2.50175E+001, 2.54471E+001, 2.62134E+001, 1.79932E-002, 2.04680E-001, 1.94172E+002
 1.21004E+002, 2.53576E+001, 2.63211E+001, 4.12600E+001, 2.66246E+001, 2.50173E+001, 2.53383E+001, 2.60205E+001, 1.79987E-002, 2.04681E-001, 1.94623E+002
 1.22004E+002, 2.53584E+001, 2.63130E+001, 4.20109E+001, 2.66514E+001, 2.50171E+001, 2.52356E+001, 2.58698E+001, 1.79940E-002, 2.04669E-001, 1.95004E+002
 1.23003E+002, 2.53596E+001, 2.63227E+001, 4.14882E+001, 2.66903E+001, 2.50168E+001, 2.51587E+001, 2.57596E+001, 1.79925E-002, 2.04645E-001, 1.95357E+002
 1.24003E+002, 2.53618E+001, 2.63343E+001, 4.11647E+001, 2.66715E+001, 2.50165E+001, 2.51107E+001, 2.57234E+001, 1.79924E-002, 2.04619E-001, 1.95727E+002
 1.25000E+002, 2.53645E+001, 2.63422E+001, 4.17030E+001, 2.67119E+001, 2.50164E+001, 2.50854E+001, 2.56306E+001, 1.80001E-002, 2.04594E-001, 1.96168E+002
 1.26002E+002, 2.53672E+001, 2.63527E+001, 4.13528E+001, 2.66897E+001, 2.50163E+001, 2.51095E+001, 2.57385E+001, 1.79973E-002, 2.04564E-001, 1.96692E+002
 1.27001E+002, 2.53696E+001, 2.63611E+001, 4.09165E+001, 2.66895E+001, 2.50163E+001, 2.51827E+001, 2.58001E+001, 1.79959E-002, 2.04532E-001, 1.97273E+002
 1.28002E+002, 2.53720E+001, 2.63644E+001, 4.14350E+001, 2.66907E+001, 2.50164E+001, 2.51809E+001, 2.58538E+001, 1.79934E-002, 2.04504E-001, 1.97864E+002
 1.29005E+002, 2.53747E+001, 2.63603E+001, 4.11112E+001, 2.67419E+001, 2.50164E+001, 2.51157E+001, 2.60853E+001, 1.79935E-002, 2.04479E-001, 1.98410E+002
 1.30001E+002, 2.53779E+001, 2.63607E+001, 4.06706E+001, 2.68301E+001, 2.50164E+001, 2.50788E+001, 2.63982E+001, 1.79907E-002, 2.04453E-001, 1.98951E+002
 1.31000E+002, 2.53815E+001, 2.63565E+001, 4.12267E+001, 2.69869E+001, 2.50164E+001, 2.50680E+001, 2.63750E+001, 1.79972E-002, 2.04428E-001, 1.99491E+002
 1.32001E+002, 2.53846E+001, 2.63618E+001, 4.14012E+001, 2.71207E+001, 2.50165E+001, 2.50760E+001, 2.61436E+001, 1.80004E-002, 2.04410E-001, 2.00046E+002
