s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW,mol/mol,Pa,m,C,C,m,C,C,m,C,C
Time,T1,T2,T3,T5,T9,T10,T11,rk_x075_z020,rk_x075_z035,rk_x075_z050,rk_x075_z070,rk_x075_z100,rk_x090_z020,rk_x090_z035,rk_x090_z050,rk_x090_z070,rk_x090_z100,rk_x105_z020,rk_x105_z035,rk_x105_z050,rk_x105_z070,rk_x105_z100,rk_x120_z020,rk_x120_z035,rk_x120_z050,rk_x120_z070,rk_x120_z100,rk_x135_z020,rk_x135_z035,rk_x135_z050,rk_x135_z070,rk_x135_z100,rk_x150_z020,rk_x150_z035,rk_x150_z050,rk_x150_z070,rk_x150_z100,Tmax_core,Tmax_T1cell,HRR,O2_room,p_box,zint_fire,Tupp_fire,Tlow_fire,zint_mid,Tupp_mid,Tlow_mid,zint_door,Tupp_door,Tlow_door
 9.00060E+000, 2.51016E+001, 2.51586E+001, 2.74208E+001, 2.50033E+001, 2.50048E+001, 2.50060E+001, 2.50056E+001, 3.21041E+001, 2.81962E+001, 2.78499E+001, 2.77413E+001, 2.76315E+001, 5.65532E+001, 4.72429E+001, 4.25923E+001, 3.97274E+001, 3.61591E+001, 3.11641E+001, 2.77272E+001, 2.73461E+001, 2.71977E+001, 2.70331E+001, 2.51612E+001, 2.51022E+001, 2.51016E+001, 2.51096E+001, 2.51284E+001, 2.50383E+001, 2.50301E+001, 2.50305E+001, 2.50332E+001, 2.50402E+001, 2.50121E+001, 2.50111E+001, 2.50105E+001, 2.50104E+001, 2.50104E+001, 7.02121E+001, 5.12220E+001, 4.16990E-003, 2.06860E-001, 7.51448E+000, 2.30000E-001, 2.52506E+001, 2.52506E+001, 2.30000E-001, 2.50062E+001, 2.50032E+001, 2.30000E-001, 2.50060E+001, 2.50031E+001
 1.00037E+001, 2.51096E+001, 2.51792E+001, 2.79896E+001, 2.50041E+001, 2.50061E+001, 2.50078E+001, 2.50071E+001, 3.31458E+001, 2.88259E+001, 2.84468E+001, 2.83132E+001, 2.82249E+001, 6.26113E+001, 5.17409E+001, 4.62427E+001, 4.28684E+001, 3.86331E+001, 3.20198E+001, 2.81578E+001, 2.77079E+001, 2.75331E+001, 2.73512E+001, 2.51629E+001, 2.51105E+001, 2.51096E+001, 2.51185E+001, 2.51395E+001, 2.50418E+001, 2.50333E+001, 2.50335E+001, 2.50363E+001, 2.50433E+001, 2.50152E+001, 2.50141E+001, 2.50133E+001, 2.50130E+001, 2.50129E+001, 8.08566E+001, 5.76495E+001, 5.22474E-003, 2.06860E-001, 9.82907E+000, 2.30000E-001, 2.52159E+001, 2.52159E+001, 2.30000E-001, 2.50081E+001, 2.50040E+001, 2.30000E-001, 2.50079E+001, 2.50038E+001
 1.10022E+001, 2.51161E+001, 2.51947E+001, 2.85692E+001, 2.50050E+001, 2.50074E+001, 2.50097E+001, 2.50088E+001, 3.44304E+001, 2.95114E+001, 2.90482E+001, 2.89262E+001, 2.88543E+001, 6.76309E+001, 5.54831E+001, 4.93281E+001, 4.55816E+001, 4.08178E+001, 3.25261E+001, 2.85822E+001, 2.81200E+001, 2.79011E+001, 2.76973E+001, 2.51338E+001, 2.51129E+001, 2.51161E+001, 2.51265E+001, 2.51492E+001, 2.50403E+001, 2.50359E+001, 2.50364E+001, 2.50391E+001, 2.50460E+001, 2.50187E+001, 2.50174E+001, 2.50164E+001, 2.50159E+001, 2.50156E+001, 9.27819E+001, 6.42816E+001, 6.40188E-003, 2.06860E-001, 1.24127E+001, 2.30000E-001, 2.51144E+001, 2.51144E+001, 2.30000E-001, 2.50102E+001, 2.50049E+001, 2.30000E-001, 2.50099E+001, 2.50046E+001
 1.20008E+001, 2.51200E+001, 2.52081E+001, 2.91444E+001, 2.50060E+001, 2.50089E+001, 2.50120E+001, 2.50107E+001, 3.59504E+001, 3.01448E+001, 2.97209E+001, 2.96421E+001, 2.95908E+001, 7.47595E+001, 6.07783E+001, 5.35105E+001, 4.90920E+001, 4.35241E+001, 3.39663E+001, 2.90883E+001, 2.85379E+001, 2.82705E+001, 2.80501E+001, 2.51365E+001, 2.51143E+001, 2.51200E+001, 2.51316E+001, 2.51578E+001, 2.50419E+001, 2.50383E+001, 2.50389E+001, 2.50416E+001, 2.50485E+001, 2.50226E+001, 2.50212E+001, 2.50199E+001, 2.50192E+001, 2.50185E+001, 1.05206E+002, 7.15974E+001, 7.70560E-003, 2.06860E-001, 1.54251E+001, 2.30000E-001, 2.51088E+001, 2.51088E+001, 2.30000E-001, 2.50126E+001, 2.50059E+001, 2.30000E-001, 2.50122E+001, 2.50055E+001
 1.30039E+001, 2.51254E+001, 2.52151E+001, 2.97782E+001, 2.50072E+001, 2.50106E+001, 2.50146E+001, 2.50130E+001, 3.79536E+001, 3.10747E+001, 3.04261E+001, 3.03198E+001, 3.02859E+001, 8.23932E+001, 6.65307E+001, 5.80817E+001, 5.29836E+001, 4.65655E+001, 3.62662E+001, 2.96791E+001, 2.89507E+001, 2.86452E+001, 2.84078E+001, 2.51622E+001, 2.51212E+001, 2.51254E+001, 2.51364E+001, 2.51624E+001, 2.50479E+001, 2.50422E+001, 2.50421E+001, 2.50442E+001, 2.50503E+001, 2.50270E+001, 2.50255E+001, 2.50239E+001, 2.50229E+001, 2.50218E+001, 1.18516E+002, 7.96806E+001, 9.13836E-003, 2.06860E-001, 1.89835E+001, 2.30000E-001, 2.51666E+001, 2.51666E+001, 2.30000E-001, 2.50155E+001, 2.50071E+001, 2.30000E-001, 2.50150E+001, 2.50066E+001
 1.40029E+001, 2.51328E+001, 2.52167E+001, 3.04262E+001, 2.50084E+001, 2.50126E+001, 2.50176E+001, 2.50155E+001, 3.99324E+001, 3.21231E+001, 3.13850E+001, 3.12881E+001, 3.12902E+001, 9.04047E+001, 7.24452E+001, 6.20591E+001, 5.63571E+001, 4.92801E+001, 3.79699E+001, 3.02675E+001, 2.94034E+001, 2.90212E+001, 2.86930E+001, 2.51925E+001, 2.51318E+001, 2.51328E+001, 2.51418E+001, 2.51646E+001, 2.50554E+001, 2.50473E+001, 2.50463E+001, 2.50474E+001, 2.50521E+001, 2.50318E+001, 2.50303E+001, 2.50285E+001, 2.50272E+001, 2.50257E+001, 1.32453E+002, 8.76172E+001, 1.06990E-002, 2.06860E-001, 2.30428E+001, 2.30000E-001, 2.52284E+001, 2.52284E+001, 2.30000E-001, 2.50188E+001, 2.50085E+001, 2.30000E-001, 2.50181E+001, 2.50078E+001
 1.50027E+001, 2.51357E+001, 2.52094E+001, 3.10840E+001, 2.50099E+001, 2.50148E+001, 2.50209E+001, 2.50184E+001, 4.21074E+001, 3.28075E+001, 3.22965E+001, 3.22473E+001, 3.23655E+001, 9.82006E+001, 7.85569E+001, 6.68401E+001, 6.04035E+001, 5.24161E+001, 3.94250E+001, 3.07624E+001, 2.97382E+001, 2.93014E+001, 2.89249E+001, 2.52160E+001, 2.51381E+001, 2.51357E+001, 2.51434E+001, 2.51641E+001, 2.50624E+001, 2.50523E+001, 2.50503E+001, 2.50507E+001, 2.50540E+001, 2.50369E+001, 2.50356E+001, 2.50335E+001, 2.50319E+001, 2.50300E+001, 1.46752E+002, 9.60392E+001, 1.23873E-002, 2.06860E-001, 2.76521E+001, 2.30000E-001, 2.52808E+001, 2.52808E+001, 2.30000E-001, 2.50225E+001, 2.50100E+001, 2.30000E-001, 2.50217E+001, 2.50091E+001
 1.60008E+001, 2.51355E+001, 2.51932E+001, 3.17269E+001, 2.50200E+001, 2.50171E+001, 2.50246E+001, 2.50215E+001, 4.44384E+001, 3.41175E+001, 3.34645E+001, 3.34144E+001, 3.35787E+001, 1.05978E+002, 8.45896E+001, 7.11897E+001, 6.39683E+001, 5.51957E+001, 4.07179E+001, 3.09956E+001, 2.99263E+001, 2.94535E+001, 2.90263E+001, 2.52317E+001, 2.51415E+001, 2.51355E+001, 2.51410E+001, 2.51576E+001, 2.50687E+001, 2.50573E+001, 2.50544E+001, 2.50538E+001, 2.50554E+001, 2.50422E+001, 2.50411E+001, 2.50390E+001, 2.50372E+001, 2.50348E+001, 1.61343E+002, 1.04265E+002, 1.41939E-002, 2.06860E-001, 3.27823E+001, 2.30000E-001, 2.53309E+001, 2.53309E+001, 2.30000E-001, 2.50379E+001, 2.50116E+001, 2.30000E-001, 2.50256E+001, 2.50105E+001
 1.70025E+001, 2.51362E+001, 2.51646E+001, 3.23488E+001, 2.51017E+001, 2.50196E+001, 2.50286E+001, 2.50247E+001, 4.69527E+001, 3.58243E+001, 3.49288E+001, 3.49253E+001, 3.52487E+001, 1.13740E+002, 9.06781E+001, 7.55654E+001, 6.74951E+001, 5.78201E+001, 4.20085E+001, 3.10027E+001, 2.99002E+001, 2.93965E+001, 2.88520E+001, 2.52505E+001, 2.51521E+001, 2.51362E+001, 2.51328E+001, 2.51431E+001, 2.50757E+001, 2.50633E+001, 2.50591E+001, 2.50569E+001, 2.50565E+001, 2.50479E+001, 2.50472E+001, 2.50450E+001, 2.50429E+001, 2.50401E+001, 1.76240E+002, 1.12699E+002, 1.61354E-002, 2.06860E-001, 3.83670E+001, 2.30000E-001, 2.53745E+001, 2.53745E+001, 2.30000E-001, 2.51661E+001, 2.50134E+001, 2.30000E-001, 2.50298E+001, 2.50120E+001
 1.80019E+001, 2.51455E+001, 2.51302E+001, 3.30591E+001, 2.52830E+001, 2.50223E+001, 2.50329E+001, 2.50283E+001, 4.89948E+001, 3.75487E+001, 3.65919E+001, 3.66539E+001, 3.71147E+001, 1.21819E+002, 9.70150E+001, 8.04475E+001, 7.13482E+001, 6.07234E+001, 4.29000E+001, 3.11552E+001, 2.99643E+001, 2.93922E+001, 2.87267E+001, 2.52677E+001, 2.51716E+001, 2.51455E+001, 2.51323E+001, 2.51294E+001, 2.50830E+001, 2.50712E+001, 2.50653E+001, 2.50612E+001, 2.50583E+001, 2.50537E+001, 2.50535E+001, 2.50514E+001, 2.50490E+001, 2.50459E+001, 1.91466E+002, 1.20959E+002, 1.82144E-002, 2.06860E-001, 4.45974E+001, 2.30000E-001, 2.54155E+001, 2.54155E+001, 2.30000E-001, 2.53394E+001, 2.50153E+001, 2.30000E-001, 2.50345E+001, 2.50136E+001
 1.90024E+001, 2.51523E+001, 2.51074E+001, 3.38104E+001, 2.54879E+001, 2.50250E+001, 2.50376E+001, 2.50320E+001, 5.02063E+001, 3.84984E+001, 3.78652E+001, 3.81125E+001, 3.88535E+001, 1.30533E+002, 1.04360E+002, 8.61531E+001, 7.54352E+001, 6.35192E+001, 4.23748E+001, 3.11155E+001, 2.99401E+001, 2.93592E+001, 2.85286E+001, 2.53052E+001, 2.51846E+001, 2.51523E+001, 2.51389E+001, 2.51248E+001, 2.50921E+001, 2.50789E+001, 2.50721E+001, 2.50674E+001, 2.50621E+001, 2.50596E+001, 2.50601E+001, 2.50582E+001, 2.50557E+001, 2.50522E+001, 2.06535E+002, 1.29059E+002, 2.04188E-002, 2.06860E-001, 5.13001E+001, 2.30000E-001, 2.54545E+001, 2.54545E+001, 2.30000E-001, 2.54345E+001, 2.50173E+001, 2.30000E-001, 2.50395E+001, 2.50153E+001
 2.00007E+001, 2.51592E+001, 2.51058E+001, 3.46983E+001, 2.57703E+001, 2.50279E+001, 2.50425E+001, 2.50358E+001, 5.36874E+001, 4.02963E+001, 3.90401E+001, 3.92913E+001, 4.01181E+001, 1.39831E+002, 1.11425E+002, 9.16432E+001, 7.95416E+001, 6.64864E+001, 3.96251E+001, 3.10310E+001, 2.99263E+001, 2.93563E+001, 2.83197E+001, 2.53230E+001, 2.51917E+001, 2.51592E+001, 2.51455E+001, 2.51284E+001, 2.51008E+001, 2.50861E+001, 2.50791E+001, 2.50743E+001, 2.50680E+001, 2.50656E+001, 2.50669E+001, 2.50653E+001, 2.50628E+001, 2.50589E+001, 2.21648E+002, 1.36363E+002, 2.27395E-002, 2.06860E-001, 5.85085E+001, 2.30000E-001, 2.55041E+001, 2.55041E+001, 2.30000E-001, 2.55514E+001, 2.50195E+001, 2.30000E-001, 2.50449E+001, 2.50170E+001
 2.10019E+001, 2.51618E+001, 2.52497E+001, 3.56033E+001, 2.62509E+001, 2.50310E+001, 2.50478E+001, 2.50398E+001, 5.58097E+001, 4.11228E+001, 3.97614E+001, 4.02973E+001, 4.14096E+001, 1.50028E+002, 1.19248E+002, 9.78283E+001, 8.44175E+001, 6.98006E+001, 3.64894E+001, 3.08238E+001, 2.96955E+001, 2.91798E+001, 2.80252E+001, 2.53035E+001, 2.51861E+001, 2.51618E+001, 2.51501E+001, 2.51307E+001, 2.51058E+001, 2.50917E+001, 2.50860E+001, 2.50814E+001, 2.50746E+001, 2.50721E+001, 2.50740E+001, 2.50728E+001, 2.50702E+001, 2.50661E+001, 2.36738E+002, 1.44314E+002, 2.51726E-002, 2.06860E-001, 6.62929E+001, 2.30000E-001, 2.55723E+001, 2.55723E+001, 2.30000E-001, 2.57832E+001, 2.50217E+001, 2.30000E-001, 2.50507E+001, 2.50188E+001
 2.20004E+001, 2.51654E+001, 2.56127E+001, 3.65926E+001, 2.66962E+001, 2.50342E+001, 2.50534E+001, 2.50440E+001, 5.72903E+001, 4.19882E+001, 4.06323E+001, 4.12511E+001, 4.23395E+001, 1.59998E+002, 1.27514E+002, 1.04366E+002, 8.90169E+001, 7.27148E+001, 3.60610E+001, 3.08850E+001, 2.97280E+001, 2.91826E+001, 2.80158E+001, 2.52827E+001, 2.51874E+001, 2.51654E+001, 2.51549E+001, 2.51324E+001, 2.51107E+001, 2.50981E+001, 2.50934E+001, 2.50890E+001, 2.50815E+001, 2.50790E+001, 2.50816E+001, 2.50808E+001, 2.50783E+001, 2.50739E+001, 2.51393E+002, 1.51597E+002, 2.77665E-002, 2.06859E-001, 7.46925E+001, 2.30000E-001, 2.56096E+001, 2.56096E+001, 1.94324E-001, 2.60283E+001, 2.50241E+001, 2.30000E-001, 2.50568E+001, 2.50208E+001
 2.30015E+001, 2.51684E+001, 2.57798E+001, 3.68574E+001, 2.71200E+001, 2.50377E+001, 2.50595E+001, 2.50483E+001, 5.88303E+001, 4.25206E+001, 4.18315E+001, 4.24531E+001, 4.40998E+001, 1.69870E+002, 1.35686E+002, 1.10597E+002, 9.34149E+001, 7.34522E+001, 3.54221E+001, 3.07214E+001, 2.96495E+001, 2.91052E+001, 2.86897E+001, 2.52219E+001, 2.51837E+001, 2.51684E+001, 2.51554E+001, 2.51261E+001, 2.51123E+001, 2.51048E+001, 2.51016E+001, 2.50969E+001, 2.50882E+001, 2.50867E+001, 2.50898E+001, 2.50895E+001, 2.50870E+001, 2.50824E+001, 2.66580E+002, 1.60960E+002, 3.04928E-002, 2.06854E-001, 8.38306E+001, 2.30000E-001, 2.56183E+001, 2.56183E+001, 1.62151E-001, 2.63028E+001, 2.50267E+001, 2.30000E-001, 2.50635E+001, 2.50230E+001
 2.40000E+001, 2.51694E+001, 2.58858E+001, 3.72112E+001, 2.74461E+001, 2.50416E+001, 2.50662E+001, 2.50527E+001, 6.00698E+001, 4.28248E+001, 4.26233E+001, 4.32032E+001, 4.53808E+001, 1.81086E+002, 1.45632E+002, 1.18284E+002, 9.88546E+001, 7.43153E+001, 3.65657E+001, 3.09920E+001, 2.97922E+001, 2.91864E+001, 2.98961E+001, 2.52400E+001, 2.51891E+001, 2.51694E+001, 2.51501E+001, 2.51495E+001, 2.51212E+001, 2.51130E+001, 2.51100E+001, 2.51048E+001, 2.50982E+001, 2.50948E+001, 2.50986E+001, 2.50988E+001, 2.50963E+001, 2.50920E+001, 2.82510E+002, 1.73209E+002, 3.33496E-002, 2.06845E-001, 9.38649E+001, 2.30000E-001, 2.56699E+001, 2.56699E+001, 1.59195E-001, 2.65007E+001, 2.50295E+001, 2.30000E-001, 2.50709E+001, 2.50254E+001
 2.50003E+001, 2.51858E+001, 2.59231E+001, 3.90481E+001, 2.69925E+001, 2.50457E+001, 2.50733E+001, 2.50570E+001, 6.14593E+001, 4.29282E+001, 4.28248E+001, 4.35421E+001, 4.62817E+001, 1.92443E+002, 1.55758E+002, 1.26731E+002, 1.05486E+002, 7.80581E+001, 3.80661E+001, 3.18550E+001, 3.04544E+001, 2.98953E+001, 3.07416E+001, 2.52780E+001, 2.52096E+001, 2.51858E+001, 2.51643E+001, 2.51817E+001, 2.51333E+001, 2.51235E+001, 2.51205E+001, 2.51148E+001, 2.51128E+001, 2.51033E+001, 2.51077E+001, 2.51087E+001, 2.51064E+001, 2.51034E+001, 3.04405E+002, 1.85750E+002, 3.63384E-002, 2.06839E-001, 1.04691E+002, 2.30000E-001, 2.57425E+001, 2.57425E+001, 1.51245E-001, 2.64233E+001, 2.50324E+001, 2.30000E-001, 2.50787E+001, 2.50280E+001
 2.60016E+001, 2.52044E+001, 2.60611E+001, 3.91550E+001, 2.72532E+001, 2.50497E+001, 2.50805E+001, 2.50606E+001, 6.29054E+001, 4.37729E+001, 4.31326E+001, 4.37357E+001, 4.66979E+001, 1.98841E+002, 1.61349E+002, 1.31498E+002, 1.09955E+002, 8.09352E+001, 3.92500E+001, 3.26215E+001, 3.10403E+001, 3.04328E+001, 3.15279E+001, 2.53156E+001, 2.52328E+001, 2.52044E+001, 2.51838E+001, 2.52084E+001, 2.51455E+001, 2.51344E+001, 2.51315E+001, 2.51261E+001, 2.51278E+001, 2.51117E+001, 2.51168E+001, 2.51187E+001, 2.51166E+001, 2.51169E+001, 3.13346E+002, 1.92943E+002, 3.79591E-002, 2.06835E-001, 1.15825E+002, 2.30000E-001, 2.58138E+001, 2.58138E+001, 1.51930E-001, 2.66611E+001, 2.50351E+001, 2.30000E-001, 2.50864E+001, 2.50304E+001
