s,C,C,C,C,C,C,C,kW,mol/mol,Pa,m,C,C,m,C,C,m,C,C,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box,zint_fire,Tupp_fire,Tlow_fire,zint_mid,Tupp_mid,Tlow_mid,zint_door,Tupp_door,Tlow_door,tr_fire_z03,tr_fire_z08,tr_fire_z13,tr_fire_z18,tr_fire_z22,tr_mid_z03,tr_mid_z08,tr_mid_z13,tr_mid_z18,tr_mid_z22,tr_door_z03,tr_door_z08,tr_door_z13,tr_door_z18,tr_door_z22,tr_roommean,tr_uppermean,tr_lowermean,tr_plenummean
 8.60041E+001, 2.52851E+001, 2.60598E+001, 4.44605E+001, 2.63266E+001, 2.50156E+001, 2.50811E+001, 2.56910E+001, 1.79953E-002, 2.05298E-001, 1.68172E+002, 2.15314E-001, 3.71690E+001, 2.57877E+001, 1.34556E-001, 2.70673E+001, 2.50350E+001, 9.54257E-002, 2.63164E+001, 2.50095E+001, 1.53289E-006, 3.87367E-006, 6.67280E-006, 8.68250E-006, 1.27458E-005, 1.63528E-006, 4.04780E-006, 8.71491E-006, 9.79286E-006, 1.30165E-005, 5.48868E-007, 3.23188E-006, 1.05791E-005, 1.07063E-005, 1.07692E-005, 8.10495E-006, 1.10929E-005, 5.48271E-006, 4.38263E-008
 8.70006E+001, 2.52871E+001, 2.60543E+001, 4.37655E+001, 2.64214E+001, 2.50156E+001, 2.51237E+001, 2.56619E+001, 1.79950E-002, 2.05252E-001, 1.68787E+002, 2.15374E-001, 3.68814E+001, 2.57912E+001, 1.35863E-001, 2.72066E+001, 2.50354E+001, 8.94177E-002, 2.61867E+001, 2.50097E+001, 1.66859E-006, 4.03261E-006, 6.82093E-006, 8.80574E-006, 1.27562E-005, 1.75547E-006, 4.19147E-006, 8.84398E-006, 9.89834E-006, 1.31610E-005, 4.87044E-007, 3.79286E-006, 1.06860E-005, 1.08335E-005, 1.08137E-005, 8.21555E-006, 1.12021E-005, 5.59296E-006, 4.69054E-008
 8.80024E+001, 2.52887E+001, 2.60523E+001, 4.46227E+001, 2.64977E+001, 2.50155E+001, 2.52496E+001, 2.57818E+001, 1.79955E-002, 2.05214E-001, 1.69371E+002, 2.15587E-001, 3.76642E+001, 2.57946E+001, 1.32567E-001, 2.71001E+001, 2.50358E+001, 9.34933E-002, 2.60401E+001, 2.50097E+001, 1.80850E-006, 4.19703E-006, 6.97686E-006, 8.94736E-006, 1.28775E-005, 1.86980E-006, 4.34561E-006, 8.96205E-006, 9.94270E-006, 1.30363E-005, 3.97778E-007, 4.28154E-006, 1.07349E-005, 1.08994E-005, 1.08337E-005, 8.32578E-006, 1.13116E-005, 5.70356E-006, 5.00349E-008
 8.90042E+001, 2.52900E+001, 2.60507E+001, 4.47955E+001, 2.63382E+001, 2.50155E+001, 2.52525E+001, 2.58906E+001, 1.79952E-002, 2.05183E-001, 1.69969E+002, 2.15537E-001, 3.73649E+001, 2.57984E+001, 1.33982E-001, 2.71384E+001, 2.50362E+001, 2.30000E-001, 2.59926E+001, 2.50098E+001, 1.95572E-006, 4.37374E-006, 7.14104E-006, 9.09408E-006, 1.30397E-005, 1.97670E-006, 4.49982E-006, 9.07584E-006, 1.00036E-005, 1.33814E-005, 3.02959E-007, 4.44169E-006, 1.05188E-005, 1.09178E-005, 1.08617E-005, 8.43612E-006, 1.14215E-005, 5.81422E-006, 5.31291E-008
 9.00007E+001, 2.52916E+001, 2.60546E+001, 4.43949E+001, 2.64391E+001, 2.50154E+001, 2.51747E+001, 2.58269E+001, 1.79950E-002, 2.05156E-001, 1.70645E+002, 2.15148E-001, 3.73079E+001, 2.58020E+001, 1.33621E-001, 2.71420E+001, 2.50366E+001, 1.18713E-001, 2.60506E+001, 2.50098E+001, 2.11448E-006, 4.56444E-006, 7.30800E-006, 9.24350E-006, 1.33339E-005, 2.07700E-006, 4.63815E-006, 9.19716E-006, 1.00802E-005, 1.33353E-005, 2.40280E-007, 4.53314E-006, 1.03284E-005, 1.09566E-005, 1.09051E-005, 8.54627E-006, 1.15324E-005, 5.92467E-006, 5.61461E-008
 9.10025E+001, 2.52935E+001, 2.60680E+001, 4.39665E+001, 2.64196E+001, 2.50154E+001, 2.51247E+001, 2.56849E+001, 1.79955E-002, 2.05130E-001, 1.71367E+002, 2.14574E-001, 3.71849E+001, 2.58051E+001, 1.34626E-001, 2.71825E+001, 2.50370E+001, 8.90141E-002, 2.61596E+001, 2.50098E+001, 2.28767E-006, 4.76250E-006, 7.47979E-006, 9.39498E-006, 1.32892E-005, 2.17260E-006, 4.74997E-006, 9.32068E-006, 1.01620E-005, 1.36276E-005, 2.27970E-007, 4.65322E-006, 1.01995E-005, 1.10317E-005, 1.10106E-005, 8.65653E-006, 1.16449E-005, 6.03551E-006, 5.91203E-008
 9.20043E+001, 2.52955E+001, 2.60775E+001, 4.34957E+001, 2.65427E+001, 2.50153E+001, 2.51119E+001, 2.56522E+001, 1.79955E-002, 2.05109E-001, 1.72068E+002, 2.14293E-001, 3.68840E+001, 2.58087E+001, 1.32702E-001, 2.70952E+001, 2.50374E+001, 1.40786E-001, 2.60386E+001, 2.50097E+001, 2.47116E-006, 4.95888E-006, 7.62901E-006, 9.51868E-006, 1.34234E-005, 2.26315E-006, 4.83553E-006, 9.42033E-006, 1.02171E-005, 1.35215E-005, 2.54304E-007, 4.82993E-006, 1.00834E-005, 1.13204E-005, 1.12083E-005, 8.76664E-006, 1.17581E-005, 6.14590E-006, 6.21501E-008
 9.30007E+001, 2.52978E+001, 2.60772E+001, 4.36136E+001, 2.64433E+001, 2.50154E+001, 2.51514E+001, 2.55194E+001, 1.79946E-002, 2.05094E-001, 1.72813E+002, 2.14360E-001, 3.75232E+001, 2.58123E+001, 1.33869E-001, 2.71385E+001, 2.50377E+001, 1.77738E-001, 2.60055E+001, 2.50098E+001, 2.65854E-006, 5.14072E-006, 7.73239E-006, 9.59739E-006, 1.36634E-005, 2.34626E-006, 4.91186E-006, 9.49047E-006, 1.02832E-005, 1.36605E-005, 2.77934E-007, 5.04992E-006, 1.01913E-005, 1.15028E-005, 1.12830E-005, 8.87543E-006, 1.18702E-005, 6.25357E-006, 6.53187E-008
 9.40026E+001, 2.53002E+001, 2.60807E+001, 4.41864E+001, 2.64255E+001, 2.50155E+001, 2.52768E+001, 2.54616E+001, 1.79952E-002, 2.05078E-001, 1.73639E+002, 2.13933E-001, 3.83391E+001, 2.58155E+001, 1.32871E-001, 2.70924E+001, 2.50381E+001, 8.98966E-002, 2.61565E+001, 2.50099E+001, 2.84423E-006, 5.30006E-006, 7.81296E-006, 9.67622E-006, 1.41052E-005, 2.42282E-006, 5.01445E-006, 9.55806E-006, 1.03713E-005, 1.37638E-005, 2.50459E-007, 5.26149E-006, 1.08599E-005, 1.15739E-005, 1.14411E-005, 8.98325E-006, 1.19813E-005, 6.35870E-006, 6.86251E-008
 9.50044E+001, 2.53024E+001, 2.60959E+001, 4.43305E+001, 2.64769E+001, 2.50157E+001, 2.53180E+001, 2.54126E+001, 1.79970E-002, 2.05059E-001, 1.74471E+002, 2.13590E-001, 3.81711E+001, 2.58188E+001, 1.34024E-001, 2.71585E+001, 2.50384E+001, 9.12081E-002, 2.62657E+001, 2.50100E+001, 3.02160E-006, 5.44243E-006, 7.89494E-006, 9.77815E-006, 1.42881E-005, 2.50146E-006, 5.16749E-006, 9.64861E-006, 1.04766E-005, 1.39529E-005, 1.94525E-007, 5.42831E-006, 1.12622E-005, 1.16511E-005, 1.15869E-005, 9.09133E-006, 1.20922E-005, 6.46375E-006, 7.21408E-008
 9.60010E+001, 2.53046E+001, 2.61152E+001, 4.35353E+001, 2.65191E+001, 2.50159E+001, 2.53765E+001, 2.54745E+001, 1.79989E-002, 2.05037E-001, 1.75263E+002, 2.13452E-001, 3.76340E+001, 2.58221E+001, 1.32756E-001, 2.71064E+001, 2.50388E+001, 8.96894E-002, 2.62024E+001, 2.50100E+001, 3.18835E-006, 5.57477E-006, 7.98847E-006, 9.88971E-006, 1.40747E-005, 2.59633E-006, 5.35418E-006, 9.76840E-006, 1.05448E-005, 1.39169E-005, 1.77897E-007, 5.51340E-006, 1.08057E-005, 1.17759E-005, 1.17137E-005, 9.19949E-006, 1.22034E-005, 6.56964E-006, 7.61341E-008
 9.70033E+001, 2.53069E+001, 2.61358E+001, 4.33806E+001, 2.64352E+001, 2.50160E+001, 2.55425E+001, 2.55756E+001, 1.79917E-002, 2.05012E-001, 1.76024E+002, 2.12955E-001, 3.69325E+001, 2.58254E+001, 1.32034E-001, 2.70623E+001, 2.50391E+001, 1.00973E-001, 2.60515E+001, 2.50101E+001, 3.34745E-006, 5.70004E-006, 8.10245E-006, 1.00092E-005, 1.40189E-005, 2.71474E-006, 5.53575E-006, 9.91037E-006, 1.06173E-005, 1.42536E-005, 2.05493E-007, 5.44076E-006, 1.03449E-005, 1.18310E-005, 1.17806E-005, 9.30720E-006, 1.23139E-005, 6.67502E-006, 8.06542E-008
 9.80009E+001, 2.53095E+001, 2.61650E+001, 4.26801E+001, 2.66444E+001, 2.50161E+001, 2.54904E+001, 2.58265E+001, 1.79957E-002, 2.04986E-001, 1.76810E+002, 2.11707E-001, 3.62822E+001, 2.58286E+001, 1.34729E-001, 2.72346E+001, 2.50395E+001, 1.13535E-001, 2.60356E+001, 2.50101E+001, 3.49992E-006, 5.82399E-006, 8.22516E-006, 1.01449E-005, 1.39159E-005, 2.85122E-006, 5.68184E-006, 1.00525E-005, 1.07146E-005, 1.42953E-005, 2.14412E-007, 5.33916E-006, 1.02199E-005, 1.18667E-005, 1.18392E-005, 9.41487E-006, 1.24223E-005, 6.77959E-006, 8.55601E-008
 9.90038E+001, 2.53121E+001, 2.61828E+001, 4.21321E+001, 2.67371E+001, 2.50160E+001, 2.53189E+001, 2.57519E+001, 1.79954E-002, 2.04961E-001, 1.77635E+002, 2.11342E-001, 3.58143E+001, 2.58321E+001, 1.33275E-001, 2.71791E+001, 2.50399E+001, 9.29304E-002, 2.61301E+001, 2.50102E+001, 3.64851E-006, 5.95354E-006, 8.34971E-006, 1.02634E-005, 1.39001E-005, 2.99559E-006, 5.78840E-006, 1.01632E-005, 1.07873E-005, 1.41600E-005, 2.15230E-007, 5.26467E-006, 1.13551E-005, 1.19436E-005, 1.19233E-005, 9.52341E-006, 1.25311E-005, 6.88547E-006, 9.07448E-008
 1.00001E+002, 2.53150E+001, 2.61963E+001, 4.06634E+001, 2.67912E+001, 2.50158E+001, 2.51881E+001, 2.58325E+001, 1.79979E-002, 2.04938E-001, 1.78456E+002, 2.11144E-001, 3.49236E+001, 2.58356E+001, 1.32744E-001, 2.71707E+001, 2.50402E+001, 8.98050E-002, 2.62633E+001, 2.50103E+001, 3.79791E-006, 6.09047E-006, 8.46755E-006, 1.03710E-005, 1.39140E-005, 3.14059E-006, 5.87609E-006, 1.02346E-005, 1.08798E-005, 1.38456E-005, 2.72039E-007, 5.10907E-006, 1.20405E-005, 1.20404E-005, 1.20628E-005, 9.63268E-006, 1.26410E-005, 6.99378E-006, 9.60197E-008
 1.01003E+002, 2.53182E+001, 2.62037E+001, 4.21567E+001, 2.63633E+001, 2.50158E+001, 2.51369E+001, 2.59019E+001, 1.79910E-002, 2.04918E-001, 1.79321E+002, 2.10855E-001, 3.61779E+001, 2.58389E+001, 1.31536E-001, 2.70983E+001, 2.50406E+001, 8.81215E-002, 2.63107E+001, 2.50104E+001, 3.95180E-006, 6.23164E-006, 8.58174E-006, 1.04573E-005, 1.46177E-005, 3.28457E-006, 5.97490E-006, 1.02794E-005, 1.10055E-005, 1.40301E-005, 3.70005E-007, 4.79831E-006, 1.21151E-005, 1.22322E-005, 1.21624E-005, 9.74215E-006, 1.27506E-005, 7.10484E-006, 1.01176E-007
 1.02005E+002, 2.53215E+001, 2.62101E+001, 4.16671E+001, 2.63056E+001, 2.50159E+001, 2.51162E+001, 2.56953E+001, 1.79964E-002, 2.04897E-001, 1.80224E+002, 2.10339E-001, 3.61444E+001, 2.58422E+001, 1.32351E-001, 2.71566E+001, 2.50411E+001, 8.92479E-002, 2.62411E+001, 2.50106E+001, 4.10964E-006, 6.37640E-006, 8.69030E-006, 1.05482E-005, 1.48410E-005, 3.42947E-006, 6.10476E-006, 1.03090E-005, 1.11589E-005, 1.41316E-005, 4.68532E-007, 4.62539E-006, 1.22628E-005, 1.24837E-005, 1.23134E-005, 9.85175E-006, 1.28600E-005, 7.21911E-006, 1.06066E-007
 1.03005E+002, 2.53250E+001, 2.62162E+001, 4.17195E+001, 2.65428E+001, 2.50160E+001, 2.51076E+001, 2.57695E+001, 1.79987E-002, 2.04878E-001, 1.81127E+002, 2.10332E-001, 3.60075E+001, 2.58452E+001, 1.33374E-001, 2.72419E+001, 2.50415E+001, 9.17570E-002, 2.61766E+001, 2.50108E+001, 4.26865E-006, 6.52167E-006, 8.79222E-006, 1.06568E-005, 1.49402E-005, 3.57515E-006, 6.25729E-006, 1.03328E-005, 1.12646E-005, 1.42145E-005, 5.09717E-007, 4.81056E-006, 1.24236E-005, 1.25539E-005, 1.23813E-005, 9.96116E-006, 1.29678E-005, 7.33507E-006, 1.10551E-007
 1.04002E+002, 2.53285E+001, 2.62207E+001, 4.09927E+001, 2.63979E+001, 2.50162E+001, 2.51069E+001, 2.60077E+001, 1.79950E-002, 2.04866E-001, 1.82023E+002, 2.10326E-001, 3.54950E+001, 2.58480E+001, 1.31660E-001, 2.71372E+001, 2.50419E+001, 9.14570E-002, 2.61756E+001, 2.50110E+001, 4.42553E-006, 6.66066E-006, 8.88575E-006, 1.07724E-005, 1.48615E-005, 3.71864E-006, 6.40510E-006, 1.03724E-005, 1.12846E-005, 1.43274E-005, 4.86740E-007, 5.20725E-006, 1.25465E-005, 1.25803E-005, 1.24386E-005, 1.00698E-005, 1.30719E-005, 7.44996E-006, 1.14598E-007
 1.05001E+002, 2.53316E+001, 2.62201E+001, 4.11981E+001, 2.62228E+001, 2.50163E+001, 2.51026E+001, 2.58132E+001, 1.79950E-002, 2.04858E-001, 1.82881E+002, 2.09816E-001, 3.59021E+001, 2.58508E+001, 1.31881E-001, 2.70927E+001, 2.50423E+001, 9.06773E-002, 2.61378E+001, 2.50111E+001, 4.57694E-006, 6.78782E-006, 8.97602E-006, 1.08729E-005, 1.49814E-005, 3.85616E-006, 6.52902E-006, 1.04481E-005, 1.13298E-005, 1.45620E-005, 4.22460E-007, 5.59058E-006, 1.26565E-005, 1.26511E-005, 1.24991E-005, 1.01775E-005, 1.31750E-005, 7.56343E-006, 1.18282E-007
 1.06004E+002, 2.53342E+001, 2.62232E+001, 4.05688E+001, 2.62572E+001, 2.50164E+001, 2.51006E+001, 2.56206E+001, 1.79937E-002, 2.04850E-001, 1.83691E+002, 2.09366E-001, 3.53539E+001, 2.58535E+001, 1.33048E-001, 2.71366E+001, 2.50427E+001, 8.99924E-002, 2.61753E+001, 2.50112E+001, 4.72044E-006, 6.90702E-006, 9.06801E-006, 1.09746E-005, 1.49354E-005, 3.98467E-006, 6.62433E-006, 1.05545E-005, 1.14081E-005, 1.47197E-005, 3.32807E-007, 5.87371E-006, 1.25805E-005, 1.27635E-005, 1.26122E-005, 1.02851E-005, 1.32788E-005, 7.67715E-006, 1.21792E-007
 1.07005E+002, 2.53361E+001, 2.62250E+001, 4.02359E+001, 2.63308E+001, 2.50165E+001, 2.51201E+001, 2.56812E+001, 1.79946E-002, 2.04842E-001, 1.84447E+002, 2.09321E-001, 3.49070E+001, 2.58564E+001, 1.33859E-001, 2.71797E+001, 2.50430E+001, 8.51274E-002, 2.62573E+001, 2.50112E+001, 4.85655E-006, 7.02627E-006, 9.16871E-006, 1.10545E-005, 1.49215E-005, 4.09732E-006, 6.68919E-006, 1.06686E-005, 1.14829E-005, 1.48051E-005, 2.74884E-007, 6.15917E-006, 1.22790E-005, 1.28220E-005, 1.27433E-005, 1.03924E-005, 1.33819E-005, 7.78992E-006, 1.25341E-007
 1.08004E+002, 2.53379E+001, 2.62238E+001, 3.96334E+001, 2.64060E+001, 2.50166E+001, 2.52464E+001, 2.55721E+001, 1.79977E-002, 2.04836E-001, 1.85167E+002, 2.09433E-001, 3.49694E+001, 2.58593E+001, 1.34432E-001, 2.72182E+001, 2.50434E+001, 8.81807E-002, 2.62524E+001, 2.50111E+001, 4.98973E-006, 7.15487E-006, 9.27642E-006, 1.11038E-005, 1.49123E-005, 4.18507E-006, 6.72377E-006, 1.07653E-005, 1.15574E-005, 1.48522E-005, 2.59331E-007, 6.42339E-006, 1.21619E-005, 1.26791E-005, 1.28113E-005, 1.04983E-005, 1.34819E-005, 7.89913E-006, 1.28980E-007
 1.09003E+002, 2.53398E+001, 2.62271E+001, 3.89638E+001, 2.67394E+001, 2.50166E+001, 2.55207E+001, 2.57567E+001, 1.79950E-002, 2.04829E-001, 1.85803E+002, 2.09122E-001, 3.46281E+001, 2.58622E+001, 1.35068E-001, 2.72822E+001, 2.50438E+001, 9.13695E-002, 2.61251E+001, 2.50111E+001, 5.12674E-006, 7.29862E-006, 9.39531E-006, 1.11443E-005, 1.48619E-005, 4.24423E-006, 6.73812E-006, 1.08380E-005, 1.16437E-005, 1.46991E-005, 2.26455E-007, 6.52624E-006, 1.18582E-005, 1.28172E-005, 1.28744E-005, 1.06034E-005, 1.35801E-005, 8.00717E-006, 1.32601E-007
 1.10004E+002, 2.53422E+001, 2.62376E+001, 3.97020E+001, 2.67330E+001, 2.50166E+001, 2.55774E+001, 2.60430E+001, 1.79972E-002, 2.04811E-001, 1.86398E+002, 2.08723E-001, 3.51566E+001, 2.58652E+001, 1.34578E-001, 2.72839E+001, 2.50442E+001, 9.26626E-002, 2.60977E+001, 2.50111E+001, 5.27302E-006, 7.45697E-006, 9.52139E-006, 1.12096E-005, 1.50503E-005, 4.27455E-006, 6.75361E-006, 1.09027E-005, 1.17543E-005, 1.46956E-005, 2.02503E-007, 6.41872E-006, 1.11910E-005, 1.30866E-005, 1.29583E-005, 1.07092E-005, 1.36811E-005, 8.11788E-006, 1.36157E-007
 1.11001E+002, 2.53450E+001, 2.62620E+001, 3.96721E+001, 2.68632E+001, 2.50166E+001, 2.55077E+001, 2.60379E+001, 1.79907E-002, 2.04780E-001, 1.87016E+002, 2.07880E-001, 3.51492E+001, 2.58686E+001, 1.34171E-001, 2.73366E+001, 2.50446E+001, 9.65853E-002, 2.61849E+001, 2.50111E+001, 5.42822E-006, 7.62227E-006, 9.64418E-006, 1.13129E-005, 1.51344E-005, 4.27925E-006, 6.79441E-006, 1.09736E-005, 1.18876E-005, 1.46554E-005, 2.34672E-007, 6.11437E-006, 1.10173E-005, 1.31551E-005, 1.30989E-005, 1.08152E-005, 1.37862E-005, 8.22900E-006, 1.39657E-007
 1.12004E+002, 2.53476E+001, 2.62996E+001, 3.93229E+001, 2.67266E+001, 2.50166E+001, 2.54309E+001, 2.57995E+001, 1.79949E-002, 2.04743E-001, 1.87664E+002, 2.07052E-001, 3.49164E+001, 2.58724E+001, 1.32946E-001, 2.73392E+001, 2.50450E+001, 9.38359E-002, 2.62944E+001, 2.50111E+001, 5.58617E-006, 7.78131E-006, 9.76157E-006, 1.14363E-005, 1.52684E-005, 4.26362E-006, 6.86122E-006, 1.10470E-005, 1.19862E-005, 1.48463E-005, 2.65399E-007, 5.88968E-006, 1.14075E-005, 1.31371E-005, 1.31697E-005, 1.09218E-005, 1.38923E-005, 8.33826E-006, 1.43080E-007
 1.13001E+002, 2.53494E+001, 2.63265E+001, 3.95823E+001, 2.70026E+001, 2.50166E+001, 2.52438E+001, 2.57581E+001, 1.79975E-002, 2.04715E-001, 1.88297E+002, 2.06372E-001, 3.47603E+001, 2.58764E+001, 1.32122E-001, 2.73575E+001, 2.50454E+001, 8.77157E-002, 2.62983E+001, 2.50112E+001, 5.73935E-006, 7.92311E-006, 9.86771E-006, 1.15778E-005, 1.54693E-005, 4.23244E-006, 6.91811E-006, 1.11320E-005, 1.20481E-005, 1.48673E-005, 2.88169E-007, 6.33483E-006, 1.17063E-005, 1.30636E-005, 1.31628E-005, 1.10287E-005, 1.39975E-005, 8.44672E-006, 1.46410E-007
 1.14001E+002, 2.53502E+001, 2.63247E+001, 3.96144E+001, 2.69609E+001, 2.50166E+001, 2.51676E+001, 2.56293E+001, 1.79968E-002, 2.04704E-001, 1.88932E+002, 2.06577E-001, 3.48637E+001, 2.58806E+001, 1.31850E-001, 2.73355E+001, 2.50458E+001, 8.23662E-002, 2.62186E+001, 2.50113E+001, 5.88401E-006, 8.04476E-006, 9.94676E-006, 1.17128E-005, 1.56631E-005, 4.19088E-006, 6.92420E-006, 1.12310E-005, 1.21118E-005, 1.49342E-005, 3.76203E-007, 7.00173E-006, 1.24633E-005, 1.30964E-005, 1.31493E-005, 1.11355E-005, 1.41024E-005, 8.55660E-006, 1.49881E-007
 1.15003E+002, 2.53504E+001, 2.62947E+001, 3.92312E+001, 2.67705E+001, 2.50166E+001, 2.51467E+001, 2.57658E+001, 1.79958E-002, 2.04704E-001, 1.89596E+002, 2.07059E-001, 3.44317E+001, 2.58847E+001, 1.32320E-001, 2.73190E+001, 2.50462E+001, 8.12069E-002, 2.60964E+001, 2.50114E+001, 6.02404E-006, 8.15449E-006, 1.00075E-005, 1.18126E-005, 1.56439E-005, 4.14863E-006, 6.88979E-006, 1.13248E-005, 1.21982E-005, 1.51060E-005, 4.34039E-007, 7.28868E-006, 1.30339E-005, 1.32850E-005, 1.31641E-005, 1.12424E-005, 1.42067E-005, 8.66735E-006, 1.53984E-007
 1.16000E+002, 2.53506E+001, 2.62617E+001, 4.01251E+001, 2.66325E+001, 2.50167E+001, 2.51379E+001, 2.60296E+001, 1.79921E-002, 2.04700E-001, 1.90314E+002, 2.07742E-001, 3.54290E+001, 2.58884E+001, 1.32298E-001, 2.72913E+001, 2.50466E+001, 8.91599E-002, 2.60584E+001, 2.50117E+001, 6.16562E-006, 8.26408E-006, 1.00764E-005, 1.18736E-005, 1.60483E-005, 4.12032E-006, 6.86196E-006, 1.14218E-005, 1.22898E-005, 1.52687E-005, 4.06497E-007, 7.16859E-006, 1.31226E-005, 1.34183E-005, 1.32103E-005, 1.13492E-005, 1.43093E-005, 8.77690E-006, 1.58713E-007
 1.17005E+002, 2.53515E+001, 2.62569E+001, 3.99047E+001, 2.67428E+001, 2.50168E+001, 2.51327E+001, 2.59322E+001, 1.79906E-002, 2.04683E-001, 1.91058E+002, 2.07510E-001, 3.56598E+001, 2.58921E+001, 1.32416E-001, 2.73131E+001, 2.50470E+001, 8.67302E-002, 2.61305E+001, 2.50119E+001, 6.31201E-006, 8.38331E-006, 1.01753E-005, 1.19610E-005, 1.61630E-005, 4.11800E-006, 6.86930E-006, 1.15391E-005, 1.23787E-005, 1.53757E-005, 4.02475E-007, 7.19476E-006, 1.30352E-005, 1.34889E-005, 1.33149E-005, 1.14554E-005, 1.44111E-005, 8.88449E-006, 1.64001E-007
 1.18002E+002, 2.53530E+001, 2.62784E+001, 3.93950E+001, 2.68536E+001, 2.50170E+001, 2.51829E+001, 2.58371E+001, 1.79979E-002, 2.04655E-001, 1.91815E+002, 2.06813E-001, 3.52817E+001, 2.58958E+001, 1.32084E-001, 2.73255E+001, 2.50474E+001, 8.24608E-002, 2.61687E+001, 2.50120E+001, 6.45760E-006, 8.51044E-006, 1.02952E-005, 1.20889E-005, 1.62530E-005, 4.14397E-006, 6.91391E-006, 1.16742E-005, 1.24711E-005, 1.54147E-005, 3.87161E-007, 7.59619E-006, 1.27033E-005, 1.35236E-005, 1.34396E-005, 1.15611E-005, 1.45144E-005, 8.99158E-006, 1.69934E-007
 1.19004E+002, 2.53547E+001, 2.62987E+001, 3.98297E+001, 2.67929E+001, 2.50172E+001, 2.54096E+001, 2.57810E+001, 1.79959E-002, 2.04623E-001, 1.92508E+002, 2.06298E-001, 3.53306E+001, 2.58997E+001, 1.32422E-001, 2.73448E+001, 2.50477E+001, 8.44482E-002, 2.61768E+001, 2.50120E+001, 6.59194E-006, 8.63416E-006, 1.04022E-005, 1.22204E-005, 1.64035E-005, 4.19247E-006, 6.99164E-006, 1.17973E-005, 1.25661E-005, 1.56016E-005, 3.07062E-007, 7.96799E-006, 1.21178E-005, 1.35690E-005, 1.34567E-005, 1.16671E-005, 1.46194E-005, 9.10043E-006, 1.76351E-007
 1.20001E+002, 2.53559E+001, 2.63091E+001, 3.97724E+001, 2.67164E+001, 2.50175E+001, 2.55475E+001, 2.56449E+001, 1.79984E-002, 2.04595E-001, 1.93152E+002, 2.06677E-001, 3.55114E+001, 2.59040E+001, 1.31949E-001, 2.73175E+001, 2.50480E+001, 7.99077E-002, 2.62184E+001, 2.50120E+001, 6.70670E-006, 8.74255E-006, 1.04716E-005, 1.23080E-005, 1.64590E-005, 4.25531E-006, 7.09961E-006, 1.19021E-005, 1.26409E-005, 1.57667E-005, 1.07773E-006, 8.70307E-006, 1.18372E-005, 1.36857E-005, 1.35273E-005, 1.17730E-005, 1.47259E-005, 9.20821E-006, 1.82701E-007
 1.21003E+002, 2.53564E+001, 2.63189E+001, 3.94595E+001, 2.66546E+001, 2.50175E+001, 2.56561E+001, 2.56102E+001, 1.79925E-002, 2.04578E-001, 1.93792E+002, 2.07112E-001, 3.51198E+001, 2.59084E+001, 1.31707E-001, 2.73011E+001, 2.50483E+001, 7.16663E-002, 2.62347E+001, 2.50121E+001, 6.79970E-006, 8.83139E-006, 1.05225E-005, 1.23706E-005, 1.63185E-005, 4.32494E-006, 7.21583E-006, 1.20171E-005, 1.27187E-005, 1.58740E-005, 1.35187E-006, 9.80667E-006, 1.23466E-005, 1.37709E-005, 1.36623E-005, 1.18782E-005, 1.48347E-005, 9.31216E-006, 1.88793E-007
 1.22002E+002, 2.53569E+001, 2.63302E+001, 4.01105E+001, 2.65985E+001, 2.50174E+001, 2.56129E+001, 2.59712E+001, 1.79942E-002, 2.04572E-001, 1.94467E+002, 2.07337E-001, 3.55796E+001, 2.59125E+001, 1.32193E-001, 2.73095E+001, 2.50486E+001, 7.31718E-002, 2.62525E+001, 2.50121E+001, 6.87492E-006, 8.90467E-006, 1.05854E-005, 1.24521E-005, 1.66872E-005, 4.39481E-006, 7.32552E-006, 1.21178E-005, 1.28227E-005, 1.59857E-005, 5.94348E-007, 1.04668E-005, 1.28707E-005, 1.36865E-005, 1.37184E-005, 1.19833E-005, 1.49464E-005, 9.41342E-006, 1.94912E-007
 1.23003E+002, 2.53579E+001, 2.63371E+001, 4.00328E+001, 2.66079E+001, 2.50172E+001, 2.54829E+001, 2.61777E+001, 1.79957E-002, 2.04569E-001, 1.95163E+002, 2.07147E-001, 3.56693E+001, 2.59163E+001, 1.33141E-001, 2.73448E+001, 2.50490E+001, 7.49773E-002, 2.62347E+001, 2.50121E+001, 6.93815E-006, 8.97175E-006, 1.06664E-005, 1.25652E-005, 1.67217E-005, 4.45944E-006, 7.42413E-006, 1.21879E-005, 1.29506E-005, 1.61396E-005, 5.53817E-007, 1.05767E-005, 1.28095E-005, 1.36288E-005, 1.36919E-005, 1.20875E-005, 1.50597E-005, 9.51177E-006, 2.02223E-007
