s,C,C,C,C,C,C,C,kW,mol/mol,Pa,m,C,C,m,C,C,m,C,C,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box,zint_fire,Tupp_fire,Tlow_fire,zint_mid,Tupp_mid,Tlow_mid,zint_door,Tupp_door,Tlow_door,tr_fire_z03,tr_fire_z08,tr_fire_z13,tr_fire_z18,tr_fire_z22,tr_mid_z03,tr_mid_z08,tr_mid_z13,tr_mid_z18,tr_mid_z22,tr_door_z03,tr_door_z08,tr_door_z13,tr_door_z18,tr_door_z22,tr_roommean,tr_uppermean,tr_lowermean,tr_plenummean
 9.00944E+000, 2.50253E+001, 2.50578E+001, 2.79019E+001, 2.50019E+001, 2.50046E+001, 2.50053E+001, 2.50042E+001, 2.07321E-003, 2.06860E-001, 6.62105E+000, 2.10755E-001, 2.62052E+001, 2.50404E+001, 2.30000E-001, 2.50054E+001, 2.50019E+001, 2.30000E-001, 2.50053E+001, 2.50018E+001, 1.08858E-008, 1.32066E-008, 2.00932E-008, 2.55466E-008, 6.42376E-007, 2.53391E-029, 1.06100E-031, 1.19634E-035, 5.16241E-037, 6.34231E-035, 1.70076E-084, 1.20551E-086, 1.75875E-090, 1.64890E-095, 2.49389E-100, 4.14882E-008, 5.43725E-008, 4.46734E-008, 3.90252E-132
 1.00030E+001, 2.50265E+001, 2.50587E+001, 2.85943E+001, 2.50023E+001, 2.50057E+001, 2.50067E+001, 2.50053E+001, 2.58985E-003, 2.06860E-001, 8.46337E+000, 2.11840E-001, 2.67165E+001, 2.50503E+001, 2.30000E-001, 2.50068E+001, 2.50023E+001, 2.30000E-001, 2.50067E+001, 2.50022E+001, 1.06842E-008, 1.37182E-008, 2.10712E-008, 2.81015E-008, 7.96915E-007, 7.84859E-028, 5.20917E-030, 1.21472E-033, 4.88332E-031, 1.80793E-029, 3.12650E-080, 3.38014E-082, 1.03599E-085, 2.26893E-090, 7.29347E-095, 5.78768E-008, 8.88921E-008, 5.30232E-008, 8.80085E-126
 1.10088E+001, 2.50282E+001, 2.50589E+001, 2.93309E+001, 2.50028E+001, 2.50070E+001, 2.50082E+001, 2.50064E+001, 3.16640E-003, 2.06860E-001, 1.05688E+001, 2.14799E-001, 2.73484E+001, 2.50608E+001, 2.30000E-001, 2.50085E+001, 2.50028E+001, 2.30000E-001, 2.50083E+001, 2.50026E+001, 1.01198E-008, 1.37767E-008, 2.14125E-008, 2.95709E-008, 9.61450E-007, 1.43396E-026, 1.38815E-028, 1.75294E-031, 1.62883E-026, 2.40877E-025, 2.07047E-076, 3.25752E-078, 1.86070E-081, 8.62823E-086, 5.43203E-090, 7.80957E-008, 1.34930E-007, 6.10595E-008, 4.12932E-120
 1.20044E+001, 2.50302E+001, 2.50587E+001, 3.01037E+001, 2.50033E+001, 2.50083E+001, 2.50100E+001, 2.50077E+001, 3.79689E-003, 2.06860E-001, 1.29721E+001, 2.17051E-001, 2.80725E+001, 2.50722E+001, 2.30000E-001, 2.50104E+001, 2.50033E+001, 2.30000E-001, 2.50102E+001, 2.50031E+001, 9.25939E-009, 1.33319E-008, 2.11149E-008, 2.98976E-008, 1.09366E-006, 1.65100E-025, 2.15915E-027, 1.32524E-027, 5.67820E-023, 4.19043E-022, 5.01144E-073, 1.08595E-074, 1.06838E-077, 9.60358E-082, 1.10715E-085, 1.02570E-007, 1.93044E-007, 6.92556E-008, 4.98750E-115
 1.30049E+001, 2.50326E+001, 2.50581E+001, 3.09194E+001, 2.50039E+001, 2.50098E+001, 2.50120E+001, 2.50091E+001, 4.48757E-003, 2.06860E-001, 1.56906E+001, 2.18846E-001, 2.89424E+001, 2.50847E+001, 2.30000E-001, 2.50126E+001, 2.50039E+001, 2.30000E-001, 2.50122E+001, 2.50036E+001, 8.27640E-009, 1.24292E-008, 2.00699E-008, 2.88942E-008, 1.23215E-006, 1.29848E-024, 2.15561E-026, 2.94810E-024, 4.55705E-020, 1.90763E-019, 5.80439E-070, 1.65088E-071, 2.63483E-074, 4.25973E-078, 3.74024E-081, 1.31619E-007, 2.63568E-007, 7.74692E-008, 1.90043E-110
 1.40076E+001, 2.50354E+001, 2.50569E+001, 3.17939E+001, 2.50045E+001, 2.50115E+001, 2.50141E+001, 2.50107E+001, 5.23636E-003, 2.06860E-001, 1.87381E+001, 2.20307E-001, 2.99750E+001, 2.50977E+001, 2.30000E-001, 2.50150E+001, 2.50046E+001, 2.30000E-001, 2.50145E+001, 2.50042E+001, 7.24368E-009, 1.11777E-008, 1.83075E-008, 2.66008E-008, 1.37770E-006, 7.39496E-024, 1.52746E-025, 1.98375E-021, 1.24704E-017, 3.22398E-017, 3.49506E-067, 1.26475E-068, 3.10653E-071, 9.09952E-075, 1.90077E-075, 1.65824E-007, 3.45890E-007, 8.58360E-008, 2.76556E-106
 1.50028E+001, 2.50385E+001, 2.50553E+001, 3.26138E+001, 2.50051E+001, 2.50131E+001, 2.50164E+001, 2.50123E+001, 6.03793E-003, 2.06860E-001, 2.20109E+001, 2.21504E-001, 3.09652E+001, 2.51118E+001, 2.30000E-001, 2.50176E+001, 2.50052E+001, 2.30000E-001, 2.50170E+001, 2.50047E+001, 6.23324E-009, 9.68136E-009, 1.60202E-008, 2.34976E-008, 1.51330E-006, 3.13251E-023, 3.13407E-024, 5.05718E-019, 2.17615E-015, 4.02204E-015, 1.15452E-064, 5.13658E-066, 1.85804E-068, 7.32475E-071, 2.06563E-070, 2.05370E-007, 4.38052E-007, 9.46661E-008, 1.73592E-102
 1.60028E+001, 2.50420E+001, 2.50538E+001, 3.35532E+001, 2.50057E+001, 2.50148E+001, 2.50189E+001, 2.50139E+001, 6.90285E-003, 2.06860E-001, 2.55041E+001, 2.22517E-001, 3.22485E+001, 2.51268E+001, 2.30000E-001, 2.50203E+001, 2.50059E+001, 2.30000E-001, 2.50196E+001, 2.50053E+001, 5.24660E-009, 8.08766E-009, 1.34856E-008, 2.02970E-008, 1.67516E-006, 1.02065E-022, 4.37994E-022, 5.38820E-017, 3.85041E-013, 4.93146E-013, 2.33877E-062, 1.23743E-063, 6.40085E-066, 2.40782E-066, 6.20204E-066, 2.50697E-007, 5.40469E-007, 1.04435E-007, 5.29640E-099
 1.70018E+001, 2.50458E+001, 2.50523E+001, 3.43005E+001, 2.50062E+001, 2.50166E+001, 2.50214E+001, 2.50156E+001, 7.82003E-003, 2.06860E-001, 2.92768E+001, 2.23332E-001, 3.34159E+001, 2.51429E+001, 2.30000E-001, 2.50232E+001, 2.50067E+001, 2.30000E-001, 2.50224E+001, 2.50059E+001, 4.28028E-009, 6.51006E-009, 1.08601E-008, 1.74131E-008, 1.85217E-006, 2.61277E-022, 3.31006E-020, 2.85954E-015, 5.57194E-011, 5.17151E-011, 3.05063E-060, 1.90129E-061, 1.47264E-063, 3.11296E-062, 6.66380E-062, 3.02382E-007, 6.56675E-007, 1.14688E-007, 8.70034E-096
 1.80008E+001, 2.50501E+001, 2.50515E+001, 3.54843E+001, 2.50070E+001, 2.50185E+001, 2.50241E+001, 2.50174E+001, 8.79755E-003, 2.06860E-001, 3.33417E+001, 2.23920E-001, 3.50905E+001, 2.51623E+001, 2.30000E-001, 2.50267E+001, 2.50075E+001, 2.30000E-001, 2.50253E+001, 2.50065E+001, 3.47222E-009, 5.07774E-009, 8.39088E-009, 1.58127E-008, 2.09734E-006, 5.33940E-022, 1.13524E-018, 1.34432E-013, 6.36455E-009, 4.62913E-009, 2.66934E-058, 1.92060E-059, 1.02711E-060, 1.74374E-058, 3.16250E-058, 3.60728E-007, 7.90091E-007, 1.25432E-007, 8.06632E-093
