s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PARAFFIN,MLR_PRODUCTS,MLR_TRACER,ZONE_1
 2.86002E+002, 1.79952E-002, 0.00000E+000,-4.62813E-003, 6.26417E-008,-1.33746E-002,-6.36121E-021, 5.34746E-005, 0.00000E+000, 4.61900E-005, 4.60951E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.66453E+002
 2.87003E+002, 1.79952E-002, 0.00000E+000,-4.62805E-003, 2.15729E-008,-1.33675E-002,-6.36111E-021, 5.62909E-005, 0.00000E+000, 5.58373E-005, 5.59392E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.66836E+002
 2.88005E+002, 1.79952E-002, 0.00000E+000,-4.62786E-003, 6.46283E-008,-1.33682E-002,-6.36098E-021, 5.61349E-005, 0.00000E+000, 5.55963E-005, 5.53608E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.67218E+002
 2.89001E+002, 1.79951E-002, 0.00000E+000,-4.62749E-003, 4.87645E-008,-1.33762E-002,-6.36082E-021, 5.30802E-005, 0.00000E+000, 4.47556E-005, 4.45502E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.67577E+002
 2.90003E+002, 1.79952E-002, 0.00000E+000,-4.62729E-003, 3.89649E-008,-1.33759E-002,-6.36066E-021, 5.32425E-005, 0.00000E+000, 4.52930E-005, 4.52238E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.67939E+002
 2.91004E+002, 1.79951E-002, 0.00000E+000,-4.62737E-003, 2.19551E-008,-1.33584E-002,-6.36052E-021, 6.01473E-005, 0.00000E+000, 6.94954E-005, 6.95576E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.68348E+002
 2.92001E+002, 1.79952E-002, 0.00000E+000,-4.62710E-003, 4.05495E-009,-1.33384E-002,-6.36043E-021, 6.81971E-005, 0.00000E+000, 9.76852E-005, 9.79089E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.68809E+002
 2.93002E+002, 1.79952E-002, 0.00000E+000,-4.62807E-003, 1.50881E-008,-1.33285E-002,-6.36036E-021, 7.17635E-005, 0.00000E+000, 1.10347E-004, 1.10449E-004, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.69297E+002
 2.94004E+002, 1.79953E-002, 0.00000E+000,-4.62848E-003, 2.48609E-008,-1.33252E-002,-6.36033E-021, 7.29577E-005, 0.00000E+000, 1.14675E-004, 1.14555E-004, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.69793E+002
 2.95000E+002, 1.79953E-002, 0.00000E+000,-4.62863E-003, 2.56859E-008,-1.33260E-002,-6.36030E-021, 7.26149E-005, 0.00000E+000, 1.13437E-004, 1.13357E-004, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.70285E+002
