s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PARAFFIN,MLR_PRODUCTS,MLR_TRACER,ZONE_1
 3.29001E+002, 1.79953E-002, 0.00000E+000,-4.62612E-003, 3.56212E-008,-1.34712E-002,-6.35735E-021, 1.59143E-005, 0.00000E+000,-8.66134E-005,-8.61016E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.82551E+002
 3.30002E+002, 1.79952E-002, 0.00000E+000,-4.62518E-003,-1.98427E-008,-1.34099E-002,-6.35724E-021, 4.06082E-005, 0.00000E+000, 4.45322E-007, 7.16044E-007, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.82827E+002
 3.31004E+002, 1.79953E-002, 0.00000E+000,-4.62511E-003, 2.45518E-008,-1.34225E-002,-6.35712E-021, 3.57573E-005, 0.00000E+000,-1.61836E-005,-1.65434E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.83071E+002
 3.32000E+002, 1.79953E-002, 0.00000E+000,-4.62490E-003, 2.63512E-008,-1.34592E-002,-6.35700E-021, 2.12369E-005, 0.00000E+000,-6.74639E-005,-6.75927E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.83214E+002
 3.33002E+002, 1.79952E-002, 0.00000E+000,-4.62330E-003, 1.84505E-009,-1.34795E-002,-6.35684E-021, 1.37920E-005, 0.00000E+000,-9.36515E-005,-9.38362E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.83308E+002
 3.34003E+002, 1.79952E-002, 0.00000E+000,-4.62353E-003,-8.19728E-009,-1.34795E-002,-6.35664E-021, 1.36431E-005, 0.00000E+000,-9.43631E-005,-9.42418E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.83401E+002
 3.35005E+002, 1.79952E-002, 0.00000E+000,-4.62226E-003, 1.43101E-008,-1.34498E-002,-6.35645E-021, 2.59498E-005, 0.00000E+000,-5.08729E-005,-5.08919E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.83577E+002
 3.36001E+002, 1.79952E-002, 0.00000E+000,-4.62266E-003, 1.60460E-009,-1.34192E-002,-6.35629E-021, 3.80010E-005, 0.00000E+000,-8.49452E-006,-8.56615E-006, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.83834E+002
 3.37003E+002, 1.79953E-002, 0.00000E+000,-4.62219E-003,-3.15475E-008,-1.33998E-002,-6.35619E-021, 4.58622E-005, 0.00000E+000, 1.89876E-005, 1.91008E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.84146E+002
 3.38004E+002, 1.79953E-002, 0.00000E+000,-4.62198E-003, 1.43998E-008,-1.33928E-002,-6.35614E-021, 4.87715E-005, 0.00000E+000, 2.95535E-005, 2.93328E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.84478E+002
 3.39001E+002, 1.79953E-002, 0.00000E+000,-4.62143E-003, 2.33047E-010,-1.33764E-002,-6.35609E-021, 5.54427E-005, 0.00000E+000, 5.28583E-005, 5.28739E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.84853E+002
 3.40002E+002, 1.79953E-002, 0.00000E+000,-4.62121E-003,-7.93965E-009,-1.33601E-002,-6.35602E-021, 6.19657E-005, 0.00000E+000, 7.57087E-005, 7.58751E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.85274E+002
 3.41004E+002, 1.79952E-002, 0.00000E+000,-4.62123E-003, 3.95463E-008,-1.33516E-002,-6.35595E-021, 6.53720E-005, 0.00000E+000, 8.80200E-005, 8.78438E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.85719E+002
 3.42000E+002, 1.79952E-002, 0.00000E+000,-4.62085E-003,-3.40923E-008,-1.33528E-002,-6.35589E-021, 6.50456E-005, 0.00000E+000, 8.66371E-005, 8.66066E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.86159E+002
 3.43002E+002, 1.79952E-002, 0.00000E+000,-4.62208E-003, 8.78411E-010,-1.33629E-002,-6.35581E-021, 6.05654E-005, 0.00000E+000, 7.10004E-005, 7.08345E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.86571E+002
 3.44003E+002, 1.79953E-002, 0.00000E+000,-4.62219E-003,-7.99873E-009,-1.33670E-002,-6.35574E-021, 5.89061E-005, 0.00000E+000, 6.53628E-005, 6.49777E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.86972E+002
 3.45005E+002, 1.79953E-002, 0.00000E+000,-4.62135E-003, 7.55702E-009,-1.33853E-002,-6.35563E-021, 5.19231E-005, 0.00000E+000, 4.05727E-005, 4.05120E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.87325E+002
 3.46001E+002, 1.79953E-002, 0.00000E+000,-4.62174E-003,-8.09659E-009,-1.33962E-002,-6.35552E-021, 4.75061E-005, 0.00000E+000, 2.50183E-005, 2.48614E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.87646E+002
 3.47003E+002, 1.79952E-002, 0.00000E+000,-4.62085E-003, 1.36993E-008,-1.33891E-002,-6.35540E-021, 5.06474E-005, 0.00000E+000, 3.61334E-005, 3.59701E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.87991E+002
 3.48004E+002, 1.79952E-002, 0.00000E+000,-4.62050E-003, 2.10904E-009,-1.33719E-002,-6.35526E-021, 5.75574E-005, 0.00000E+000, 6.02660E-005, 6.03529E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.88382E+002
 3.49001E+002, 1.79952E-002, 0.00000E+000,-4.62061E-003,-3.46572E-008,-1.33576E-002,-6.35511E-021, 6.32274E-005, 0.00000E+000, 8.02344E-005, 8.02426E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.88810E+002
 3.50000E+002, 1.79975E-002, 0.00000E+000,-4.62158E-003,-3.86910E-008,-1.33589E-002,-6.35494E-021, 6.27915E-005, 0.00000E+000, 7.73970E-005, 7.97789E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.89233E+002
