s,C,C,C,C,C,C,C,kW,mol/mol,Pa,m,C,C,m,C,C,m,C,C
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box,zint_fire,Tupp_fire,Tlow_fire,zint_mid,Tupp_mid,Tlow_mid,zint_door,Tupp_door,Tlow_door
 6.10035E+001, 2.51934E+001, 2.58734E+001, 5.22201E+001, 2.68472E+001, 2.50202E+001, 2.52120E+001, 2.55621E+001, 1.79951E-002, 2.05986E-001, 1.50719E+002, 2.16169E-001, 4.11133E+001, 2.57048E+001, 1.41169E-001, 2.70803E+001, 2.50263E+001, 1.74437E-001, 2.60052E+001, 2.50086E+001
 6.20006E+001, 2.51973E+001, 2.58671E+001, 5.10815E+001, 2.71023E+001, 2.50198E+001, 2.53167E+001, 2.55421E+001, 1.79953E-002, 2.05957E-001, 1.51370E+002, 2.16416E-001, 4.05466E+001, 2.57044E+001, 1.41361E-001, 2.71346E+001, 2.50266E+001, 1.08774E-001, 2.60871E+001, 2.50087E+001
 6.30030E+001, 2.52019E+001, 2.58694E+001, 4.94992E+001, 2.71299E+001, 2.50197E+001, 2.53844E+001, 2.55395E+001, 1.79953E-002, 2.05936E-001, 1.52015E+002, 2.16416E-001, 3.99535E+001, 2.57044E+001, 1.41118E-001, 2.71367E+001, 2.50270E+001, 1.07264E-001, 2.61555E+001, 2.50087E+001
 6.40001E+001, 2.52075E+001, 2.58786E+001, 4.80132E+001, 2.68838E+001, 2.50196E+001, 2.53405E+001, 2.55746E+001, 1.79954E-002, 2.05921E-001, 1.52730E+002, 2.16346E-001, 3.94452E+001, 2.57050E+001, 1.39448E-001, 2.70449E+001, 2.50274E+001, 1.00222E-001, 2.61462E+001, 2.50087E+001
 6.50026E+001, 2.52138E+001, 2.58930E+001, 4.67257E+001, 2.66426E+001, 2.50196E+001, 2.52953E+001, 2.56378E+001, 1.79954E-002, 2.05912E-001, 1.53505E+002, 2.16202E-001, 3.88961E+001, 2.57059E+001, 1.38468E-001, 2.69818E+001, 2.50278E+001, 9.25375E-002, 2.60993E+001, 2.50087E+001
 6.60050E+001, 2.52205E+001, 2.59130E+001, 4.59086E+001, 2.64904E+001, 2.50197E+001, 2.53383E+001, 2.57445E+001, 1.79954E-002, 2.05906E-001, 1.54243E+002, 2.16188E-001, 3.84318E+001, 2.57071E+001, 1.37752E-001, 2.69395E+001, 2.50282E+001, 8.96098E-002, 2.60828E+001, 2.50088E+001
 6.70021E+001, 2.52274E+001, 2.59371E+001, 4.55817E+001, 2.63839E+001, 2.50196E+001, 2.53959E+001, 2.57751E+001, 1.79953E-002, 2.05899E-001, 1.54915E+002, 2.16090E-001, 3.83733E+001, 2.57091E+001, 1.36344E-001, 2.68669E+001, 2.50285E+001, 8.94232E-002, 2.60910E+001, 2.50088E+001
 6.80046E+001, 2.52342E+001, 2.59628E+001, 4.50607E+001, 2.63343E+001, 2.50195E+001, 2.54889E+001, 2.57386E+001, 1.79953E-002, 2.05888E-001, 1.55578E+002, 2.15880E-001, 3.81148E+001, 2.57124E+001, 1.35215E-001, 2.68302E+001, 2.50288E+001, 8.95896E-002, 2.60855E+001, 2.50087E+001
 6.90017E+001, 2.52406E+001, 2.59931E+001, 4.46301E+001, 2.64484E+001, 2.50193E+001, 2.55019E+001, 2.57081E+001, 1.79953E-002, 2.05869E-001, 1.56253E+002, 2.15670E-001, 3.76470E+001, 2.57168E+001, 1.36332E-001, 2.69227E+001, 2.50291E+001, 9.29160E-002, 2.60540E+001, 2.50087E+001
 7.00041E+001, 2.52466E+001, 2.60279E+001, 4.43544E+001, 2.67001E+001, 2.50190E+001, 2.54112E+001, 2.56847E+001, 1.79953E-002, 2.05844E-001, 1.56921E+002, 2.15222E-001, 3.73684E+001, 2.57216E+001, 1.38220E-001, 2.70673E+001, 2.50294E+001, 1.76981E-001, 2.60027E+001, 2.50087E+001
