thermocouple,measured_rise_C,experimental_sd_C,fds_finest_rise_C,fds_10mm_rise_C,numerical_halfband_C,sim_minus_meas_C,residual_model_C
T1,49.2,6.7,0.4,1.4,0.1,48.8,42.0
T2,12.6,1.3,1.2,2.9,0.4,11.4,9.7
T3,20.2,5.0,19.9,0.0,1.8,0.3,0.0
T5,1.1,0.3,2.7,0.0,0.6,-1.5,-0.7
T9,0.0,0.1,0.0,0.1,0.0,0.0,0.0
T10,0.2,0.1,0.2,1.5,0.0,-0.0,-0.0
T11,2.0,0.4,0.5,0.9,0.6,1.4,0.5
