General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
;;;%;%;%;Pa;-;g;g/s;Pa;%;kW/m²;°C;°C;°C;°C;°C;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;;
Edge frame?;N;9;20,94700;0,05200;-0,016000;128,875;100,02;-0,7400;0,000;100,684;37,700;0,005;299,750;298,950;25,40;315,117;263,164;0,000;39,600;43,400;42,900;301,450;;;;;0,00;0,00;0,00;3,00;3,04;15,669;25,106;0,60;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;20,0375;0,00000;0,0000;0,00583347;0,00583347;0,00266;0,40509;0,2746;28,260641;-0,000043;23,985097;23,921083;0,0000;-0,0087;0,00;0,04;0,00;0,00;2,14;;26,985;27,360;0,0209792;20,94300;0,05500;0,00900;0,0002497;;10,48;9,00;;;
Grid?;N;10;20,94800;0,05400;-0,014000;134,025;100,02;-0,7500;0,000;100,684;37,700;0,005;299,650;298,950;25,40;315,117;263,164;0,000;39,600;43,400;42,900;301,450;;;;;0,00;0,00;0,00;3,00;3,04;15,685;25,116;0,60;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;9,9750;0,00000;0,0000;0,00583347;0,00583347;0,00525;0,41317;0,2846;28,824583;-0,000099;24,455558;24,398429;0,0000;-0,0203;0,00;0,04;0,01;0,00;2,18;;25,787;27,360;0,0104438;20,94300;0,05500;0,01900;0,0001231;;10,47;10,00;;;
Non-scrubbed?;;11;20,94700;0,05400;-0,001000;124,725;100,02;-0,7500;0,000;100,684;37,700;0,005;299,650;298,950;25,40;315,083;263,164;0,000;39,600;43,400;42,800;301,450;;;;;0,00;0,00;0,00;3,00;3,04;15,643;25,116;0,60;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;20,4688;0,00000;0,0000;-0,00083335;-0,00083335;0,00335;-3,30042;0,3051;27,806536;-0,000087;23,591820;23,536708;0,0000;-0,0172;0,00;0,04;0,00;0,00;2,40;;24,827;26,068;0,0214308;20,94200;0,05600;0,01200;0,0002595;;10,47;11,00;;;
Substrate used? {Y/N};;12;20,94500;0,05600;0,019000;133,925;100,01;-0,7500;0,000;100,684;37,700;0,005;299,750;298,950;25,40;315,083;263,164;0,000;39,600;43,400;42,800;301,450;;;;;0,00;0,00;0,00;3,00;3,04;15,626;25,114;0,60;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;37,3894;0,00000;0,0000;0,00000000;0,00000000;0,00195;Infinity;0,3424;28,809021;0,000009;24,450513;24,385257;0,0000;0,0017;0,00;0,04;0,00;0,00;3,09;;25,168;26,068;0,0391467;20,94000;0,05600;0,00600;0,0004562;;10,47;12,00;;;
Substrate;;13;20,94400;0,05700;0,020000;127,950;100,02;-0,7500;0,000;100,684;37,700;0,005;299,750;298,950;25,40;315,083;263,164;0,000;39,600;43,400;42,800;301,450;;;;;0,00;0,00;0,00;3,00;3,04;15,669;25,130;0,60;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;39,3593;0,00000;0,0000;0,00083335;0,00083335;0,00190;4,37594;0,3818;28,159039;-0,000064;23,898866;23,835082;0,0000;-0,0127;0,00;0,04;0,00;0,00;3,32;;26,184;26,660;0,0412092;20,93900;0,05800;0,00600;0,0004913;;10,47;13,00;;;
Additional preparation details;;14;20,94300;0,05700;0,006000;127,475;100,02;-0,7500;0,000;100,684;37,700;0,005;299,750;299,050;25,40;315,083;263,164;0,000;39,600;43,400;42,800;301,450;;;;;0,00;0,00;0,00;3,00;3,04;15,633;25,106;0,60;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;41,3255;0,00000;0,0000;-0,00583347;-0,00583347;0,00140;-0,62397;0,4231;28,106722;-0,000086;23,854464;23,798757;0,0000;-0,0170;0,00;0,04;0,00;0,00;3,31;;27,196;26,660;0,0432678;20,93900;0,05800;0,00400;0,0005166;;10,47;14,00;;;
;;15;20,94300;0,05600;0,002000;129,025;100,01;-0,7400;0,000;100,680;37,700;0,005;299,750;299,050;25,40;315,083;263,164;0,000;39,600;43,400;42,800;301,450;;;;;0,00;0,00;0,00;3,00;3,04;15,641;25,103;0,60;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;34,3946;0,00000;0,0000;-0,00583347;-0,00583347;0,00316;-0,62776;0,4575;28,277083;-0,000040;23,999051;23,943006;0,0000;-0,0081;0,00;0,04;0,00;0,00;3,33;;27,907;28,022;0,0360112;20,93900;0,05800;0,01100;0,0004280;;10,48;15,00;;;
Specimen;;16;20,94300;0,05600;-0,011000;127,150;100,02;-0,7400;0,000;100,682;37,700;0,005;299,750;298,950;25,40;315,050;263,164;0,000;39,600;43,300;42,800;301,450;;;;;0,00;0,00;0,00;3,00;3,04;15,643;25,130;0,60;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;43,5733;0,00000;0,0000;0,00083335;0,00083335;-0,00033;4,36224;0,5011;28,070869;-0,000079;23,824035;23,760452;0,0000;-0,0157;0,00;0,04;0,00;0,00;3,01;;28,599;28,022;0,0456213;20,94000;0,05800;-0,00300;0,0005447;;10,48;16,00;;;
Sample description;Candle_R2;17;20,94200;0,05500;-0,011000;128,600;100,02;-0,7400;0,000;100,684;37,700;0,005;299,750;299,050;25,40;315,050;263,164;0,000;39,600;43,300;42,800;301,450;;;;;0,00;0,00;0,00;3,00;3,04;15,648;25,130;0,60;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;47,9100;0,00000;0,0000;-0,00083335;-0,00083335;-0,00108;-3,86890;0,5490;28,230473;-0,000084;23,959492;23,903540;0,0000;-0,0169;0,00;0,04;0,00;0,00;3,03;;29,607;29,567;0,0501617;20,94000;0,05700;-0,00600;0,0005953;;10,48;17,00;;;
Material name/ID;Candle / Teelicht;18;20,94200;0,05500;-0,018000;130,175;100,02;-0,7400;0,000;100,682;37,700;0,005;299,750;299,050;25,40;315,017;263,170;0,000;39,500;43,300;42,800;301,450;;;;;0,00;0,00;0,00;3,00;3,05;15,652;25,122;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;53,6124;0,00000;0,0000;0,00583347;0,00583347;-0,00334;0,48160;0,6026;28,402820;-0,000089;24,105766;24,049472;0,0000;-0,0180;0,00;0,04;0,00;0,00;2,75;;30,782;29,567;0,0561322;20,94100;0,05600;-0,01500;0,0006614;;10,48;18,00;;;
