s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_PARAFFIN,ZONE_1
 6.70067E+001, 1.79999E-002, 0.00000E+000,-4.78142E-003, 3.28659E-008,-1.29834E-002,-6.41460E-021, 1.48528E-004, 0.00000E+000, 3.82544E-004, 3.83608E-004, 0.00000E+000, 0.00000E+000, 4.28571E-007, 3.30334E+002
 6.80094E+001, 1.80001E-002, 0.00000E+000,-4.78224E-003,-7.19635E-009,-1.29379E-002,-6.41483E-021, 1.66391E-004, 0.00000E+000, 4.45447E-004, 4.46320E-004, 0.00000E+000, 0.00000E+000, 4.28571E-007, 3.31466E+002
 6.90121E+001, 1.80003E-002, 0.00000E+000,-4.78853E-003, 6.29923E-009,-1.28932E-002,-6.41522E-021, 1.81974E-004, 0.00000E+000, 5.00658E-004, 5.00618E-004, 0.00000E+000, 0.00000E+000, 4.28571E-007, 3.32705E+002
 7.00009E+001, 1.79998E-002, 0.00000E+000,-4.78175E-003, 1.36482E-007,-1.28813E-002,-6.41539E-021, 1.89202E-004, 0.00000E+000, 5.26399E-004, 5.26148E-004, 0.00000E+000, 0.00000E+000, 4.28571E-007, 3.33976E+002
 7.10036E+001, 1.80003E-002, 0.00000E+000,-4.80094E-003,-2.11887E-008,-1.29630E-002,-6.41501E-021, 1.49539E-004, 0.00000E+000, 3.87914E-004, 3.85915E-004, 0.00000E+000, 0.00000E+000, 4.28571E-007, 3.34997E+002
 7.20063E+001, 1.79996E-002, 0.00000E+000,-4.77833E-003, 9.87694E-008,-1.29956E-002,-6.41448E-021, 1.44876E-004, 0.00000E+000, 3.69364E-004, 3.70646E-004, 0.00000E+000, 0.00000E+000, 4.28571E-007, 3.35982E+002
 7.30090E+001, 1.79980E-002, 0.00000E+000,-4.77840E-003, 2.59847E-007,-1.29879E-002,-6.41594E-021, 1.47548E-004, 0.00000E+000, 3.79139E-004, 3.79538E-004, 0.00000E+000, 0.00000E+000, 4.28571E-007, 3.36986E+002
 7.40118E+001, 1.79994E-002, 0.00000E+000,-4.80000E-003, 2.81702E-007,-1.29828E-002,-6.41871E-021, 1.41592E-004, 0.00000E+000, 3.59661E-004, 3.58527E-004, 0.00000E+000, 0.00000E+000, 4.28571E-007, 3.37951E+002
 7.50005E+001, 1.79972E-002, 0.00000E+000,-4.79315E-003,-1.91982E-007,-1.29994E-002,-6.41812E-021, 1.36346E-004, 0.00000E+000, 3.39522E-004, 3.40835E-004, 0.00000E+000, 0.00000E+000, 4.28571E-007, 3.38866E+002
 7.60033E+001, 1.80009E-002, 0.00000E+000,-4.80387E-003,-2.27522E-007,-1.29506E-002,-6.41765E-021, 1.53159E-004, 0.00000E+000, 3.99372E-004, 3.99408E-004, 0.00000E+000, 0.00000E+000, 4.28571E-007, 3.39909E+002
 7.70060E+001, 1.80000E-002, 0.00000E+000,-4.79729E-003, 4.41741E-008,-1.29583E-002,-6.41652E-021, 1.52584E-004, 0.00000E+000, 3.98261E-004, 3.96958E-004, 0.00000E+000, 0.00000E+000, 4.28571E-007, 3.40949E+002
