s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T1_gas,T2,T2_gas,T3,T3_gas,T5,T5_gas,T9,T9_gas,T10,T10_gas,T11,T11_gas,HRR,O2_room,p_box
 1.90074E+001, 2.52083E+001, 2.51299E+001, 2.51359E+001, 2.51583E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50122E+001, 2.50361E+001, 2.50158E+001, 2.50488E+001, 2.50100E+001, 2.50292E+001, 9.82493E-003, 2.06860E-001, 6.40620E+001
 2.00121E+001, 2.52323E+001, 2.51350E+001, 2.51584E+001, 2.54938E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50142E+001, 2.50406E+001, 2.50186E+001, 2.50555E+001, 2.50117E+001, 2.50328E+001, 1.09236E-002, 2.06860E-001, 7.32796E+001
 2.10168E+001, 2.52569E+001, 2.51305E+001, 2.52082E+001, 2.56795E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50164E+001, 2.50455E+001, 2.50218E+001, 2.50627E+001, 2.50135E+001, 2.50365E+001, 1.20798E-002, 2.06859E-001, 8.33324E+001
 2.20116E+001, 2.52823E+001, 2.51354E+001, 2.52614E+001, 2.57133E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50189E+001, 2.50506E+001, 2.50254E+001, 2.50704E+001, 2.50155E+001, 2.50402E+001, 1.33006E-002, 2.06851E-001, 9.41167E+001
 2.30056E+001, 2.53101E+001, 2.51441E+001, 2.53129E+001, 2.57946E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50215E+001, 2.50560E+001, 2.50293E+001, 2.50786E+001, 2.50177E+001, 2.50438E+001, 1.45488E-002, 2.06836E-001, 1.05684E+002
 2.40158E+001, 2.53427E+001, 2.51578E+001, 2.53761E+001, 2.60516E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50245E+001, 2.50620E+001, 2.50337E+001, 2.50873E+001, 2.50200E+001, 2.50472E+001, 1.58730E-002, 2.06823E-001, 1.18229E+002
 2.50088E+001, 2.53794E+001, 2.51810E+001, 2.54734E+001, 2.65275E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50278E+001, 2.50686E+001, 2.50385E+001, 2.50969E+001, 2.50225E+001, 2.50505E+001, 1.72700E-002, 2.06816E-001, 1.31907E+002
 2.60020E+001, 2.54207E+001, 2.52134E+001, 2.55888E+001, 2.66385E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50315E+001, 2.50756E+001, 2.50439E+001, 2.51067E+001, 2.50249E+001, 2.50534E+001, 1.80137E-002, 2.06815E-001, 1.46054E+002
 2.70058E+001, 2.54648E+001, 2.52366E+001, 2.56927E+001, 2.64216E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50355E+001, 2.50816E+001, 2.50499E+001, 2.51151E+001, 2.50273E+001, 2.50547E+001, 1.79990E-002, 2.06817E-001, 1.59090E+002
 2.80096E+001, 2.55095E+001, 2.52606E+001, 2.57604E+001, 2.61319E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50398E+001, 2.50869E+001, 2.50562E+001, 2.51153E+001, 2.50298E+001, 2.50559E+001, 1.80000E-002, 2.06819E-001, 1.70822E+002
