s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,rk_x075_z020,rk_x075_z035,rk_x075_z050,rk_x075_z070,rk_x075_z100,rk_x090_z020,rk_x090_z035,rk_x090_z050,rk_x090_z070,rk_x090_z100,rk_x105_z020,rk_x105_z035,rk_x105_z050,rk_x105_z070,rk_x105_z100,rk_x120_z020,rk_x120_z035,rk_x120_z050,rk_x120_z070,rk_x120_z100,rk_x135_z020,rk_x135_z035,rk_x135_z050,rk_x135_z070,rk_x135_z100,rk_x150_z020,rk_x150_z035,rk_x150_z050,rk_x150_z070,rk_x150_z100,Tmax_core,Tmax_T1cell,HRR,O2_room,p_box
 9.00060E+000, 2.51016E+001, 2.51586E+001, 2.74208E+001, 2.50033E+001, 2.50048E+001, 2.50060E+001, 2.50056E+001, 3.21041E+001, 2.81962E+001, 2.78499E+001, 2.77413E+001, 2.76315E+001, 5.65532E+001, 4.72429E+001, 4.25923E+001, 3.97274E+001, 3.61591E+001, 3.11641E+001, 2.77272E+001, 2.73461E+001, 2.71977E+001, 2.70331E+001, 2.51612E+001, 2.51022E+001, 2.51016E+001, 2.51096E+001, 2.51284E+001, 2.50383E+001, 2.50301E+001, 2.50305E+001, 2.50332E+001, 2.50402E+001, 2.50121E+001, 2.50111E+001, 2.50105E+001, 2.50104E+001, 2.50104E+001, 7.02121E+001, 5.12220E+001, 4.16990E-003, 2.06860E-001, 7.51448E+000
 1.00037E+001, 2.51096E+001, 2.51792E+001, 2.79896E+001, 2.50041E+001, 2.50061E+001, 2.50078E+001, 2.50071E+001, 3.31458E+001, 2.88259E+001, 2.84468E+001, 2.83132E+001, 2.82249E+001, 6.26113E+001, 5.17409E+001, 4.62427E+001, 4.28684E+001, 3.86331E+001, 3.20198E+001, 2.81578E+001, 2.77079E+001, 2.75331E+001, 2.73512E+001, 2.51629E+001, 2.51105E+001, 2.51096E+001, 2.51185E+001, 2.51395E+001, 2.50418E+001, 2.50333E+001, 2.50335E+001, 2.50363E+001, 2.50433E+001, 2.50152E+001, 2.50141E+001, 2.50133E+001, 2.50130E+001, 2.50129E+001, 8.08566E+001, 5.76495E+001, 5.22474E-003, 2.06860E-001, 9.82907E+000
 1.10022E+001, 2.51161E+001, 2.51947E+001, 2.85692E+001, 2.50050E+001, 2.50074E+001, 2.50097E+001, 2.50088E+001, 3.44304E+001, 2.95114E+001, 2.90482E+001, 2.89262E+001, 2.88543E+001, 6.76309E+001, 5.54831E+001, 4.93281E+001, 4.55816E+001, 4.08178E+001, 3.25261E+001, 2.85822E+001, 2.81200E+001, 2.79011E+001, 2.76973E+001, 2.51338E+001, 2.51129E+001, 2.51161E+001, 2.51265E+001, 2.51492E+001, 2.50403E+001, 2.50359E+001, 2.50364E+001, 2.50391E+001, 2.50460E+001, 2.50187E+001, 2.50174E+001, 2.50164E+001, 2.50159E+001, 2.50156E+001, 9.27819E+001, 6.42816E+001, 6.40188E-003, 2.06860E-001, 1.24127E+001
 1.20008E+001, 2.51200E+001, 2.52081E+001, 2.91444E+001, 2.50060E+001, 2.50089E+001, 2.50120E+001, 2.50107E+001, 3.59504E+001, 3.01448E+001, 2.97209E+001, 2.96421E+001, 2.95908E+001, 7.47595E+001, 6.07783E+001, 5.35105E+001, 4.90920E+001, 4.35241E+001, 3.39663E+001, 2.90883E+001, 2.85379E+001, 2.82705E+001, 2.80501E+001, 2.51365E+001, 2.51143E+001, 2.51200E+001, 2.51316E+001, 2.51578E+001, 2.50419E+001, 2.50383E+001, 2.50389E+001, 2.50416E+001, 2.50485E+001, 2.50226E+001, 2.50212E+001, 2.50199E+001, 2.50192E+001, 2.50185E+001, 1.05206E+002, 7.15974E+001, 7.70560E-003, 2.06860E-001, 1.54251E+001
 1.30039E+001, 2.51254E+001, 2.52151E+001, 2.97782E+001, 2.50072E+001, 2.50106E+001, 2.50146E+001, 2.50130E+001, 3.79536E+001, 3.10747E+001, 3.04261E+001, 3.03198E+001, 3.02859E+001, 8.23932E+001, 6.65307E+001, 5.80817E+001, 5.29836E+001, 4.65655E+001, 3.62662E+001, 2.96791E+001, 2.89507E+001, 2.86452E+001, 2.84078E+001, 2.51622E+001, 2.51212E+001, 2.51254E+001, 2.51364E+001, 2.51624E+001, 2.50479E+001, 2.50422E+001, 2.50421E+001, 2.50442E+001, 2.50503E+001, 2.50270E+001, 2.50255E+001, 2.50239E+001, 2.50229E+001, 2.50218E+001, 1.18516E+002, 7.96806E+001, 9.13836E-003, 2.06860E-001, 1.89835E+001
 1.40029E+001, 2.51328E+001, 2.52167E+001, 3.04262E+001, 2.50084E+001, 2.50126E+001, 2.50176E+001, 2.50155E+001, 3.99324E+001, 3.21231E+001, 3.13850E+001, 3.12881E+001, 3.12902E+001, 9.04047E+001, 7.24452E+001, 6.20591E+001, 5.63571E+001, 4.92801E+001, 3.79699E+001, 3.02675E+001, 2.94034E+001, 2.90212E+001, 2.86930E+001, 2.51925E+001, 2.51318E+001, 2.51328E+001, 2.51418E+001, 2.51646E+001, 2.50554E+001, 2.50473E+001, 2.50463E+001, 2.50474E+001, 2.50521E+001, 2.50318E+001, 2.50303E+001, 2.50285E+001, 2.50272E+001, 2.50257E+001, 1.32453E+002, 8.76172E+001, 1.06990E-002, 2.06860E-001, 2.30428E+001
 1.50027E+001, 2.51357E+001, 2.52094E+001, 3.10840E+001, 2.50099E+001, 2.50148E+001, 2.50209E+001, 2.50184E+001, 4.21074E+001, 3.28075E+001, 3.22965E+001, 3.22473E+001, 3.23655E+001, 9.82006E+001, 7.85569E+001, 6.68401E+001, 6.04035E+001, 5.24161E+001, 3.94250E+001, 3.07624E+001, 2.97382E+001, 2.93014E+001, 2.89249E+001, 2.52160E+001, 2.51381E+001, 2.51357E+001, 2.51434E+001, 2.51641E+001, 2.50624E+001, 2.50523E+001, 2.50503E+001, 2.50507E+001, 2.50540E+001, 2.50369E+001, 2.50356E+001, 2.50335E+001, 2.50319E+001, 2.50300E+001, 1.46752E+002, 9.60392E+001, 1.23873E-002, 2.06860E-001, 2.76521E+001
 1.60008E+001, 2.51355E+001, 2.51932E+001, 3.17269E+001, 2.50200E+001, 2.50171E+001, 2.50246E+001, 2.50215E+001, 4.44384E+001, 3.41175E+001, 3.34645E+001, 3.34144E+001, 3.35787E+001, 1.05978E+002, 8.45896E+001, 7.11897E+001, 6.39683E+001, 5.51957E+001, 4.07179E+001, 3.09956E+001, 2.99263E+001, 2.94535E+001, 2.90263E+001, 2.52317E+001, 2.51415E+001, 2.51355E+001, 2.51410E+001, 2.51576E+001, 2.50687E+001, 2.50573E+001, 2.50544E+001, 2.50538E+001, 2.50554E+001, 2.50422E+001, 2.50411E+001, 2.50390E+001, 2.50372E+001, 2.50348E+001, 1.61343E+002, 1.04265E+002, 1.41939E-002, 2.06860E-001, 3.27823E+001
 1.70025E+001, 2.51362E+001, 2.51646E+001, 3.23488E+001, 2.51017E+001, 2.50196E+001, 2.50286E+001, 2.50247E+001, 4.69527E+001, 3.58243E+001, 3.49288E+001, 3.49253E+001, 3.52487E+001, 1.13740E+002, 9.06781E+001, 7.55654E+001, 6.74951E+001, 5.78201E+001, 4.20085E+001, 3.10027E+001, 2.99002E+001, 2.93965E+001, 2.88520E+001, 2.52505E+001, 2.51521E+001, 2.51362E+001, 2.51328E+001, 2.51431E+001, 2.50757E+001, 2.50633E+001, 2.50591E+001, 2.50569E+001, 2.50565E+001, 2.50479E+001, 2.50472E+001, 2.50450E+001, 2.50429E+001, 2.50401E+001, 1.76240E+002, 1.12699E+002, 1.61354E-002, 2.06860E-001, 3.83670E+001
 1.80019E+001, 2.51455E+001, 2.51302E+001, 3.30591E+001, 2.52830E+001, 2.50223E+001, 2.50329E+001, 2.50283E+001, 4.89948E+001, 3.75487E+001, 3.65919E+001, 3.66539E+001, 3.71147E+001, 1.21819E+002, 9.70150E+001, 8.04475E+001, 7.13482E+001, 6.07234E+001, 4.29000E+001, 3.11552E+001, 2.99643E+001, 2.93922E+001, 2.87267E+001, 2.52677E+001, 2.51716E+001, 2.51455E+001, 2.51323E+001, 2.51294E+001, 2.50830E+001, 2.50712E+001, 2.50653E+001, 2.50612E+001, 2.50583E+001, 2.50537E+001, 2.50535E+001, 2.50514E+001, 2.50490E+001, 2.50459E+001, 1.91466E+002, 1.20959E+002, 1.82144E-002, 2.06860E-001, 4.45974E+001
 1.90024E+001, 2.51523E+001, 2.51074E+001, 3.38104E+001, 2.54879E+001, 2.50250E+001, 2.50376E+001, 2.50320E+001, 5.02063E+001, 3.84984E+001, 3.78652E+001, 3.81125E+001, 3.88535E+001, 1.30533E+002, 1.04360E+002, 8.61531E+001, 7.54352E+001, 6.35192E+001, 4.23748E+001, 3.11155E+001, 2.99401E+001, 2.93592E+001, 2.85286E+001, 2.53052E+001, 2.51846E+001, 2.51523E+001, 2.51389E+001, 2.51248E+001, 2.50921E+001, 2.50789E+001, 2.50721E+001, 2.50674E+001, 2.50621E+001, 2.50596E+001, 2.50601E+001, 2.50582E+001, 2.50557E+001, 2.50522E+001, 2.06535E+002, 1.29059E+002, 2.04188E-002, 2.06860E-001, 5.13001E+001
