s,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box
 3.10006E+001, 2.51470E+001, 2.53137E+001, 4.24642E+001, 2.77054E+001, 2.50510E+001, 2.50787E+001, 2.50417E+001, 1.79997E-002, 2.06851E-001, 1.26231E+002
 3.20041E+001, 2.51502E+001, 2.53004E+001, 4.26582E+001, 2.77671E+001, 2.50519E+001, 2.50752E+001, 2.52181E+001, 1.79998E-002, 2.06853E-001, 1.30610E+002
 3.30003E+001, 2.51528E+001, 2.53041E+001, 4.28156E+001, 2.78716E+001, 2.50536E+001, 2.51631E+001, 2.58430E+001, 1.79998E-002, 2.06853E-001, 1.34571E+002
 3.40038E+001, 2.51550E+001, 2.53111E+001, 4.27345E+001, 2.78473E+001, 2.50575E+001, 2.55591E+001, 2.59708E+001, 1.79997E-002, 2.06854E-001, 1.38211E+002
 3.50074E+001, 2.51567E+001, 2.53132E+001, 4.26826E+001, 2.77894E+001, 2.50623E+001, 2.57392E+001, 2.61285E+001, 1.79998E-002, 2.06854E-001, 1.41690E+002
 3.60035E+001, 2.51582E+001, 2.53139E+001, 4.25289E+001, 2.77723E+001, 2.50619E+001, 2.56832E+001, 2.62629E+001, 1.79998E-002, 2.06854E-001, 1.45030E+002
 3.70070E+001, 2.51594E+001, 2.53226E+001, 4.26083E+001, 2.77969E+001, 2.50575E+001, 2.55242E+001, 2.61968E+001, 1.79998E-002, 2.06853E-001, 1.48248E+002
 3.80032E+001, 2.51605E+001, 2.53448E+001, 4.28504E+001, 2.78528E+001, 2.50547E+001, 2.53892E+001, 2.60319E+001, 1.79999E-002, 2.06852E-001, 1.51340E+002
 3.90067E+001, 2.51614E+001, 2.53759E+001, 4.30251E+001, 2.79050E+001, 2.50516E+001, 2.53137E+001, 2.59653E+001, 1.79998E-002, 2.06849E-001, 1.54302E+002
 4.00028E+001, 2.51622E+001, 2.54065E+001, 4.30806E+001, 2.79216E+001, 2.50487E+001, 2.52927E+001, 2.61088E+001, 1.79998E-002, 2.06841E-001, 1.57157E+002
 4.10064E+001, 2.51630E+001, 2.54349E+001, 4.31889E+001, 2.79226E+001, 2.50464E+001, 2.53255E+001, 2.61771E+001, 1.79999E-002, 2.06819E-001, 1.59928E+002
 4.20025E+001, 2.51638E+001, 2.54665E+001, 4.33206E+001, 2.79306E+001, 2.50441E+001, 2.53238E+001, 2.60961E+001, 1.79999E-002, 2.06765E-001, 1.62633E+002
 4.30061E+001, 2.51648E+001, 2.55080E+001, 4.33311E+001, 2.79544E+001, 2.50416E+001, 2.52545E+001, 2.60200E+001, 1.79999E-002, 2.06685E-001, 1.65279E+002
 4.40022E+001, 2.51664E+001, 2.55670E+001, 4.31680E+001, 2.79914E+001, 2.50392E+001, 2.51838E+001, 2.59605E+001, 1.79998E-002, 2.06635E-001, 1.67851E+002
 4.50057E+001, 2.51688E+001, 2.56552E+001, 4.28871E+001, 2.80210E+001, 2.50374E+001, 2.51482E+001, 2.59506E+001, 1.79998E-002, 2.06640E-001, 1.70323E+002
 4.60019E+001, 2.51726E+001, 2.57859E+001, 4.28280E+001, 2.80334E+001, 2.50358E+001, 2.51377E+001, 2.59964E+001, 1.79999E-002, 2.06655E-001, 1.72689E+002
 4.70054E+001, 2.51783E+001, 2.59594E+001, 4.30374E+001, 2.80185E+001, 2.50346E+001, 2.51374E+001, 2.59793E+001, 1.80004E-002, 2.06648E-001, 1.74933E+002
 4.80015E+001, 2.51863E+001, 2.61247E+001, 4.35083E+001, 2.78567E+001, 2.50335E+001, 2.51475E+001, 2.61334E+001, 1.80003E-002, 2.06614E-001, 1.76990E+002
 4.90051E+001, 2.51967E+001, 2.62013E+001, 4.34502E+001, 2.75989E+001, 2.50324E+001, 2.51642E+001, 2.60884E+001, 1.80004E-002, 2.06564E-001, 1.78786E+002
 5.00012E+001, 2.52077E+001, 2.61330E+001, 4.27175E+001, 2.75579E+001, 2.50312E+001, 2.51768E+001, 2.58736E+001, 1.80000E-002, 2.06522E-001, 1.80264E+002
 5.10048E+001, 2.52167E+001, 2.60715E+001, 4.22582E+001, 2.74559E+001, 2.50299E+001, 2.51752E+001, 2.60116E+001, 1.79999E-002, 2.06495E-001, 1.81301E+002
 5.20009E+001, 2.52219E+001, 2.61688E+001, 4.14996E+001, 2.72609E+001, 2.50286E+001, 2.51515E+001, 2.62502E+001, 1.80000E-002, 2.06461E-001, 1.82084E+002
