s,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box
 3.10027E+001, 2.51131E+001, 2.54307E+001, 4.07671E+001, 2.74411E+001, 2.50271E+001, 2.50492E+001, 2.50296E+001, 1.80014E-002, 2.06856E-001, 8.17602E+001
 3.20042E+001, 2.51155E+001, 2.53817E+001, 4.06339E+001, 2.74947E+001, 2.50270E+001, 2.50496E+001, 2.50287E+001, 1.80014E-002, 2.06856E-001, 8.42098E+001
 3.30014E+001, 2.51177E+001, 2.53374E+001, 4.03085E+001, 2.75064E+001, 2.50270E+001, 2.50499E+001, 2.50269E+001, 1.80014E-002, 2.06856E-001, 8.64855E+001
 3.40028E+001, 2.51195E+001, 2.53022E+001, 3.99275E+001, 2.74734E+001, 2.50270E+001, 2.50499E+001, 2.50232E+001, 1.80014E-002, 2.06856E-001, 8.86244E+001
 3.50000E+001, 2.51210E+001, 2.52784E+001, 3.95168E+001, 2.74338E+001, 2.50271E+001, 2.50498E+001, 2.50180E+001, 1.80014E-002, 2.06855E-001, 9.06589E+001
 3.60015E+001, 2.51223E+001, 2.52660E+001, 3.91672E+001, 2.74015E+001, 2.50274E+001, 2.50470E+001, 2.50590E+001, 1.80014E-002, 2.06855E-001, 9.25913E+001
 3.70030E+001, 2.51233E+001, 2.52638E+001, 3.88349E+001, 2.73596E+001, 2.50278E+001, 2.50490E+001, 2.51922E+001, 1.80015E-002, 2.06855E-001, 9.44183E+001
 3.80001E+001, 2.51242E+001, 2.52699E+001, 3.85312E+001, 2.72954E+001, 2.50286E+001, 2.51303E+001, 2.52862E+001, 1.80015E-002, 2.06854E-001, 9.61759E+001
 3.90016E+001, 2.51250E+001, 2.52827E+001, 3.82063E+001, 2.72216E+001, 2.50295E+001, 2.53369E+001, 2.53640E+001, 1.80014E-002, 2.06854E-001, 9.79086E+001
 4.00031E+001, 2.51256E+001, 2.53002E+001, 3.79094E+001, 2.71466E+001, 2.50296E+001, 2.54580E+001, 2.54296E+001, 1.80014E-002, 2.06853E-001, 9.96280E+001
