s,C,C,C,C,C,C,C,kW,mol/mol,Pa,m,C,C,m,C,C,m,C,C
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box,zint_fire,Tupp_fire,Tlow_fire,zint_mid,Tupp_mid,Tlow_mid,zint_door,Tupp_door,Tlow_door
 6.10052E+001, 2.51935E+001, 2.58726E+001, 5.20746E+001, 2.69099E+001, 2.50201E+001, 2.52323E+001, 2.55580E+001, 1.79951E-002, 2.05989E-001, 1.50836E+002, 2.16305E-001, 4.10708E+001, 2.57101E+001, 1.41320E-001, 2.70902E+001, 2.50265E+001, 1.65016E-001, 2.60111E+001, 2.50087E+001
 6.20039E+001, 2.51975E+001, 2.58668E+001, 5.05507E+001, 2.71529E+001, 2.50198E+001, 2.53238E+001, 2.55378E+001, 1.79953E-002, 2.05961E-001, 1.51489E+002, 2.16565E-001, 4.04101E+001, 2.57093E+001, 1.41678E-001, 2.71508E+001, 2.50268E+001, 1.08723E-001, 2.60878E+001, 2.50087E+001
 6.30025E+001, 2.52023E+001, 2.58699E+001, 4.89147E+001, 2.70805E+001, 2.50197E+001, 2.53670E+001, 2.55413E+001, 1.79953E-002, 2.05939E-001, 1.52149E+002, 2.16586E-001, 3.98708E+001, 2.57090E+001, 1.40670E-001, 2.71115E+001, 2.50272E+001, 1.06951E-001, 2.61476E+001, 2.50087E+001
 6.40012E+001, 2.52080E+001, 2.58803E+001, 4.75763E+001, 2.67975E+001, 2.50197E+001, 2.53252E+001, 2.55760E+001, 1.79954E-002, 2.05924E-001, 1.52890E+002, 2.16470E-001, 3.93645E+001, 2.57093E+001, 1.38895E-001, 2.70188E+001, 2.50276E+001, 9.99368E-002, 2.61323E+001, 2.50087E+001
 6.50052E+001, 2.52144E+001, 2.58963E+001, 4.62990E+001, 2.65920E+001, 2.50197E+001, 2.52924E+001, 2.56299E+001, 1.79954E-002, 2.05913E-001, 1.53664E+002, 2.16287E-001, 3.87517E+001, 2.57098E+001, 1.38140E-001, 2.69692E+001, 2.50280E+001, 9.25937E-002, 2.60874E+001, 2.50088E+001
 6.60038E+001, 2.52213E+001, 2.59171E+001, 4.58299E+001, 2.64555E+001, 2.50197E+001, 2.53394E+001, 2.57230E+001, 1.79954E-002, 2.05907E-001, 1.54378E+002, 2.16305E-001, 3.84848E+001, 2.57106E+001, 1.36998E-001, 2.69109E+001, 2.50284E+001, 8.99218E-002, 2.60741E+001, 2.50089E+001
 6.70025E+001, 2.52282E+001, 2.59401E+001, 4.52984E+001, 2.63704E+001, 2.50196E+001, 2.53703E+001, 2.57607E+001, 1.79953E-002, 2.05899E-001, 1.55039E+002, 2.16147E-001, 3.83724E+001, 2.57125E+001, 1.35725E-001, 2.68489E+001, 2.50287E+001, 8.93899E-002, 2.60810E+001, 2.50089E+001
 6.80012E+001, 2.52350E+001, 2.59661E+001, 4.48301E+001, 2.63638E+001, 2.50195E+001, 2.54331E+001, 2.57319E+001, 1.79953E-002, 2.05887E-001, 1.55707E+002, 2.15940E-001, 3.79748E+001, 2.57158E+001, 1.35241E-001, 2.68491E+001, 2.50290E+001, 8.94986E-002, 2.60738E+001, 2.50088E+001
 6.90052E+001, 2.52416E+001, 2.59989E+001, 4.43652E+001, 2.65577E+001, 2.50193E+001, 2.54990E+001, 2.57039E+001, 1.79953E-002, 2.05867E-001, 1.56385E+002, 2.15630E-001, 3.75748E+001, 2.57199E+001, 1.37448E-001, 2.69995E+001, 2.50293E+001, 9.29763E-002, 2.60466E+001, 2.50087E+001
 7.00038E+001, 2.52477E+001, 2.60361E+001, 4.41137E+001, 2.66867E+001, 2.50190E+001, 2.54564E+001, 2.56813E+001, 1.79953E-002, 2.05842E-001, 1.57057E+002, 2.14954E-001, 3.72002E+001, 2.57242E+001, 1.37793E-001, 2.70329E+001, 2.50296E+001, 1.77789E-001, 2.60034E+001, 2.50087E+001
